Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
3.045542,10.0078,74.31815,29.44435,19.66119,8.96978,85.81445,16.41836,19.19478,145.8551,20.42984,11.14739,18.20349,22.70055,16.36883,7.362956, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.874909,-2.939575,-16.63275,8.359727,1.496237,-4.410553,16.88421,16.30476,10.23757,-7.785919,17.45567,11.1409,-15.52054,-22.1731,15.79933,3.137409, ,0.3407857,-1.818604,-24.10144,-26.78491,-3.733307,-0.07409668,-4.340057,1.100291,3.809541,-145.804,-9.327606,0.06561482,-9.00882,2.153242,-4.30484,1.884408, ,-0.9370117,-9.346832,-65.61655,7.309715,19.20072,7.814957,83.72221,1.757197,-15.47101,0.4484588,-6.789703,0.3827446,4.608295,-4.839447,-1.110992,6.441988
2.928668,10.11769,74.45967,28.70741,19.48947,9.247617,85.85378,16.47752,19.33511,144.8532,22.55743,13.12512,19.25119,21.81677,10.44997,9.321544, ,0.1168742,0.1098881,0.1415176,0.7369461,0.1717205,0.2778368,0.0393219,0.05916023,0.140337,1.001953,2.127588,1.977733,1.047703,0.8837814,5.918856,1.958588, ,2.696577,-2.872589,-17.15421,8.408613,1.809298,-4.317902,16.64417,16.39031,10.25256,-8.495239,20.25955,13.11591,-15.55743,-20.49118,8.518368,6.383846, ,0.3884194,-1.654236,-24.0347,-26.0571,-4.045715,-0.1577759,-4.461487,-0.523468,3.884099,-144.8056,-8.867065,-0.04397583,-11.27969,6.304471,-5.968964,-2.27832, ,-1.065887,-9.519226,-65.58212,7.046793,18.91988,8.183989,83.78795,1.542798,-15.60715,0.714563,-6.420746,0.4854472,3.675795,-5.413849,-1.575897,6.277457
2.861616,10.11568,74.53448,28.24366,19.46144,9.355441,85.75298,16.48124,19.36401,144.5821,23.03059,13.89871,19.45421,21.75493,10.08324,9.968654, ,0.06705213,0.002013206,0.07481384,0.463747,0.02802658,0.1078243,0.1007919,0.003717422,0.02889633,0.2710876,0.473156,0.7735891,0.2030182,0.06184006,0.3667269,0.64711, ,2.596217,-2.784515,-17.315,8.326611,1.920532,-4.250854,16.47023,16.39453,10.33334,-8.568115,21.03309,13.89137,-15.33722,-20.37814,7.405056,7.435576, ,0.443182,-1.603058,-23.85159,-25.63916,-4.036102,-0.1725159,-4.51828,-0.7331543,3.602567,-144.5294,-8.529846,-0.01123047,-12.04691,6.713834,-6.716187,-2.758575, ,-1.109436,-9.554291,-65.67972,6.884002,18.87852,8.340509,83.7088,1.426012,-15.67822,0.6738023,-5.922974,0.4520289,2.899095,-5.08429,-1.844604,5.868704
2.860248,10.09389,74.56306,28.24576,19.44749,9.35653,85.75412,16.48119,19.36413,144.5832,23.03141,13.89939,19.45146,21.75525,10.08752,9.967395, ,0.001368046,0.02179337,0.02857971,0.002098083,0.01394653,0.001089096,0.00113678,4.77E-05,0.000123978,0.001068115,0.000822067,0.000678062,0.002750397,0.000326157,0.004274368,0.00125885, ,2.595612,-2.805786,-17.30035,8.323941,1.925418,-4.250885,16.47,16.39447,10.33267,-8.568115,21.03359,13.89201,-15.33517,-20.37811,7.405775,7.434606, ,0.4421812,-1.588348,-23.85391,-25.64102,-4.028992,-0.1713257,-4.516479,-0.7330627,3.600121,-144.5304,-8.53064,-0.01156616,-12.0448,6.71677,-6.721436,-2.755951, ,-1.107727,-9.527588,-65.71634,6.888238,18.86513,8.341744,83.71035,1.425983,-15.67953,0.6723591,-5.923676,0.4533308,2.900539,-5.082001,-1.846832,5.86915
2.832472,10.09125,74.61929,27.68804,19.43427,9.414386,85.69933,16.3801,19.49221,144.3598,23.4249,14.70975,19.53006,21.57149,10.24027,10.12822, ,0.02777553,0.002640724,0.05622864,0.5577126,0.01322937,0.05785561,0.05479431,0.1010952,0.1280746,0.2233582,0.3934879,0.8103628,0.07860374,0.1837635,0.1527491,0.1608276, ,2.529845,-2.671478,-17.42435,8.231716,1.999006,-4.191284,16.32817,16.2873,10.44395,-8.606323,21.77195,14.70529,-14.86163,-20.33957,6.955487,7.97352, ,0.5186,-1.576569,-23.55789,-25.1391,-3.951843,-0.1829224,-4.430817,-0.963623,3.37681,-144.2996,-8.042297,-0.1200562,-12.81277,6.375247,-7.379791,-2.652344, ,-1.152252,-9.567169,-65.86002,6.681539,18.85887,8.436519,83.69837,1.32609,-15.82794,0.5907983,-5.204376,0.3288894,1.99615,-4.730713,-1.96463,5.478447
2.830814,10.08992,74.62112,27.68876,19.42111,9.421874,85.6899,16.38067,19.49185,144.3598,23.4249,14.71055,19.52805,21.57186,10.24318,10.12845, ,0.00165844,0.001320839,0.001831055,0.000713348,0.01315498,0.007488251,0.009422302,0.000576019,0.000360489,0,0,0.000801086,0.002012253,0.000366211,0.002908707,0.000231743, ,2.529229,-2.671448,-17.42307,8.230942,2.003778,-4.187347,16.3244,16.28786,10.44235,-8.606323,21.77195,14.70602,-14.85965,-20.33936,6.955265,7.974578, ,0.5190595,-1.575409,-23.55951,-25.13922,-3.945007,-0.1779175,-4.43573,-0.9613037,3.375911,-144.2996,-8.042297,-0.1212769,-12.81189,6.37782,-7.384003,-2.652496, ,-1.14975,-9.565979,-65.86185,6.684491,18.84624,8.446825,83.68855,1.327867,-15.82886,0.5907983,-5.204376,0.3300307,1.99649,-4.730103,-1.965393,5.477204
2.883144,10.0585,74.7048,27.07559,19.42775,9.421291,85.70455,16.09265,19.70395,144.201,23.8136,15.53638,19.42528,21.22099,10.37054,9.970147, ,0.05233049,0.03142738,0.08367157,0.6131649,0.006639481,0.000582695,0.01464844,0.288023,0.2120991,0.1588287,0.3886986,0.8258343,0.1027679,0.3508644,0.127367,0.1583071, ,2.545669,-2.539795,-17.43808,8.126448,2.051339,-4.1315,16.21755,15.98502,10.59236,-8.6474,22.53858,15.53018,-14.06113,-20.31616,7.039674,8.113729, ,0.6093266,-1.580414,-23.15039,-24.58307,-3.811005,-0.1728821,-4.129425,-1.229553,3.241142,-144.1314,-7.378113,-0.4269714,-13.51379,5.262029,-7.482544,-2.437744, ,-1.195129,-9.56955,-66.13123,6.471869,18.87595,8.47346,83.7807,1.239459,-16.02408,0.4815483,-4.231323,0.06792212,0.8348711,-4.28891,-1.974579,5.091998
3.249957,9.955752,74.86826,25.78816,19.3998,9.269281,85.9103,15.76519,19.93797,144.1251,24.65082,17.34779,19.2238,20.21482,12.28311,6.823593, ,0.3668125,0.1027451,0.1634598,1.28743,0.02795029,0.15201,0.2057495,0.3274632,0.2340221,0.07585144,0.8372231,1.811406,0.201479,1.006178,1.912571,3.146554, ,2.845096,-2.335022,-16.9082,7.838766,2.148334,-4.026489,16.07803,15.62252,10.23842,-8.72464,24.01679,17.29336,-11.70547,-20.03036,10.68662,5.744275, ,0.8148931,-1.637299,-22.10986,-23.41711,-3.433228,-0.09579468,-2.980621,-1.585358,3.128847,-144.0397,-5.668365,-1.337982,-14.95346,1.210861,-5.977325,-1.812012, ,-1.322815,-9.506256,-66.98096,6.093535,18.91207,8.353698,84.21895,1.210886,-16.56717,0.29432,-2.007782,-0.5919189,-1.947784,-2.679474,-1.727264,3.118945
3.465149,9.895749,74.9354,25.14381,19.2977,9.212388,86.02502,15.34624,20.00595,144.196,25.06644,18.39903,19.25258,19.64846,11.89912,9.150861, ,0.2151921,0.06000328,0.0671463,0.6443539,0.1021004,0.05689335,0.1147156,0.4189482,0.06798553,0.07084656,0.415617,1.051243,0.02877617,0.5663528,0.3839903,2.327268, ,2.985928,-2.335785,-16.29221,7.655846,2.226918,-4.022797,16.01777,15.21666,10.19013,-8.749969,24.64216,18.31373,-9.939911,-19.54364,11.44163,8.117229, ,0.9816887,-1.608826,-21.58673,-22.83682,-3.230713,0.03521055,-2.345581,-1.522308,3.09957,-144.1049,-4.741913,-1.705902,-15.86874,-1.404053,-2.941895,-2.934418, ,-1.433533,-9.448853,-67.51636,5.937747,18.83559,8.28808,84.45241,1.103292,-16.68597,0.2240734,-0.9411926,-0.844574,-3.38501,-1.253845,-1.760468,2.843763
3.676907,9.888539,74.94206,24.43051,19.10032,9.249989,86.02552,14.79561,20.51425,144.3152,25.36268,19.62483,19.5923,19.15409,12.37895,12.22757, ,0.2117579,0.007209778,0.006660461,0.7132969,0.1973763,0.03760052,0.00050354,0.5506239,0.5082932,0.1192017,0.2962475,1.225798,0.3397236,0.4943676,0.4798279,3.076713, ,3.111346,-2.345001,-15.56656,7.393403,2.364471,-4.004028,15.85469,14.61389,10.36671,-8.735382,25.0882,19.51843,-7.897278,-18.84052,12.22633,10.32219, ,1.19456,-1.490784,-21.22684,-22.20996,-3.061584,0.2048425,-1.770721,-1.89679,3.619251,-144.2205,-3.743683,-1.987305,-16.95206,-3.478424,0.6949975,-2.748566, ,-1.521729,-9.460632,-67.94702,5.785819,18.64501,8.330469,84.57247,1.111784,-17.03055,0.167709,0.03395734,-0.9541321,-4.844025,0.07021212,-1.740295,5.718093
