Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
3.843457,7.09304,79.27586,7.567235,20.11932,10.71483,64.39024,31.05626,25.24906,162.2566,34.40736,41.37771,12.1494,9.17224,7.976421,16.5207, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,3.286547,-1.491455,5.899136,5.560469,8.800887,-2.160614,-18.31418,16.76846,8.137648,0.04014746,-33.68683,41.04382,-4.57019,8.843345,5.854527,-13.82465, ,1.686462,1.944425,-3.503479,-5.116394,1.811507,4.571365,21.70344,26.31135,7.721778,-162.2544,6.101096,5.782333,-11.00568,-1.966217,-5.177887,-4.516144, ,-1.015442,-6.682281,-79.20801,-0.7483826,18.16004,9.36416,54.99366,0.5607477,-22.11511,-2.085144,-5.939301,2.053061,-1.983459,-1.599335,1.358786,8.431198
3.854846,7.225409,79.42973,7.373585,19.50257,10.89402,64.47758,31.75229,24.69174,162.1901,34.15167,36.15443,11.92473,10.75025,8.447744,17.15185, ,0.01138926,0.132369,0.1538696,0.1936498,0.6167412,0.1791945,0.08733368,0.6960258,0.5573158,0.06648254,0.2556877,5.223274,0.2246761,1.578012,0.471323,0.631155, ,3.1906,-1.52533,5.653039,5.428,9.116586,-2.384399,-19.0386,16.88024,8.159279,-0.5401001,-33.24094,35.88347,-3.565186,10.63986,5.919132,-14.45532, ,1.878396,2.209033,-3.114349,-4.968567,1.476537,4.723,22.43481,27.10141,7.833265,-162.175,7.071278,4.746435,-11.00507,-1.027283,-5.735046,-4.727722, ,-1.023224,-6.738403,-79.36432,-0.7788696,17.31421,9.428729,54.36929,0.8182701,-21.43442,-2.357239,-6.312958,1.673923,-2.582733,-1.245758,1.590326,8.583015
3.84366,7.371992,79.38798,7.286503,19.15352,11.02399,64.58705,32.04245,24.49821,162.2364,33.98679,33.46015,11.82894,11.4486,8.790325,17.5407, ,0.01118565,0.1465836,0.04174805,0.08708191,0.3490543,0.1299667,0.1094742,0.2901573,0.1935329,0.04626465,0.1648827,2.694283,0.09579182,0.69835,0.3425808,0.3888474, ,3.096451,-1.554901,5.478216,5.385736,9.358392,-2.562195,-19.33142,16.95636,8.091975,-0.7389526,-32.98203,33.19902,-2.957245,11.3871,6.133151,-14.90112, ,2.014594,2.354407,-2.880432,-4.878021,1.255873,4.792037,22.78003,27.41714,7.849177,-162.2153,7.42214,4.387841,-11.02893,-0.5521851,-5.960266,-4.643097, ,-1.009979,-6.843384,-79.32413,-0.8320923,16.7865,9.488848,54.16707,0.9750554,-21.2388,-2.532166,-6.556793,1.916221,-2.82605,-1.107941,1.74764,8.667586
3.818322,7.53456,79.29713,7.212173,18.79575,11.12211,64.71235,32.29863,24.34783,162.3494,33.74395,30.73498,11.73143,12.08644,9.156681,18.06423, ,0.02533817,0.1625681,0.0908432,0.07433081,0.3577747,0.09811974,0.1252975,0.2561836,0.1503792,0.1129913,0.2428398,2.725168,0.09750652,0.6378412,0.3663559,0.5235271, ,2.974934,-1.571869,5.267682,5.369293,9.660289,-2.740387,-19.59396,17.07469,7.881165,-0.9243774,-32.64102,30.45387,-2.373688,12.04907,6.508235,-15.42053, ,2.14202,2.467339,-2.636688,-4.773041,1.008589,4.82737,23.09475,27.67287,7.862329,-162.322,7.676861,4.14627,-11.0358,-0.09622192,-6.073608,-4.655182, ,-1.014832,-6.97821,-79.23547,-0.9112244,16.19656,9.526985,54.00984,1.189923,-21.15457,-2.705536,-6.879303,2.433484,-2.981384,-0.9576721,1.837837,8.866284
3.818732,7.535183,79.29713,7.212173,18.79558,11.12416,64.7106,32.29875,24.34783,162.3519,33.73959,30.73156,11.73176,12.08605,9.158734,18.06475, ,0.00041008,0.0006232262,0,0,0.0001678467,0.002043724,0.001747131,0.0001220703,0,0.002487183,0.004356384,0.003423691,0.000333786,0.0003900528,0.002053261,0.0005207062, ,2.974803,-1.571411,5.267682,5.369293,9.664128,-2.737823,-19.59363,17.07334,7.881165,-0.9249573,-32.63715,30.4495,-2.363831,12.04882,6.509134,-15.42072, ,2.143632,2.469808,-2.636688,-4.773041,1.011312,4.830627,23.09574,27.67374,7.862329,-162.3245,7.672784,4.153069,-11.0386,-0.09210205,-6.07663,-4.654144, ,-1.013306,-6.978088,-79.23547,-0.9112244,16.19416,9.528489,54.00748,1.189039,-21.15457,-2.706024,-6.879059,2.437542,-2.980865,-0.9555969,1.83528,8.867459
3.798383,7.676882,79.17556,7.136521,18.44422,11.18824,64.83774,32.53476,24.20966,162.5257,33.42696,28.08778,11.65956,12.67259,9.481398,18.60797, ,0.02034879,0.1416984,0.1215744,0.07565165,0.3513565,0.06408405,0.1271362,0.2360077,0.1381683,0.1738586,0.3126259,2.643778,0.07219887,0.5865412,0.3226633,0.5432167, ,2.856399,-1.546509,5.049918,5.357331,9.996772,-2.839264,-19.83701,17.2376,7.542094,-1.120697,-32.25403,27.74915,-1.802765,12.64034,7.032503,-15.94934, ,2.257483,2.556064,-2.450409,-4.653778,0.742901,4.858109,23.36084,27.87892,7.898181,-162.4914,7.776825,3.999723,-11.05188,0.315204,-5.963715,-4.74826, ,-1.028961,-7.107239,-79.11716,-1.015442,15.56729,9.554672,53.88537,1.423098,-21.12631,-2.860962,-7.12619,3.053952,-3.085388,-0.8155518,1.883955,9.056613
3.806618,7.793534,79.07108,7.023691,18.15402,11.22818,64.96185,32.75325,24.06478,162.7472,33.04873,25.63058,11.66044,13.24748,9.713438,18.99812, ,0.008234739,0.1166525,0.1044846,0.1128297,0.2901974,0.03993702,0.1241074,0.2184906,0.1448803,0.2214508,0.378231,2.457207,0.0008745193,0.5748882,0.2320404,0.3901539, ,2.752871,-1.509125,4.844367,5.316463,10.36598,-2.855469,-20.05457,17.41954,7.157694,-1.339203,-31.86371,25.15694,-1.277618,13.20924,7.631926,-16.34772, ,2.382348,2.638116,-2.339355,-4.503967,0.4665615,4.898088,23.58293,28.05124,7.943223,-162.7055,7.579259,4.111934,-11.10696,0.5752752,-5.573029,-4.835571, ,-1.056854,-7.21225,-79.01685,-1.12735,14.95906,9.574469,53.79402,1.653716,-21.10031,-2.964813,-7.289642,3.814132,-3.196045,-0.7633057,1.917682,9.14864
3.847528,7.888735,78.99622,6.881422,17.931,11.24729,65.10913,32.94093,23.91884,162.9781,32.61048,23.38749,11.66024,13.80701,9.945042,19.33528, ,0.04091024,0.09520102,0.07485962,0.1422691,0.2230263,0.01911449,0.1472855,0.1876755,0.1459408,0.2309418,0.4382553,2.243088,0.000202179,0.5595293,0.2316036,0.3371582, ,2.664708,-1.485046,4.664134,5.271475,10.73425,-2.826904,-20.19702,17.58834,6.797074,-1.559753,-31.51053,22.70114,-0.6850891,13.76137,8.27361,-16.68295, ,2.525462,2.726191,-2.28714,-4.305084,0.1860013,4.943114,23.76366,28.19077,7.996023,-162.9294,6.944596,4.408215,-11.14105,0.653625,-5.017212,-4.88385, ,-1.09494,-7.288574,-78.94635,-1.23996,14.40045,9.582237,53.78954,1.851529,-21.05511,-3.022247,-7.254089,4.547525,-3.31131,-0.8397217,1.975083,9.255688
3.905085,8.039514,78.81572,6.724517,17.78304,11.25377,65.29427,32.73549,23.69652,163.192,32.09564,21.36215,11.77,14.34762,10.2806,19.53554, ,0.05755615,0.1507783,0.1804962,0.1569052,0.1479568,0.006480217,0.1851425,0.2054367,0.2223206,0.2139282,0.5148392,2.025333,0.1097593,0.5406122,0.335556,0.2002583, ,2.579325,-1.403259,4.415098,5.230916,11.07299,-2.832031,-20.20804,17.50024,6.709913,-1.76059,-31.14948,20.40759,-0.1069031,14.29316,8.940727,-16.871, ,2.682744,2.75207,-2.211609,-4.069641,-0.08837891,4.958972,23.89903,27.98039,8.377908,-163.1373,6.000156,4.793406,-11.24655,0.6242422,-4.497894,-4.782379, ,-1.124878,-7.457062,-78.77136,-1.34491,13.92786,9.579625,53.92185,1.645357,-20.6727,-3.045013,-6.982391,5.11507,-3.464752,-1.01059,2.036198,9.392337
4.004259,8.297102,78.53364,6.358677,17.64357,11.26289,65.74744,33.19101,23.43139,163.5385,30.94063,17.73326,11.71739,15.37297,11.17857,19.71157, ,0.0991745,0.2575884,0.2820816,0.36584,0.1394749,0.009121895,0.4531708,0.4555168,0.2651291,0.346405,1.155006,3.628895,0.0526104,1.025345,0.8979683,0.176033, ,2.384529,-1.390289,4.040484,5.118617,11.54033,-2.892365,-19.89493,17.81806,6.266265,-1.97757,-30.23941,16.28168,-0.8067627,15.27414,10.26015,-16.89545, ,2.981858,2.833333,-2.19339,-3.519897,-0.5234985,4.929507,24.05902,28.37419,8.15339,-163.4792,4.136186,4.934513,-11.08478,0.3788051,-3.637848,-4.259949, ,-1.147858,-7.708954,-78.49811,-1.527802,13.30566,9.585582,54.51684,2.135435,-20.64197,-2.969421,-6.416962,5.79316,-3.640167,-1.654205,2.246207,9.913942
