Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
124.314,90.63041,119.6648,119.7756,114.3421,167.2292,120.0112,119.9314,125.8701,0,120.9782,120.9761,104.0982,119.741,120.9757,104.0983, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.507974,-18.0849,-0.0008850098,0.01482764,0.1946084,18.08493,0.0008869514,-0.01412964,-12.46912,0.2035418,0.0008413267,-0.0008544922,0,-0.04852295,-0.0003051758,0.0005078462, ,-0.4538574,-89.66211,-0.3009644,-0.1200256,-9.766083,90.33521,0.3010052,0.1193154,-2.533997,-90,179.7968,-0.0001831055,-0.0002746582,-178.0719,0.0001424579,0.0001451358, ,10.41623,-0.89151,-0.07754517,-0.05050659,0.04181916,0.8906842,-0.07757568,-0.04901123,0.1205967,-90,1.282995,1.885294,-30.64862,1.280523,1.884869,-30.64859
124.314,90.63041,119.6648,119.7756,114.3421,167.2292,120.0112,119.9314,125.8701,0,120.9782,120.9761,104.0982,119.741,120.9757,104.0983, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.507974,-18.0849,-0.0008850098,0.01482764,0.1946084,18.08493,0.0008869514,-0.01412964,-12.46912,0.2035418,0.0008413267,-0.0008544922,0,-0.04852295,-0.0003051758,0.0005078462, ,-0.4538574,-89.66211,-0.3009644,-0.1200256,-9.766083,90.33521,0.3010052,0.1193154,-2.533997,-90,179.7968,-0.0001831055,-0.0002746582,-178.0719,0.0001424579,0.0001451358, ,10.41623,-0.89151,-0.07754517,-0.05050659,0.04181916,0.8906842,-0.07757568,-0.04901123,0.1205967,-90,1.282995,1.885294,-30.64862,1.280523,1.884869,-30.64859
128.4312,94.96677,143.8729,87.04849,111.8431,167.8387,141.7809,109.5139,143.3206,16.49877,108.4149,122.4194,106.1558,153.0723,125.4664,120.2557, ,4.117149,4.336357,24.20807,32.72714,2.499001,0.6095428,21.76965,10.41742,17.4505,16.49877,12.56332,1.443367,2.057632,33.3313,4.49073,16.15745, ,10.31845,-18.15002,-10.01819,-5.458405,4.060928,18.0812,4.373017,-8.096741,-32.10519,0.5066171,2.829869,5.242148,1.949663,5.777081,-1.962158,-5.85318, ,0.6501283,-85.61194,-52.3468,-3.565491,-9.789215,90.22762,49.58675,19.64456,0.7424423,-103.797,-179.6095,1.561901,6.007213,-179.4019,-1.943054,0.8108606, ,24.2353,2.826438,48.25773,-106.1222,-0.625,-4.969482,-38.69363,-97.45682,4.457937,-99.15054,-24.03424,8.269386,-35.3353,45.84591,9.128528,-6.121704
131.3328,88.80798,110.9968,88.11323,111.9937,166.2417,153.9354,103.3758,137.5746,10.21107,106.4629,139.5076,103.5656,133.9219,173.4962,106.1376, ,2.901611,6.158791,32.87603,1.064735,0.1505814,1.597076,12.15457,6.138153,5.746017,6.2877,1.951996,17.0882,2.590195,19.15042,48.02983,14.11814, ,5.459486,-17.98801,-5.10318,5.448276,3.847802,18.08289,7.849204,-4.663086,-26.07663,0.2881515,2.79555,2.017345,-1.271454,1.459411,-2.650146,-0.9657898, ,0.3387397,-86.83319,-59.96698,-3.420471,-9.757538,88.62761,61.20444,13.3215,-0.2269897,-94.52475,179.2848,0.287629,2.50019,-174.2995,-2.463348,-1.623444, ,24.1817,-3.232666,16.78928,-102.9792,-0.5901489,-1.033417,-1.804016,-100.5203,2.718152,-99.17529,-29.84766,33.4723,-38.04449,24.77356,78.64459,-24.59521
132.6857,84.88939,89.86134,88.8203,112.076,165.0986,163.7909,99.21201,133.3202,9.181035,110.3059,141.8849,99.31255,126.0561,178.3523,102.7885, ,1.352951,3.918587,21.1355,0.7070694,0.08222198,1.143005,9.855484,4.163765,4.254379,1.030031,3.842979,2.377274,4.253059,7.865761,4.856094,3.349121, ,3.233106,-17.95273,-3.694672,11.33002,3.7042,18.15051,5.471624,-2.243835,-21.63208,0.1994487,1.440487,1.517075,-1.110657,0.4885328,-3.959656,-0.5481873, ,0.1984354,-87.6745,-62.66415,-3.358978,-9.776093,87.4818,68.37677,8.768743,-1.234955,-89.90137,178.9311,0.2245229,1.662705,-172.5916,-2.248291,-2.874634, ,24.17113,-7.101532,-4.453949,-100.8424,-0.5638733,1.878119,25.61644,-103.2612,1.566668,-99.18008,-20.98212,36.61066,-47.53317,15.12488,88.67413,-29.20782
133.1943,83.74023,83.07072,88.66695,111.8616,164.7322,166.6446,97.97947,131.9682,9.341696,112.3969,141.2184,98.31399,122.8149,175.507,101.8596, ,0.5085907,1.149155,6.790619,0.1533432,0.2143021,0.3664551,2.853653,1.232544,1.351944,0.1606607,2.091072,0.6664429,0.998558,3.241257,2.845352,0.9289246, ,2.401979,-17.95685,-3.480652,12.90191,4.012429,18.18391,4.191254,-1.365112,-20.21945,0.1684754,0.8688196,1.392632,-0.973938,0.2263484,-4.412262,-0.4085999, ,0.1463062,-87.97623,-63.05777,-3.692932,-9.893372,87.11096,69.59983,7.342088,-1.579132,-88.25534,178.8359,0.3524191,1.414958,-172.2082,-2.147003,-3.303711, ,24.16922,-8.231628,-11.51169,-100.1643,-0.5486145,2.80677,34.10039,-104.204,1.198861,-99.17194,-16.37555,35.41245,-49.74701,10.76682,92.1864,-30.35452
133.6998,83.83778,80.34086,86.51138,110.4754,164.6163,165.6181,97.64687,131.5351,9.685323,115.1479,138.5355,97.85177,119.1805,173.1281,101.3197, ,0.5054474,0.09754181,2.729858,2.155579,1.386215,0.11586,1.026505,0.3325958,0.4331512,0.343627,2.750946,2.682983,0.4622192,3.634384,2.37886,0.539856, ,1.57895,-17.97476,-3.881622,12.23142,6.037768,18.19611,4.650908,-0.4138794,-19.74774,0.1420066,0.1643718,1.417833,-0.6097412,0.02986452,-4.791962,-0.2513733, ,0.094756,-88.19055,-61.29724,-5.703735,-10.55811,86.99657,67.42254,6.867179,-1.670837,-86.93924,178.7798,0.6932887,1.203745,-172.2224,-2.010956,-3.675568, ,24.16836,-8.09726,-15.16635,-99.90674,-0.5307007,3.120095,36.46425,-104.4515,1.079103,-99.18066,-10.46027,31.1552,-50.22394,5.37935,95.1285,-30.74982
134.1687,83.92799,77.87238,84.50941,109.1925,164.5089,164.712,97.35525,131.1326,10.14044,117.948,135.5746,97.53872,115.8252,171.0639,100.8708, ,0.4689026,0.09020996,2.468475,2.001961,1.282936,0.1074066,0.9060974,0.291626,0.4024963,0.4551182,2.800133,2.960861,0.3130493,3.355263,2.06424,0.4489441, ,0.8179772,-17.99091,-4.150391,11.64038,7.921906,18.20791,5.141454,0.4749,-19.31168,0.1179267,-0.5701294,1.501997,-0.1753845,-0.1526794,-5.141541,-0.1030884, ,0.047148,-88.38852,-59.62665,-7.574158,-11.18329,86.89007,65.46115,6.430958,-1.761322,-85.72247,178.6797,1.017506,0.9965777,-172.271,-1.879211,-4.008881, ,24.16847,-7.973297,-18.59048,-99.64093,-0.5438538,3.40844,38.67208,-104.6927,0.9694575,-99.18387,-4.659607,26.44744,-50.18033,0.2451176,97.67036,-31.02301
134.6663,84.02183,75.23378,82.31368,107.8485,164.3929,163.5498,97.07227,130.6923,10.73683,121.8711,129.2924,97.94384,112.0448,169.7782,100.7196, ,0.4976044,0.09384155,2.638603,2.195732,1.343956,0.1160583,1.162186,0.2829819,0.4403229,0.596386,3.92308,6.282211,0.4051208,3.780472,1.285706,0.1511765, ,0.01294846,-18.00739,-4.332184,11.04292,10.01099,18.22087,5.859547,1.495921,-18.84955,0.08814704,-1.925415,1.876693,0.9380472,-0.3622437,-5.418091,0.08766327, ,-0.003234863,-88.59637,-57.8241,-9.63678,-11.83032,86.77247,63.19696,5.972395,-1.895935,-84.43536,178.634,1.483465,0.6917247,-172.7957,-1.695465,-4.293701, ,24.16946,-7.84433,-22.36768,-99.34424,-0.5235596,3.704855,40.84784,-104.9481,0.8678375,-99.17111,3.646757,16.44445,-46.96521,-6.183838,99.20431,-30.70001
135.1658,84.11488,72.7505,80.16373,106.5365,164.2784,162.4907,96.81115,130.2589,11.44429,125.8512,123.6415,98.49824,108.427,168.7211,100.5117, ,0.4995117,0.0930481,2.483276,2.149956,1.312004,0.114502,1.059082,0.261116,0.4334106,0.7074604,3.980156,5.650856,0.5543976,3.617752,1.057083,0.2078705, ,-0.792511,-18.02319,-4.394409,10.49108,12.05624,18.23425,6.61104,2.497663,-18.39444,0.05808394,-3.194153,2.272753,1.989525,-0.6392212,-5.691345,0.2780058, ,-0.05361938,-88.80139,-56.03497,-11.65836,-12.47986,86.65636,61.06076,5.523227,-2.02713,-83.14786,178.3549,1.516616,0.3426981,-173.3416,-1.511444,-4.572754, ,24.17138,-7.716888,-26.08768,-99.01947,-0.5411987,3.997444,43.02773,-105.2181,0.765353,-99.15497,11.51602,7.354848,-43.39444,-12.65866,100.4265,-30.5108
