Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
124.314,90.63041,119.6648,119.7756,114.3421,167.2292,120.0112,119.9314,125.8701,0,120.9782,120.9761,104.0982,119.741,120.9757,104.0983, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.507974,-18.0849,-0.0008850098,0.01482764,0.1946084,18.08493,0.0008869514,-0.01412964,-12.46912,0.2035418,0.0008413267,-0.0008544922,0,-0.04852295,-0.0003051758,0.0005078462, ,-0.4538574,-89.66211,-0.3009644,-0.1200256,-9.766083,90.33521,0.3010052,0.1193154,-2.533997,-90,179.7968,-0.0001831055,-0.0002746582,-178.0719,0.0001424579,0.0001451358, ,10.41623,-0.89151,-0.07754517,-0.05050659,0.04181916,0.8906842,-0.07757568,-0.04901123,0.1205967,-90,1.282995,1.885294,-30.64862,1.280523,1.884869,-30.64859
124.314,90.63041,119.6648,119.7756,114.3421,167.2292,120.0112,119.9314,125.8701,0,120.9782,120.9761,104.0982,119.741,120.9757,104.0983, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.507974,-18.0849,-0.0008850098,0.01482764,0.1946084,18.08493,0.0008869514,-0.01412964,-12.46912,0.2035418,0.0008413267,-0.0008544922,0,-0.04852295,-0.0003051758,0.0005078462, ,-0.4538574,-89.66211,-0.3009644,-0.1200256,-9.766083,90.33521,0.3010052,0.1193154,-2.533997,-90,179.7968,-0.0001831055,-0.0002746582,-178.0719,0.0001424579,0.0001451358, ,10.41623,-0.89151,-0.07754517,-0.05050659,0.04181916,0.8906842,-0.07757568,-0.04901123,0.1205967,-90,1.282995,1.885294,-30.64862,1.280523,1.884869,-30.64859
131.6683,94.81197,115.8332,107.9508,153.7883,168.0437,157.1842,96.60446,144.0994,12.26548,107.4399,158.1469,106.8873,134.3377,118.3432,117.3042, ,7.354271,4.181557,3.831604,11.82485,39.4462,0.8145599,37.17304,23.32689,18.22934,12.26548,13.5383,37.17088,2.789108,14.59665,2.632507,13.20593, ,1.599964,-18.09033,53.87034,32.69638,-38.69086,18.08683,9.827232,-10.16461,-19.79141,-0.3566895,6.352536,5.352655,2.546351,3.663815,4.693272,2.758682, ,5.868948,-89.40009,-39.72226,14.51431,12.97248,90.38483,69.11012,6.536088,14.8269,-101.6899,-179.1265,0.7650794,11.55123,177.7135,-1.104858,-0.51651, ,16.67682,3.351656,37.37799,-6.79953,1.165998,-5.74704,-21.80344,-107.0583,4.624238,-93.66177,-28.737,64.32285,-47.30334,17.87326,3.06085,-1.23526
130.5251,93.03864,103.5924,101.263,134.6207,167.8017,161.7875,98.04212,140.1121,4.705534,120.2628,126.1835,124.7503,133.3498,122.5869,102.3807, ,1.143204,1.773323,12.24078,6.687744,19.16769,0.2420654,4.603226,1.43766,3.987305,7.559947,12.82287,31.96342,17.86301,0.9878693,4.243752,14.9235, ,1.913485,-18.08597,31.52031,31.26468,-14.85675,18.08523,4.490808,-16.16022,-19.5329,0.0683463,-0.2921143,-1.680695,-5.010864,2.090869,-0.2903442,0.6882434, ,3.856482,-89.46912,-61.38821,6.117929,4.030968,90.34999,70.56378,6.907991,8.473801,-94.34003,178.4855,0.7344531,18.29093,-177.4597,-1.237396,-6.729706, ,16.69347,1.546693,15.50915,-15.30933,5.433322,-3.930908,-14.78519,-89.25531,4.946528,-91.82431,-0.9987488,8.293066,-21.22937,21.35676,5.461201,-23.18222
129.2368,91.00706,94.70744,93.49796,121.3485,167.5381,166.7074,103.1301,134.9525,1.463903,116.3515,144.6748,103.9579,119.6265,158.9968,87.00215, ,1.288269,2.031578,8.884972,7.765083,13.27216,0.2635498,4.919952,5.08802,5.159607,3.241631,3.911308,18.49126,20.7924,13.72327,36.40993,15.37857, ,2.271926,-18.0835,14.37172,29.1125,-0.1817932,18.0848,-1.766357,-22.38898,-17.91895,0.1481845,0.2246642,1.337691,1.24608,-0.2325134,-3.737732,-1.204651, ,1.558231,-89.543,-68.44351,0.9310431,-3.709106,90.32428,70.83672,5.223998,1.101829,-91.01227,178.4297,0.2637022,9.40955,-176.8977,-1.140747,-10.15872, ,16.70389,-0.5240173,4.775546,-34.63135,5.688994,-1.849304,-7.002747,-67.91309,5.604197,-91.05896,-8.69455,40.60539,-52.77225,2.354102,56.95653,-52.95093
128.7532,90.24073,91.98569,90.76659,118.1932,167.4318,168.7432,105.8649,132.688,1.066784,116.9416,146.086,102.8364,115.3615,171.8622,85.19912, ,0.4836121,0.7663345,2.721748,2.731369,3.155327,0.106308,2.035797,2.734787,2.264511,0.3971193,0.5901566,1.41124,1.121498,4.264999,12.86536,1.803032, ,2.407909,-18.08319,10.43112,27.78652,2.444739,18.08486,-4.458832,-24.48416,-16.75641,0.170866,-0.1044312,1.225637,1.733651,-0.2496338,-3.939117,-1.338409, ,0.6866459,-89.56912,-69.49707,-0.8909607,-6.467407,90.30338,70.62386,3.945782,-1.699524,-90.45627,178.2651,0.3014312,9.343763,-176.7253,-1.084625,-10.02094, ,16.70544,-1.306,1.663073,-43.06036,5.331102,-1.064026,-4.049591,-59.53406,5.827595,-90.96506,-7.45578,42.58261,-56.67615,-4.635651,74.9219,-58.76883
128.2744,89.48032,89.39939,88.32776,115.438,167.3232,170.8192,109.1192,130.3119,0.9142805,118.1548,145.6428,102.1811,112.453,178.689,84.28805, ,0.4788208,0.7604065,2.586296,2.438828,2.75515,0.1086731,2.075958,3.254257,2.376068,0.1525034,1.213203,0.4432373,0.6552887,2.908493,6.826782,0.9110718, ,2.543337,-18.08322,7.05796,26.15294,4.400905,18.0852,-7.269714,-26.30228,-15.41199,0.1997544,-0.3587646,1.260407,2.09247,-0.03149414,-3.955566,-1.480682, ,-0.1813354,-89.59515,-70.17725,-2.64328,-9.227112,90.27742,70.18528,2.563609,-4.466888,-90.04736,178.0932,0.4403655,9.260542,-176.4777,-1.179352,-9.846466, ,16.70567,-2.082245,-1.305573,-51.61279,4.865908,-0.2839966,-1.086517,-51.06335,5.952039,-90.9136,-5.156677,41.89596,-58.95419,-9.635834,88.1595,-62.49533
127.8119,88.74033,86.96702,86.52387,113.2065,167.2194,173.2099,112.3375,127.5607,1.009484,118.4209,147.0769,102.3546,110.4258,172.5466,83.56276, ,0.4624634,0.7399902,2.432373,1.803886,2.231476,0.1037292,2.390762,3.2183,2.751228,0.09520394,0.2660522,1.434128,0.1735458,2.027245,6.142395,0.7252884, ,2.674864,-18.08362,4.374897,24.42078,5.6554,18.08585,-10.58157,-27.85052,-13.37653,0.2294916,-0.4624329,1.131123,1.998755,0.1774996,-3.93512,-1.831482, ,-1.024536,-89.62225,-70.58987,-4.000183,-11.87225,90.25397,69.53085,0.8103048,-7.056091,-89.63477,178.0392,0.3414293,9.297911,-176.1575,-1.471283,-9.732422, ,16.70464,-2.837708,-4.098114,-59.67651,4.431205,0.4734116,1.779765,-42.98215,5.921231,-90.94019,-4.623901,43.94443,-58.39621,-13.07861,96.77901,-65.91815
127.3462,87.99038,84.56498,85.16148,111.1514,167.1155,175.7319,115.9595,124.5496,1.278993,118.2777,149.3685,102.9018,108.7277,167.7126,82.94228, ,0.4657059,0.7499542,2.402039,1.362389,2.055092,0.1039124,2.521912,3.622063,3.011116,0.2695084,0.1432037,2.291595,0.547142,1.69812,4.833954,0.6204758, ,2.808076,-18.08441,1.922211,22.50633,6.625073,18.08678,-14.16089,-29.05789,-11.0069,0.2606682,-0.5055847,0.9421101,1.705355,0.3975945,-3.837402,-2.279999, ,-1.878601,-89.65051,-70.81323,-5.165955,-14.53964,90.23103,68.54877,-0.8303833,-9.613098,-89.20999,178.0385,0.1253051,9.387003,-175.799,-1.842041,-9.63623, ,16.70234,-3.603546,-6.892609,-67.6843,3.975978,1.240409,4.731802,-34.93234,5.678869,-91.00104,-4.842194,47.22977,-56.59695,-15.93448,103.6185,-69.29813
126.9358,87.32406,82.4252,84.40337,109.493,167.0227,178.8233,119.0647,120.8545,1.890038,118.7214,149.085,104.0914,106.7758,164.5692,82.81834, ,0.4104309,0.6663208,2.139778,0.7581177,1.658447,0.09280396,3.0914,3.105103,3.695091,0.6110448,0.443718,0.283493,1.18959,1.951843,3.143417,0.1239471, ,2.926109,-18.08496,-0.2202148,20.56302,7.263389,18.08788,-18.66125,-29.99307,-7.543671,0.2752167,-0.5638123,0.6130229,0.9411443,0.3174446,-3.921448,-2.453613, ,-2.63562,-89.66513,-70.85959,-5.965912,-16.92996,90.2095,67.16086,-2.676483,-11.93582,-88.50446,178.2658,-0.1235657,9.325926,-175.7132,-2.010834,-9.68866, ,16.69923,-4.285889,-9.442566,-74.78552,3.60986,1.923143,7.646327,-27.94611,5.066262,-91.14703,-3.72052,46.57965,-52.3103,-19.37445,107.9239,-69.78195
