Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
125.9754,87.00803,75.95058,109.6231,114.9369,166.8218,170.166,125.2205,121.4829,3.80168,142.8225,119.3284,105.2052,104.5051,129.7696,108.6976, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-0.3152161,-18.08557,-14.83075,8.624217,-0.6661377,18.08422,4.318379,-7.893829,-6.295135,-0.9031372,-2.293701,5.689064,3.310657,-0.08657837,-5.966919,-3.136749, ,-0.5803223,-89.67874,-76.32568,0.3920481,-9.710205,90.35184,80.46987,-0.09970093,-3.536377,-86.52966,177.8724,1.502873,-0.7946777,-177.1705,-1.93454,-0.5482178, ,10.4417,-4.608582,-18.15991,-10.78821,0.1908814,4.618073,2.827851,1.208612,-0.02633667,-88.9328,37.46637,3.33477,-23.59967,-25.48734,12.0382,-23.16391
125.9584,87.0582,76.00145,109.6439,114.9389,166.8272,170.1326,125.1822,121.4866,3.795084,143.2987,119.2927,105.5958,103.7636,131.8901,107.4489, ,0.01701355,0.05016327,0.05086517,0.02076721,0.001953125,0.005401611,0.03337097,0.03829956,0.003608704,0.006595135,0.47612,0.03569794,0.3906021,0.7414932,2.120575,1.248665, ,-0.2865295,-18.08557,-14.81564,8.626531,-0.6686401,18.08426,4.354162,-7.879852,-6.297363,-1.060455,-2.338623,5.755515,3.400702,-0.4683533,-5.88913,-2.528107, ,-0.579071,-89.67828,-76.35568,0.3918611,-9.709656,90.35138,80.46195,-0.1046448,-3.532135,-86.59311,177.8907,1.50644,-0.6864929,-176.9115,-1.978058,-0.4155579, ,10.44141,-4.557098,-18.09375,-10.7438,0.1913337,4.566304,2.763814,1.164179,-0.02664185,-88.93079,38.25345,3.335987,-22.84442,-26.25494,15.43706,-25.28937
125.9124,87.18908,76.15099,109.6998,114.9493,166.8414,170.0328,125.1109,121.5341,3.74065,140.9008,123.3097,104.5445,103.0736,135.1763,105.7177, ,0.04590607,0.1308823,0.1495361,0.05587769,0.0104599,0.01417542,0.09985352,0.07126617,0.0475235,0.05443406,2.397827,4.016991,1.051239,0.689949,3.286148,1.731232, ,-0.2090454,-18.08551,-14.76068,8.630248,-0.6831665,18.08432,4.47499,-7.885193,-6.361725,-1.228912,-1.833466,5.298508,2.594148,-0.8718567,-5.7323,-1.772888, ,-0.5755615,-89.67719,-76.42914,0.3929209,-9.708038,90.35027,80.45251,-0.117981,-3.514496,-86.72253,178.8829,1.753817,-0.6012268,-176.6843,-1.982941,-0.1855774, ,10.44063,-4.42276,-17.9006,-10.62897,0.1938738,4.431288,2.57202,1.054152,-0.02767944,-88.93341,34.56091,9.703193,-26.04541,-26.95416,20.61645,-28.543
125.8775,87.28758,76.26959,109.7474,114.9587,166.852,169.9511,125.0596,121.5805,3.686899,138.1273,127.5078,103.2203,102.9032,137.0132,104.8424, ,0.03496552,0.09850311,0.1186066,0.04763031,0.009399414,0.01068115,0.08166504,0.05135345,0.04644012,0.05375099,2.773575,4.198143,1.324249,0.1704712,1.83696,0.8753357, ,-0.1499939,-18.08545,-14.71649,8.632377,-0.6963806,18.08437,4.573115,-7.900909,-6.426544,-1.287994,-1.181427,4.779499,1.69631,-1.013245,-5.627106,-1.436127, ,-0.5729065,-89.67633,-76.48849,0.3939555,-9.706757,90.34944,80.44354,-0.1289063,-3.499329,-86.80984,179.845,1.785448,-0.5906372,-176.6446,-1.970245,-0.04547119, ,10.44004,-4.321655,-17.74713,-10.53241,0.196185,4.329649,2.419085,0.9642871,-0.02859497,-88.93759,30.17897,16.26306,-29.90366,-27.11502,23.48404,-30.35107
125.8504,87.36389,76.36286,109.7899,114.966,166.8603,169.8847,125.0135,121.6165,3.646765,136.0182,130.7682,102.2296,102.7711,138.4549,104.1812, ,0.02706146,0.0763092,0.09326935,0.04251099,0.007278442,0.008285522,0.06639099,0.04607391,0.03595734,0.04013491,2.109085,3.26033,0.9907227,0.1320953,1.441666,0.6611633, ,-0.1042786,-18.08542,-14.68387,8.633972,-0.706604,18.08441,4.648455,-7.913086,-6.476746,-1.33374,-0.6120911,4.401747,1.001073,-1.122528,-5.550079,-1.172272, ,-0.5708618,-89.67572,-76.54044,0.3945404,-9.70578,90.34881,80.43125,-0.1382446,-3.48761,-86.87747,-179.4518,1.658491,-0.5814209,-176.6134,-1.943512,0.06142827, ,10.4396,-4.243347,-17.62573,-10.44617,0.1979744,4.250928,2.298892,0.885089,-0.02932739,-88.94083,26.79053,21.33321,-32.89197,-27.23975,25.70356,-31.7504
125.8119,87.46233,76.49181,109.8366,114.9772,166.871,169.7989,124.9618,121.6641,3.583973,133.9028,133.7693,101.6832,103.0445,138.9742,103.8491, ,0.03851318,0.09844208,0.1289444,0.04666138,0.01117706,0.01072693,0.08583069,0.05169678,0.04764557,0.06279182,2.115356,3.001114,0.5463867,0.2734299,0.5192566,0.3321075, ,-0.03921509,-18.08539,-14.62933,8.637706,-0.7222595,18.08444,4.75762,-7.924561,-6.542084,-1.335358,-0.3814697,4.031036,0.7177924,-1.141113,-5.495178,-1.036041, ,-0.5679321,-89.67496,-76.5965,0.3959627,-9.704224,90.34805,80.42787,-0.148468,-3.472015,-86.9519,-179.0699,1.570171,-0.6125183,-176.5838,-1.918549,0.1445351, ,10.43895,-4.142303,-17.45981,-10.35059,0.2007247,4.149424,2.131832,0.7982013,-0.02929688,-88.9407,23.54418,25.84232,-34.40283,-26.60776,26.5169,-32.51724
125.7677,87.57443,76.64085,109.894,114.9901,166.8833,169.6982,124.898,121.7185,3.511155,131.574,137.0934,101.1432,103.4056,139.4258,103.5284, ,0.04421234,0.1120987,0.1490402,0.05745697,0.01289368,0.01222229,0.1007233,0.06382751,0.05436707,0.07281804,2.328781,3.324173,0.5399323,0.3610992,0.4515839,0.320694, ,0.03550139,-18.08533,-14.56729,8.642063,-0.7403259,18.08449,4.882563,-7.937256,-6.616577,-1.331177,-0.1543579,3.635113,0.4584035,-1.150055,-5.437805,-0.9013672, ,-0.5645752,-89.67407,-76.6644,0.3974157,-9.702423,90.34716,80.42007,-0.160614,-3.454224,-87.03534,-178.685,1.440917,-0.6521912,-176.5517,-1.890259,0.2330656, ,10.4382,-4.027252,-17.26776,-10.23279,0.2038906,4.033831,1.938738,0.6919226,-0.0291748,-88.94012,19.96675,30.76195,-35.87756,-25.80536,27.22855,-33.28149
125.7294,87.67152,76.7712,109.9489,115.0013,166.8939,169.6081,124.837,121.7656,3.448618,129.5758,139.999,100.6829,103.7214,139.8184,103.2544, ,0.03827667,0.09708405,0.1303558,0.05486298,0.01119232,0.0105896,0.09008789,0.06098175,0.04707336,0.06253648,1.99826,2.905594,0.4603348,0.3158112,0.3926239,0.2740402, ,0.1002132,-18.0853,-14.51489,8.645839,-0.7559814,18.08453,4.990183,-7.948212,-6.681061,-1.327576,0.06170677,3.311228,0.2328659,-1.158295,-5.388794,-0.7838135, ,-0.5616455,-89.67331,-76.72821,0.3984448,-9.700867,90.3464,80.40828,-0.1718445,-3.438812,-87.1076,-178.3514,1.289522,-0.6862183,-176.5244,-1.863983,0.3093371, ,10.43756,-3.927612,-17.09933,-10.12039,0.206638,3.933733,1.769857,0.5910915,-0.02911377,-88.93961,16.86961,35.02144,-37.15457,-25.11041,27.8448,-33.94315
125.685,87.7833,76.92622,110.0159,115.0182,166.9061,169.5028,124.7626,121.8164,3.376824,127.5612,142.8613,100.2938,104.1039,140.1415,102.9736, ,0.04441071,0.1117859,0.155014,0.06700134,0.01689911,0.01223755,0.1053162,0.07437134,0.05083466,0.07179451,2.014603,2.862244,0.3890915,0.3825073,0.3231659,0.2807922, ,0.1753105,-18.08524,-14.45062,8.645828,-0.7798462,18.08457,5.116765,-7.954865,-6.750183,-1.323883,0.2852264,3.010669,0.02488768,-1.16217,-5.343781,-0.6684265, ,-0.5582886,-89.67245,-76.80151,0.4005619,-9.69873,90.34554,80.39496,-0.1845093,-3.421539,-87.19153,-178.0383,1.115876,-0.7229309,-176.4905,-1.836151,0.3848757, ,10.43683,-3.812897,-16.89954,-9.989014,0.2108197,3.818488,1.570718,0.4738833,-0.02920532,-88.93912,13.71371,39.17802,-38.24698,-24.28046,28.35244,-34.6311
125.6342,87.90918,77.1099,110.0923,115.046,166.92,169.3849,124.678,121.8663,3.29564,125.8892,144.9807,100.1506,104.5736,140.2189,102.728, ,0.05078888,0.1258774,0.1836853,0.07639313,0.02783966,0.01385498,0.1178436,0.08460999,0.04988861,0.08118343,1.671974,2.119446,0.1432266,0.4696655,0.0773468,0.2455673, ,0.261233,-18.08521,-14.3678,8.636361,-0.8193665,18.08461,5.265996,-7.949127,-6.816772,-1.320831,0.4464679,2.790704,-0.09408569,-1.153748,-5.316559,-0.5840149, ,-0.5544128,-89.6716,-76.87589,0.4052062,-9.695496,90.34468,80.38766,-0.1973267,-3.403046,-87.2876,-177.8385,0.990736,-0.7594604,-176.4462,-1.81366,0.4436093, ,10.43599,-3.683716,-16.66476,-9.851715,0.2177418,3.688755,1.338548,0.3522108,-0.02960205,-88.93881,11.0595,42.21592,-38.64658,-23.28058,28.48031,-35.24377
