Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
125.7783,87.5475,76.60491,109.8796,114.987,166.8803,169.7227,124.914,121.7054,3.528723,132.1314,136.2918,101.2721,103.3185,139.3171,103.605, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.01755975,-18.08533,-14.58203,8.641039,-0.7359924,18.08448,4.852602,-7.934204,-6.598663,-1.332184,-0.2110901,3.728244,0.5208225,-1.147858,-5.451477,-0.9338379, ,-0.5653687,-89.67429,-76.64749,0.397084,-9.70285,90.34737,80.42251,-0.1576233,-3.458527,-87.01532,-178.7775,1.476516,-0.6427002,-176.5594,-1.897247,0.2118574, ,10.43837,-4.054901,-17.31412,-10.26227,0.2031256,4.0616,1.985301,0.7184364,-0.02920532,-88.94025,20.82597,29.58035,-35.52335,-25.99811,27.0576,-33.09796
125.7295,87.67136,76.771,109.9488,115.0013,166.8939,169.6082,124.8371,121.7655,3.448845,129.5788,139.9947,100.6836,103.7209,139.8178,103.2547, ,0.04883575,0.1238556,0.1660843,0.06916046,0.0142746,0.01351929,0.1144867,0.07686615,0.06005096,0.07987809,2.552658,3.702896,0.5885391,0.4024277,0.5007019,0.3502884, ,0.1001163,-18.0853,-14.51495,8.645844,-0.7559814,18.08453,4.990034,-7.948212,-6.680908,-1.327576,0.06136953,3.311693,0.2332171,-1.158295,-5.388885,-0.7839966, ,-0.561676,-89.67331,-76.72815,0.3984317,-9.700867,90.34641,80.4083,-0.171814,-3.438843,-87.10748,-178.3519,1.28977,-0.6861877,-176.5245,-1.864014,0.3092138, ,10.43756,-3.927765,-17.09958,-10.12057,0.2066405,3.933886,1.77011,0.5912554,-0.02911377,-88.93958,16.87425,35.01505,-37.15265,-25.11145,27.84386,-33.94217
125.6309,87.91743,77.12198,110.0975,115.0478,166.9209,169.3771,124.6722,121.8696,3.290648,125.7801,145.1201,100.1412,104.6046,140.224,102.712, ,0.09858704,0.2460785,0.3509827,0.1486893,0.04655457,0.02700806,0.2311249,0.1648636,0.1041031,0.1581969,3.798676,5.125443,0.542366,0.8836517,0.4062042,0.5427551, ,0.26687,-18.08521,-14.3624,8.635729,-0.8219299,18.08462,5.275764,-7.94873,-6.821136,-1.320618,0.4573765,2.776619,-0.1018982,-1.153229,-5.314789,-0.5784607, ,-0.5541687,-89.67157,-76.88092,0.4055035,-9.695282,90.34464,80.38699,-0.1981812,-3.401825,-87.29388,-177.8253,0.9820865,-0.7618408,-176.4433,-1.812164,0.4474387, ,10.43594,-3.675232,-16.64932,-9.842377,0.2182,3.680242,1.323252,0.3438793,-0.02963257,-88.93878,10.88545,42.41514,-38.67276,-23.21497,28.48868,-35.28394
125.5772,88.05075,77.31807,110.1845,115.0773,166.9355,169.2488,124.5758,121.9224,3.205332,124.0279,147.3764,99.9902,105.1082,140.306,102.4551, ,0.0537262,0.133316,0.1960907,0.0870285,0.02948761,0.0146637,0.1283112,0.09645844,0.05281067,0.08531618,1.752159,2.256332,0.1510086,0.5036469,0.08204651,0.2568436, ,0.3578301,-18.08514,-14.27603,8.62561,-0.8638,18.08466,5.433052,-7.942688,-6.891632,-1.317383,0.6387689,2.556276,-0.2281494,-1.145355,-5.286072,-0.4883423, ,-0.5500793,-89.67062,-76.96533,0.4099888,-9.691895,90.34371,80.37277,-0.2124634,-3.382233,-87.39563,-177.6135,0.8355703,-0.8004456,-176.3967,-1.788086,0.5092147, ,10.43506,-3.538452,-16.39847,-9.68454,0.2255289,3.542897,1.075347,0.2043093,-0.03009033,-88.93848,8.076048,45.63189,-39.09567,-22.15619,28.62408,-35.9325
125.5298,88.16837,77.49239,110.2663,115.1033,166.9485,169.1326,124.485,121.969,3.131212,122.4974,149.3763,99.85746,105.5577,140.3785,102.2311, ,0.04740143,0.1176147,0.174324,0.08182526,0.02603912,0.01298523,0.1161499,0.09072113,0.0466156,0.07412076,1.530495,1.999817,0.1327438,0.4494705,0.07250977,0.2240906, ,0.4380932,-18.08511,-14.20087,8.616649,-0.9007568,18.08469,5.571273,-7.937408,-6.953857,-1.314484,0.807571,2.372741,-0.3398438,-1.139282,-5.260803,-0.4082336, ,-0.5464783,-89.6698,-77.04431,0.413559,-9.688873,90.3429,80.35492,-0.225647,-3.36496,-87.48541,-177.4272,0.6957889,-0.8344421,-176.3558,-1.766632,0.5633972, ,10.43429,-3.417755,-16.17526,-9.535004,0.2320007,3.421675,0.8548753,0.07232314,-0.0305481,-88.93817,5.597761,48.47067,-39.46875,-21.22186,28.74354,-36.50467
125.4746,88.30369,77.70146,110.3551,115.1344,166.9635,168.9954,124.3983,122.0407,3.03911,121.0757,151.0648,99.82609,106.0561,140.3117,102.0086, ,0.05517578,0.1353226,0.2090683,0.08879852,0.03106689,0.01502991,0.137207,0.08670044,0.07172394,0.09210157,1.42173,1.688568,0.03137207,0.4983521,0.06678772,0.2224274, ,0.5315611,-18.08508,-14.10486,8.608043,-0.9445496,18.08473,5.741737,-7.950806,-7.05249,-1.302673,0.9667228,2.224864,-0.4215088,-1.13089,-5.234467,-0.3320007, ,-0.5422974,-89.66904,-77.12823,0.4178391,-9.684998,90.34212,80.34042,-0.2395935,-3.342255,-87.59332,-177.284,0.5790842,-0.8606262,-176.3148,-1.743011,0.6036062, ,10.4334,-3.27887,-15.90945,-9.372314,0.2397068,3.282332,0.5947452,-0.0710144,-0.03036499,-88.93823,3.252126,50.85509,-39.57407,-20.20432,28.65557,-37.05545
125.4078,88.46648,77.95944,110.4606,115.1725,166.9817,168.8264,124.3036,122.1393,2.924121,119.5981,152.6835,99.87009,106.6462,140.1298,101.7654, ,0.06679535,0.162796,0.2579803,0.1054764,0.03812408,0.01815796,0.1689911,0.09474945,0.09861755,0.1149893,1.477562,1.618668,0.04400635,0.590126,0.1819611,0.2431946, ,0.6447917,-18.08505,-13.98322,8.59877,-0.9981384,18.08476,5.954389,-7.980133,-7.189545,-1.282684,1.134377,2.088427,-0.4880676,-1.120239,-5.204315,-0.250946, ,-0.5372009,-89.66815,-77.2261,0.4228067,-9.680054,90.34124,80.32406,-0.2554016,-3.312958,-87.72626,-177.1605,0.470095,-0.8834229,-176.2697,-1.715668,0.6370485, ,10.43234,-3.111786,-15.58289,-9.178314,0.2491337,3.114698,0.2763817,-0.2417603,-0.02978516,-88.93851,0.770296,53.12984,-39.4823,-19.0184,28.39755,-37.64578
125.3388,88.63465,78.22777,110.5763,115.2119,167.0005,168.6479,124.1984,122.2412,2.806933,118.0912,154.3599,99.91574,107.2631,139.9418,101.5169, ,0.06894684,0.1681671,0.2683258,0.1157074,0.03938293,0.01876831,0.1785431,0.1052246,0.1018372,0.117188,1.506989,1.676437,0.04564667,0.6169434,0.1879883,0.2485123, ,0.7617199,-18.08502,-13.85873,8.589137,-1.053467,18.0848,6.173128,-8.010498,-7.331085,-1.262024,1.313518,1.954223,-0.5568237,-1.110382,-5.172913,-0.1668701, ,-0.5319519,-89.66724,-77.33261,0.4272722,-9.674927,90.34033,80.29936,-0.2719727,-3.282715,-87.86356,-177.0351,0.3532479,-0.9069824,-176.2233,-1.687866,0.6712172, ,10.43125,-2.93924,-15.24347,-8.964111,0.2588443,2.94158,-0.05484009,-0.4302368,-0.02929688,-88.93881,-1.792175,55.47939,-39.38745,-17.79361,28.13115,-38.25537
125.2775,88.78427,78.46807,110.6852,115.247,167.0172,168.4856,124.0984,122.3318,2.704968,116.7676,155.855,99.9565,107.8183,139.7745,101.2982, ,0.06130981,0.1496201,0.240303,0.1088715,0.0350647,0.01676941,0.162323,0.09996796,0.09059906,0.1019647,1.32354,1.495087,0.04075623,0.5551376,0.1672821,0.2187576, ,0.8657662,-18.08499,-13.74893,8.580429,-1.102722,18.08483,6.36689,-8.037506,-7.45697,-1.243683,1.478006,1.840704,-0.6178894,-1.1026,-5.144775,-0.09179688, ,-0.5272827,-89.66644,-77.43207,0.4306163,-9.67038,90.33955,80.27058,-0.2868652,-3.255829,-87.98569,-176.9258,0.2458566,-0.9279175,-176.1824,-1.663513,0.7013468, ,10.43031,-2.785706,-14.9397,-8.761627,0.2675051,2.787571,-0.3516846,-0.6083679,-0.0289917,-88.93909,-4.071228,57.56979,-39.30304,-16.70404,27.89419,-38.79758
125.2059,88.95544,78.7618,110.7982,115.2904,167.0366,168.2988,123.9846,122.4273,2.589653,115.57,156.9881,100.1608,108.4551,139.404,101.115, ,0.07163239,0.1711655,0.2937317,0.1130142,0.04341125,0.01931763,0.1867218,0.1137924,0.09555054,0.1153145,1.197647,1.133057,0.2043457,0.6367874,0.3705139,0.1831436, ,0.9873784,-18.08496,-13.60391,8.572457,-1.162781,18.08484,6.603346,-8.047302,-7.587006,-1.22818,1.644441,1.765668,-0.6555786,-1.089386,-5.150177,-0.06484985, ,-0.5218506,-89.66577,-77.53073,0.4350936,-9.663818,90.33887,80.24988,-0.3013611,-3.225861,-88.12955,-176.8507,0.1666828,-0.9426575,-176.1365,-1.655609,0.7168756, ,10.42917,-2.610077,-14.57248,-8.55188,0.278183,2.6115,-0.7027893,-0.7927551,-0.02770996,-88.93988,-6.193481,59.15726,-38.80331,-15.47327,27.33077,-39.27234
