Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9969187,0.9985471,0.7591794,0.9998571,0.9764312,0.9982046,0.767424,0.9825054,0.9856742,0.1892631,0.9993874,0.9940228,0.9928839,0.996173,0.9421002,0.8976857,0.9959213,-0.0206934,0.02044559,-0.01407441,0.0003474579,0.1899979,-0.0002466852,-0.01184888,0.1011583,0.0698348,0.008040485,-0.005465962,0.06130049,-0.08507097,-0.04817033,-0.139959,0.2451789,-0.01224367,0.07554977,0.047657,-0.1006729,0.002535842,0.0210674,-0.0481005,0.08741423,0.1502403,0.06561057,-0.9799666,0.0238326,0.08488118,-0.08313862,0.07180858,0.3047268,-0.365671,0.08704102,-0.004152501,-0.01464739,-0.6428947,-0.01671068,0.1001954,0.03569128,0.6350424,0.04333685,-0.1387973,0.06148462,-0.0250411,-0.03092137,-0.005701136,0.01274829,-0.0005198941,0.01823156,0.02036637
0.9968938,0.9986055,0.7590237,0.9998353,0.9768366,0.9980403,0.7677562,0.9831389,0.9856791,0.1880538,0.9994035,0.9935985,0.9928275,0.9961333,0.9380198,0.8876238,0.9955859,-0.02340222,0.02086005,-0.01492104,-0.001580231,0.1863547,-0.001154893,-0.01077791,0.1033352,0.07189775,0.008460019,-0.0043251,0.06186959,-0.08470339,-0.05008531,-0.1553218,0.2700342,0.00241074,0.07506087,0.04589229,-0.1072323,0.00118012,0.01773394,-0.04960152,0.08327045,0.1445774,0.06517719,-0.9801621,0.02409857,0.08925121,-0.0841535,0.0710104,0.3098249,-0.3725832,0.08839709,-0.00460246,-0.01567804,-0.6419982,-0.01804294,0.1036713,0.03813179,0.6352167,0.04309397,-0.1379111,0.06201917,-0.02435603,-0.03111774,-0.006088033,0.01294426,-0.001607042,0.01967919,0.0314458
0.9968612,0.9986446,0.7589609,0.9997994,0.9771832,0.9979248,0.7669864,0.9838268,0.9856756,0.1875278,0.999438,0.9931892,0.992752,0.9959956,0.9337813,0.8768556,0.9948161,-0.02633478,0.0207122,-0.01542377,-0.003317647,0.1831189,-0.002142777,-0.009939916,0.1057336,0.07425684,0.009025869,-0.00265354,0.06299555,-0.08367489,-0.05230127,-0.1696121,0.2925386,0.005583525,0.07448261,0.04463948,-0.1144055,-0.0008811728,0.01413898,-0.05097717,0.07826982,0.1381837,0.06440132,-0.9802755,0.02384336,0.09303411,-0.0860457,0.07130919,0.3150831,-0.38095,0.09149995,-0.005161246,-0.01694914,-0.6408213,-0.01973317,0.1066799,0.03927981,0.6367943,0.04255095,-0.1370475,0.06173959,-0.02341115,-0.03084789,-0.006177587,0.01313389,-0.002636962,0.0205591,0.04401818
0.9968161,0.9986553,0.7588809,0.9997432,0.9774631,0.9978972,0.7651948,0.9845837,0.9856321,0.1882981,0.9995024,0.9928856,0.9928209,0.9958133,0.9301462,0.8675838,0.9940292,-0.02919478,0.02081121,-0.01636889,-0.005106069,0.1801839,-0.002841652,-0.00988216,0.1081259,0.07691104,0.00976247,4.492322E-05,0.06553737,-0.08174066,-0.05533163,-0.1815411,0.3102122,-0.001503066,0.0739622,0.04380155,-0.122387,-0.003221721,0.01075936,-0.0514672,0.07215102,0.1310495,0.06341229,-0.9802589,0.02264518,0.09483504,-0.08710588,0.07146049,0.319156,-0.3880445,0.0991345,-0.005917208,-0.01832847,-0.6394164,-0.02184122,0.1094708,0.0392967,0.6396667,0.04159045,-0.1363562,0.05950719,-0.02196091,-0.0298202,-0.006143375,0.01369849,-0.003227964,0.02209759,0.04556299
0.9968069,0.9986489,0.7586912,0.9997119,0.9776093,0.997857,0.7639748,0.9849693,0.9856014,0.188326,0.9995229,0.992721,0.9928669,0.9956452,0.9287197,0.8647709,0.9936275,-0.03042986,0.02105597,-0.01713931,-0.005933919,0.1786183,-0.002952368,-0.009410412,0.1092938,0.07827738,0.009995058,0.001048535,0.06631467,-0.08086608,-0.05663807,-0.1867812,0.316132,-0.003693864,0.07355304,0.04354028,-0.1267978,-0.004156933,0.009244341,-0.05243698,0.069296,0.1273125,0.0628873,-0.9802995,0.02227319,0.09593492,-0.08743058,0.07267955,0.3202842,-0.3895408,0.1020951,-0.006331926,-0.01900948,-0.6387616,-0.02288307,0.1108614,0.03902706,0.6414452,0.04101281,-0.1360436,0.05870545,-0.02137199,-0.03006647,-0.005658516,0.01416548,-0.003250338,0.02213395,0.04761602
0.9967664,0.9986498,0.7586078,0.9996604,0.9777457,0.9978411,0.762777,0.985356,0.9855738,0.1880385,0.9995465,0.9926257,0.992863,0.9954905,0.9272397,0.8634113,0.9933942,-0.03169597,0.02146434,-0.01765312,-0.007614517,0.1770547,-0.00288834,-0.009365641,0.110611,0.07968254,0.01040919,0.001543269,0.06679694,-0.08002499,-0.05830451,-0.1924104,0.3201632,-0.005228548,0.0735103,0.04297407,-0.131041,-0.00581196,0.00804391,-0.05302655,0.06633323,0.1233425,0.06233919,-0.980346,0.02188038,0.09662809,-0.08827076,0.07339565,0.3212393,-0.3892671,0.1026953,-0.00694789,-0.01977224,-0.6379897,-0.02423256,0.1122508,0.03864123,0.6431823,0.04031861,-0.1356791,0.0587785,-0.02063666,-0.02992506,-0.005235192,0.01457506,-0.003178898,0.02208349,0.05093407
0.9968596,0.9986873,0.7584164,0.9995224,0.9780339,0.9977731,0.7598646,0.9860832,0.9854645,0.1865627,0.999567,0.9922429,0.9928643,0.995084,0.9239829,0.8625808,0.9932178,-0.03462945,0.02208507,-0.01865109,-0.01121733,0.1736607,-0.002695349,-0.009060144,0.1135733,0.08299089,0.01118559,0.002334264,0.06804379,-0.07811499,-0.06212493,-0.2029658,0.3242097,-0.008128136,0.07081829,0.04113454,-0.1390118,-0.009454951,0.006301264,-0.05537188,0.05991936,0.1149257,0.06122976,-0.9806232,0.02207552,0.09964187,-0.09000207,0.0755854,0.3241183,-0.3877634,0.1018835,-0.007519008,-0.02107161,-0.6365002,-0.02719649,0.1151171,0.03708952,0.6472507,0.03915701,-0.1349933,0.05871453,-0.01931744,-0.02992701,-0.004268553,0.01533742,-0.002795831,0.0219528,0.05542758
0.996798,0.9986987,0.7580845,0.9993143,0.9783823,0.9977521,0.7566558,0.9866105,0.9853396,0.1851193,0.9995962,0.9918699,0.9929516,0.9947212,0.922834,0.8647565,0.9928144,-0.03617806,0.02213522,-0.01951127,-0.01476298,0.1698571,-0.002300136,-0.01029296,0.1181448,0.08727019,0.01173139,0.003388171,0.07044818,-0.0765554,-0.06591956,-0.2120528,0.324215,-0.01076895,0.07079367,0.04016742,-0.1463068,-0.0141894,0.005780658,-0.05711659,0.05238152,0.1058388,0.05978363,-0.9809347,0.02179779,0.1018279,-0.09040368,0.0770174,0.3215607,-0.3829986,0.1028222,-0.008557897,-0.02230925,-0.6352336,-0.03085019,0.1178275,0.03497432,0.6516305,0.03794302,-0.1338495,0.0579684,-0.01790761,-0.02936471,-0.00368925,0.01589409,-0.003109761,0.01981951,0.06025984
0.9966545,0.9987171,0.7575625,0.9990109,0.9787852,0.9977403,0.7535845,0.9870503,0.9851845,0.1839608,0.9996351,0.991543,0.9930179,0.994246,0.9198077,0.8651626,0.9921792,-0.03742535,0.02207419,-0.02091495,-0.01806041,0.1658392,-0.001766909,-0.01151759,0.1226533,0.09252117,0.01228094,0.004383076,0.07289971,-0.0750034,-0.06976652,-0.2201935,0.3201009,-0.01260947,0.0720111,0.03918095,-0.1525355,-0.02023161,0.005487444,-0.05865679,0.0446285,0.09668339,0.05820282,-0.9811983,0.02101621,0.1034446,-0.09100328,0.07966284,0.3247491,-0.3857313,0.1050758,-0.009680209,-0.02327585,-0.6343458,-0.03524179,0.1201953,0.03272114,0.6557332,0.03660887,-0.1321507,0.05707441,-0.01639882,-0.02876412,-0.002916956,0.01616904,-0.002578028,0.01550907,0.06618494
0.996587,0.9987265,0.7572259,0.9988077,0.9790059,0.9977438,0.7521272,0.9873136,0.9850981,0.1829569,0.9996538,0.9913526,0.9930341,0.9940357,0.9180493,0.8656679,0.9918978,-0.03791536,0.02216471,-0.02185408,-0.01991853,0.163955,-0.001487233,-0.01179666,0.12428,0.09539917,0.01248303,0.004801001,0.07422476,-0.07423999,-0.07190461,-0.2241406,0.3166918,-0.01317622,0.07260033,0.03862375,-0.155536,-0.02385375,0.00515772,-0.0591685,0.04130214,0.0921783,0.05739812,-0.981394,0.02059881,0.1043655,-0.0914623,0.08033775,0.3270186,-0.3875119,0.1060473,-0.01030209,-0.02371305,-0.6339873,-0.0376504,0.1209938,0.03168975,0.6576166,0.03563078,-0.1310965,0.05689294,-0.01565438,-0.02860986,-0.002547032,0.01638568,-0.002303139,0.01265072,0.06869721
