LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9909602,-0.1271486,0.04249815,-0.004998446,0.9791989,0.2010441,-0.02699261,-0.004722838,0.9980894,-0.0594691,0.005069668,0.01597736,0.9993709,0.00349003,0.01417569,0.03232212,0.7475203,0.08295421,0.1802834,0.6339006,0.9931408,-0.001368224,0.1162474,0.01249924,0.9902533,0.009089738,0.073186,-0.1181504,0.2313148,0.008393679,-0.9709951,0.05992975,0.9989858,-0.006746594,0.03173813,-0.03121671,0.997144,-0.04754759,0.05265998,0.02588854,0.9998128,0.0184327,-4.906859E-05,-0.005878443,0.7598763,0.04275364,-0.1141876,-0.6385306,0.9992383,0.01886542,-0.009069771,-0.03293628,0.9900121,0.1388029,-0.02368137,0.006998956,0.9995121,-0.003846597,-0.02697262,-0.01527684,0.9993241,-0.03246292,-0.01494559,-0.008611439,0.9918641,-0.03466895,0.1223537,0.005772175
0.9886693,-0.1422173,0.04721407,-0.008847916,0.9727156,0.229324,-0.0351068,-0.001580498,0.998298,-0.05073874,0.01096009,0.02657811,0.9994143,0.003515054,0.01339642,0.03129341,0.7480923,0.08043643,0.1759092,0.6347786,0.9929618,-0.001568869,0.1176458,0.01355821,0.9903792,0.01114777,0.07273702,-0.117193,0.2292128,0.008308645,-0.9715165,0.05956623,0.9989781,-0.004874341,0.03242331,-0.03110629,0.9969011,-0.05255494,0.05309908,0.02463127,0.9998222,0.01779775,-0.0008615419,-0.006168921,0.7602926,0.04320052,-0.1159754,-0.6376823,0.9992627,0.01827773,-0.008529567,-0.03266895,0.9895712,0.1413276,-0.02584706,0.01036105,0.9996319,-0.002586682,-0.02243808,-0.01503044,0.9993207,-0.03215382,-0.01504783,-0.00989722,0.99195,-0.03661421,0.1210954,0.00552306
0.9874809,-0.1494934,0.04912527,-0.01094919,0.9690496,0.2437246,-0.03925879,-0.0001462018,0.998323,-0.04590758,0.01462932,0.0320906,0.9994326,0.003585082,0.01296083,0.03088422,0.7485047,0.07924189,0.1738041,0.6350225,0.9928962,-0.001677736,0.1181388,0.01405501,0.9904312,0.01155218,0.07274371,-0.1167092,0.2286955,0.008164633,-0.9716718,0.05903979,0.9989916,-0.003607397,0.03234646,-0.03092788,0.9967432,-0.05531826,0.05357968,0.02391829,0.9998222,0.01764878,-0.001450881,-0.006480867,0.7605134,0.04343256,-0.117026,-0.6372111,0.9992784,0.01768742,-0.008717024,-0.03246409,0.9894012,0.1421209,-0.02717963,0.01217209,0.999671,-0.001642641,-0.02067161,-0.01509412,0.9993216,-0.03189307,-0.01521328,-0.01038645,0.9920105,-0.03759782,0.1202893,0.005659071
0.985033,-0.1636188,0.05204648,-0.01517379,0.9613118,0.2715937,-0.04594535,0.002351242,0.998178,-0.03545915,0.02084998,0.04414345,0.9994729,0.003490571,0.01221782,0.0298744,0.7488262,0.07654908,0.1685677,0.636384,0.9928222,-0.0017277,0.1186613,0.0148541,0.9904796,0.0119915,0.07254323,-0.1163779,0.2288305,0.007922456,-0.9717184,0.05776914,0.9990177,-0.001013953,0.03189987,-0.03074253,0.9964281,-0.06084233,0.05391961,0.02284874,0.9998164,0.01753369,-0.003357949,-0.006964564,0.7611288,0.04408831,-0.120001,-0.6358765,0.9992753,0.01962274,-0.01135609,-0.03057422,0.989755,0.1391497,-0.02849166,0.01451008,0.999723,0.0003053472,-0.01791208,-0.01526375,0.9993227,-0.0311432,-0.01540639,-0.01212308,0.992134,-0.03939779,0.1185743,0.007629947
0.9825174,-0.1768138,0.05513594,-0.01888605,0.9537877,0.2962542,-0.05001649,0.004575275,0.9978304,-0.02575736,0.0228404,0.05611925,0.9995317,0.003436379,0.01024255,0.02862866,0.7487403,0.07408889,0.1631647,0.6381819,0.9928431,-0.001493766,0.118391,0.01562201,0.9904441,0.01238783,0.07188991,-0.1170421,0.2298895,0.007766534,-0.9715458,0.05647416,0.9990424,0.001526617,0.0313963,-0.03043562,0.9961376,-0.06597578,0.05369843,0.02176446,0.9997948,0.01782948,-0.005507592,-0.007878345,0.7618996,0.04490646,-0.1248767,-0.6339544,0.9993386,0.01671144,-0.0138569,-0.02917301,0.9895565,0.1398233,-0.03025849,0.01765926,0.9997401,0.001889628,-0.0164139,-0.01570953,0.9993477,-0.02953789,-0.01521612,-0.01414836,0.9922453,-0.04148721,0.1166633,0.01084928
0.9800512,-0.1887114,0.05830226,-0.02210255,0.9472457,0.3160179,-0.05310819,0.006165042,0.997757,-0.02153966,0.0229178,0.05909158,0.9995854,0.003473666,0.008483552,0.02729279,0.7486541,0.07095873,0.1565762,0.6402857,0.9929591,-0.0009846538,0.1172757,0.01666427,0.9903365,0.01344536,0.07105136,-0.1183406,0.2313738,0.00761445,-0.9712787,0.05500833,0.999063,0.004069809,0.03090903,-0.03002083,0.9958793,-0.07053798,0.05309723,0.02072532,0.9997641,0.01821259,-0.007657916,-0.009016561,0.7625974,0.04571445,-0.131289,-0.6317583,0.9994205,0.01330835,-0.014894,-0.02756419,0.9892246,0.1409087,-0.03355898,0.02129247,0.9997278,0.003231898,-0.01671739,-0.01595418,0.9994154,-0.02730163,-0.01342332,-0.01559896,0.9923501,-0.04365554,0.1146444,0.01386165
0.9788476,-0.1941947,0.05988304,-0.02366162,0.9445215,0.3238046,-0.0545827,0.007111356,0.9979579,-0.02181685,0.02187349,0.05590579,0.9996068,0.003831733,0.007681713,0.02669325,0.7487361,0.06945746,0.1532323,0.6411629,0.993049,-0.000571847,0.1164152,0.01734661,0.9902531,0.01413753,0.07071213,-0.1191586,0.2321757,0.007598734,-0.9711379,0.05410998,0.9990828,0.005322021,0.03045539,-0.0296273,0.9957507,-0.07250804,0.05307944,0.02014093,0.9997457,0.01856678,-0.008369639,-0.00968441,0.7627811,0.04581828,-0.1349846,-0.6307495,0.9994697,0.01088161,-0.01523414,-0.026643,0.9889515,0.142154,-0.03511783,0.02310566,0.9997215,0.004251909,-0.0169694,-0.01584371,0.9994443,-0.02600696,-0.01329401,-0.01606276,0.992332,-0.0450274,0.1141283,0.01498155
0.9776717,-0.1994382,0.06130016,-0.02499698,0.9422368,0.3301637,-0.05583431,0.008019479,0.9981359,-0.02161224,0.02004085,0.05344158,0.9996316,0.004091897,0.006944938,0.02591566,0.7484155,0.0678322,0.1490209,0.6427019,0.9931675,0.0001297147,0.1153098,0.01794515,0.9901698,0.01494814,0.07039442,-0.1199368,0.2330041,0.007683428,-0.9709889,0.05320426,0.9990891,0.006312998,0.03030618,-0.02937224,0.9956681,-0.07400996,0.05262564,0.01995118,0.9997218,0.01917531,-0.009463338,-0.009956317,0.7628552,0.04583085,-0.1388785,-0.629813,0.9995154,0.007908949,-0.01555757,-0.02577629,0.9886582,0.1435436,-0.0363733,0.02504313,0.9997236,0.004986987,-0.01671613,-0.01576235,0.9994731,-0.02471249,-0.01297834,-0.01656381,0.9923651,-0.04611102,0.113224,0.01629832
0.9752043,-0.210063,0.06414603,-0.02711967,0.9386565,0.339595,-0.05922055,0.00960295,0.9984502,-0.02100414,0.01556549,0.04913098,0.9996708,0.00512312,0.006101294,0.02438993,0.747987,0.06475096,0.1405104,0.6454298,0.9935173,0.002107993,0.1120086,0.01931346,0.9900118,0.01729638,0.06986157,-0.121231,0.2344602,0.008266647,-0.9707062,0.0518613,0.9991214,0.007606119,0.02981731,-0.02845086,0.9955608,-0.07588358,0.0521336,0.01955383,0.999672,0.02043338,-0.01092357,-0.01091065,0.7630504,0.04503014,-0.1466035,-0.6278805,0.9995646,0.001196251,-0.01614023,-0.02467042,0.9881574,0.1457407,-0.03793806,0.02941736,0.9997397,0.006882919,-0.01562531,-0.01513495,0.9995228,-0.02177174,-0.01373856,-0.01706871,0.9922992,-0.04950244,0.1120648,0.01825761
0.9723718,-0.2213714,0.06813099,-0.02908569,0.9363207,0.3450902,-0.06403675,0.01075748,0.9987327,-0.0211028,0.01208958,0.04406191,0.9997143,0.006137849,0.0051511,0.02251927,0.7469393,0.06330411,0.1326803,0.6484368,0.9939818,0.00452885,0.1075733,0.02019258,0.9898859,0.02147361,0.06929972,-0.1219117,0.2352652,0.009152906,-0.9705187,0.05157503,0.9991637,0.007762739,0.02930407,-0.02743788,0.9955392,-0.07611001,0.05226583,0.01942378,0.9996346,0.02133136,-0.01156296,-0.01191143,0.7634584,0.03987418,-0.1585329,-0.6248269,0.9995673,-0.00672389,-0.01108486,-0.02640351,0.987919,0.1461131,-0.0384778,0.034445,0.9997817,0.008275332,-0.01265885,-0.01441617,0.9995562,-0.01917682,-0.01476675,-0.01736708,0.992336,-0.05338929,0.1096672,0.01979966
