LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9920535,-0.0443426,-0.1123677,-0.03517372,0.5097511,0.8592011,-0.009700257,-0.04281605,0.9591086,0.2817308,0.001034847,0.02715573,0.9908277,-0.02457101,-0.05868327,0.1192185,0.888818,0.1964298,-0.01489651,0.4137584,0.7547273,0.1504133,0.5893948,0.2457159,0.9693065,0.04091577,-0.1041331,-0.2189226,0.9983848,-0.002697159,0.04503776,0.03452929,0.9843037,0.1512828,0.06525309,-0.06325994,0.9689329,-0.09967456,-0.2188098,0.0579338,0.9859412,-0.09146293,-0.05660397,-0.1278689,0.8677514,0.09733929,-0.04794131,-0.4850095,0.7300776,0.1906892,-0.6549107,0.04142976,0.9639115,-0.03112667,-0.2000646,0.1728581,0.9809653,-0.1539513,0.07431777,-0.09210335,0.9483835,0.3129607,-0.03698241,0.0354488,0.9848527,-0.1653827,0.02787279,0.04400973
0.9926756,-0.07012196,-0.09382264,-0.02958665,0.5006779,0.8646771,-0.02757171,-0.02991566,0.9704218,0.240422,0.008381025,0.02021297,0.9912627,-0.02931136,-0.06066045,0.1133993,0.8917644,0.2070743,-0.033264,0.4009613,0.7318208,0.1532091,0.6124644,0.2566178,0.9668605,0.04844135,-0.09986919,-0.2299138,0.9976199,-0.02532324,0.05535709,0.03238775,0.983268,0.166745,0.0486328,-0.05490956,0.9707383,-0.1059099,-0.2079266,0.056718,0.9859011,-0.09831776,-0.06359684,-0.1195331,0.8693139,0.08397949,-0.07540059,-0.4812022,0.7047468,0.1959508,-0.6797377,0.05377563,0.9643289,-0.04127462,-0.2051298,0.1621353,0.9836237,-0.1297478,0.0800199,-0.09616013,0.9378176,0.3406577,-0.02439903,0.06209139,0.9796261,-0.1968276,0.00349184,0.03974191
0.9848186,-0.156954,-0.06527301,-0.03517333,0.499969,0.8650626,-0.04101817,-0.003902487,0.9827864,0.1835907,0.0003958824,0.02062218,0.9886854,-0.03826851,-0.08517802,0.1173943,0.8916408,0.226691,-0.01758198,0.3915084,0.7227759,0.1546613,0.6231434,0.2556703,0.9643224,0.03614986,-0.09677939,-0.2437404,0.9974077,0.002042218,0.06333701,0.03409277,0.9859743,0.1511778,0.04204376,-0.05685456,0.9691809,-0.1048845,-0.2133739,0.06449278,0.9858467,-0.1041965,-0.09041624,-0.09525971,0.8707347,0.07947563,-0.1023366,-0.4743755,0.6811658,0.1935934,-0.7011943,0.08283289,0.9632518,-0.05524693,-0.2122559,0.1550521,0.9798209,-0.08371264,0.1315514,-0.1250494,0.9495066,0.2878687,-0.06181525,0.1083876,0.9768198,-0.2109318,-0.01772203,0.03189021
0.9642225,-0.2548861,-0.04849095,-0.05437559,0.5051395,0.8618123,-0.04414367,0.01284771,0.9939493,0.1073768,-0.008067834,0.02167946,0.9919955,-0.03806816,-0.06577219,0.1008463,0.8869507,0.2599044,-0.02603402,0.3809073,0.7023776,0.1545595,0.6507045,0.2436407,0.9629666,0.02371919,-0.09387924,-0.2516337,0.9960759,0.039278,0.06866672,0.03968647,0.9910061,0.121396,0.006303465,-0.05594827,0.9778964,-0.09859793,-0.1757289,0.0558246,0.988498,-0.1042862,-0.06837118,-0.08556573,0.8676456,0.0879116,-0.1278513,-0.4723524,0.6622125,0.1845669,-0.7140703,0.1323377,0.9609614,-0.07270882,-0.2191836,0.152398,0.9802692,-0.08073412,0.1195254,-0.1351591,0.9550681,0.2679213,-0.0648174,0.1089126,0.9761679,-0.2149872,-0.01427577,0.02594108
0.9421843,-0.3261811,-0.04668302,-0.06095371,0.5176127,0.8541394,-0.04867009,0.01241681,0.9991848,0.02224574,-0.01256379,0.03125817,0.9945778,-0.02264044,-0.04607981,0.09043831,0.8844273,0.26046,-0.07330069,0.3802315,0.6744859,0.1847819,0.673676,0.2389249,0.9601037,0.00672863,-0.07996276,-0.2678837,0.9945108,0.05692756,0.07668938,0.04273408,0.9932695,0.1017624,-0.0135013,-0.0536458,0.9820142,-0.08937442,-0.1584109,0.05065963,0.9902342,-0.09719618,-0.06826761,-0.0729979,0.8595861,0.09370622,-0.142663,-0.4816412,0.6449189,0.179906,-0.721712,0.1756283,0.9592038,-0.08630222,-0.2218416,0.1525332,0.9855036,-0.05603093,0.09389547,-0.1297189,0.9601546,0.2502536,-0.080719,0.09466141,0.9776326,-0.2094424,0.00960138,0.01661849
0.922604,-0.3798131,-0.02391271,-0.06302481,0.5393444,0.8394973,-0.06219121,0.02200675,0.9987345,-0.0287938,-0.01385647,0.03883915,0.9953002,-0.02185244,-0.0512959,0.07917514,0.8820834,0.2721634,-0.08897499,0.3740849,0.6527503,0.1904916,0.6895003,0.2494382,0.9583459,0.003262241,-0.0778349,-0.2747802,0.9945108,0.05692756,0.07668938,0.04273408,0.9943806,0.09025527,-0.02521319,-0.04925039,0.98621,-0.07481762,-0.1419413,0.04055777,0.9916459,-0.08701379,-0.0661452,-0.06849619,0.8569417,0.08903857,-0.1434008,-0.4869901,0.6321871,0.1750084,-0.7313365,0.1867043,0.9579266,-0.09589078,-0.2245592,0.150847,0.9897001,-0.007613779,0.07689514,-0.1205105,0.9733461,0.2025954,-0.06831954,0.08297549,0.9884064,-0.1516438,-0.006998172,-0.002833723
0.9037868,-0.4217219,0.01661894,-0.07102019,0.5865109,0.8038049,-0.0878462,0.0467529,0.9961042,-0.0770935,-0.01982159,0.03795009,0.9947587,-0.03343954,-0.07609815,0.05954839,0.8773324,0.2976359,-0.0901389,0.3654801,0.626109,0.1603982,0.7117351,0.2751238,0.9596169,0.03297472,-0.08581164,-0.2658655,0.993295,0.07155249,0.0799516,0.04304858,0.9957163,0.0716105,-0.0386788,-0.04387398,0.9896973,-0.06236647,-0.1257749,0.0281117,0.992743,-0.07551003,-0.06923337,-0.06297979,0.8649615,0.05873957,-0.1211934,-0.4834289,0.6152495,0.172298,-0.7528453,0.1581312,0.9590192,-0.1025089,-0.2202301,0.1458523,0.9934859,0.02862333,0.05599057,-0.09503462,0.976258,0.1806481,-0.1005719,0.0645901,0.995387,-0.08765855,0.02043974,-0.03321216
0.879338,-0.4684155,0.06901057,-0.05088361,0.6522521,0.7477599,-0.1096694,0.0582661,0.9925271,-0.1106345,-0.03623915,0.03656268,0.9928955,-0.0432268,-0.09344159,0.05965529,0.8793393,0.2980773,-0.1025252,0.3569326,0.606446,0.1648849,0.7221682,0.2889796,0.9579702,0.03241236,-0.08172254,-0.2730641,0.9916824,0.1140007,0.05505792,0.02320623,0.9980866,0.04458483,-0.02400454,-0.0354853,0.9899588,-0.05981444,-0.1249524,0.02812171,0.9926071,-0.06973817,-0.08819756,-0.0457061,0.8720136,0.01870397,-0.09329499,-0.4801443,0.6007916,0.1792839,-0.7695823,0.1210362,0.9611746,-0.1028549,-0.2163798,0.1369092,0.9965321,0.01910258,0.05184254,-0.06221937,0.982164,0.1655876,-0.07397124,0.04962853,0.9987926,0.008036755,0.01472482,-0.04617319
0.8714578,-0.4799557,0.09229815,-0.04104743,0.652109,0.7456529,-0.1210993,0.06395858,0.9704993,-0.2334556,-0.04709755,0.03756946,0.9954829,-0.02997268,-0.0805548,0.04032902,0.8826505,0.2973359,-0.1110328,0.3466862,0.5900642,0.1649582,0.7329475,0.2956366,0.956642,0.03856248,-0.08072177,-0.2771876,0.9908258,0.1280824,0.04034971,0.0152,0.9990023,0.02094831,-0.03431252,-0.01944635,0.9944313,-0.04275595,-0.09615739,0.005667713,0.994797,-0.04512236,-0.07399014,-0.05355751,0.8729243,-0.01150221,-0.07012244,-0.4826528,0.593749,0.1944852,-0.773901,0.1035123,0.9629603,-0.1009462,-0.2133466,0.1303865,0.9978864,0.02923886,0.03523884,-0.04610891,0.9852495,0.164769,-0.02695936,0.03752235,0.9889444,0.1365434,0.003124143,-0.05775222
0.8734905,-0.4763457,0.09400348,-0.03567215,0.7312534,0.6708038,-0.1131367,0.04990813,0.9621769,-0.2585364,-0.07471722,0.0423322,0.9956814,-0.02068531,-0.08343006,0.03507286,0.8874282,0.2899295,-0.1131852,0.3400017,0.5783981,0.1675215,0.742528,0.2933333,0.9563152,0.04056859,-0.07792696,-0.2788241,0.9898326,0.1373823,0.03398533,0.01423624,0.9991065,0.009251978,-0.03899935,-0.01340911,0.9960389,-0.03125909,-0.08321176,-0.002285843,0.9953207,-0.02577546,-0.07688886,-0.05254057,0.874522,-0.03414434,-0.05438862,-0.4807155,0.5924096,0.2068792,-0.7730173,0.09325346,0.9642813,-0.0976455,-0.210165,0.1282873,0.9980825,0.03672973,0.03303237,-0.03729631,0.9847428,0.1701238,0.01235133,0.03445461,0.9580364,0.271154,-0.01523793,-0.09170487
