LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9892569,-0.09628484,0.09269897,-0.05922056,0.9874279,0.1269479,0.07116488,0.06169273,0.9997126,-0.003600672,-0.01376438,-0.01929647,0.9987966,-0.02921578,-0.01238356,-0.03739585,0.6994843,0.02705054,0.1311464,0.7019904,0.9928657,0.1016976,-0.03346908,-0.05249104,0.9151159,0.3392701,0.2142012,-0.03970633,0.9406481,-0.01276063,-0.3389749,0.0106893,0.9991515,0.04037385,-0.006568809,-0.004817176,0.9989167,-0.04053538,-0.02207476,0.005915858,0.9996676,0.01830444,-0.007211298,0.01666536,0.6707117,-0.101614,-0.2228815,-0.700103,0.9958876,0.01591674,0.01723593,0.08750648,0.9770246,0.1638936,-0.05667138,0.1238962,0.9995964,-0.005470515,-0.01962429,-0.01979893,0.9983251,0.04928346,-0.03023273,-0.002054455,0.9989945,-0.03712682,0.02015617,0.01501684
0.9899971,-0.09300948,0.09198095,-0.05286248,0.9896615,0.1080777,0.07521369,0.05685289,0.9996916,-0.005663085,-0.01764717,-0.01652727,0.9988331,-0.02914565,-0.01195217,-0.03660734,0.7024658,0.02800579,0.1243443,0.7002115,0.9928311,0.1045498,-0.03158105,-0.0485637,0.9156021,0.3407038,0.209592,-0.04080359,0.940358,-0.0115972,-0.3397701,0.01219445,0.9991679,0.03978459,-0.007241968,-0.005315795,0.9989259,-0.04053405,-0.02145765,0.00660621,0.9996717,0.01827937,-0.007104624,0.01649013,0.6704256,-0.1021999,-0.2288672,-0.6983584,0.9958941,0.007221313,0.01455526,0.08905671,0.9772235,0.1610112,-0.05823318,0.1253732,0.9996235,-0.003874859,-0.01785006,-0.02047469,0.9984259,0.04722247,-0.03020871,-0.001805578,0.9989834,-0.03802072,0.01898704,0.01503817
0.9904287,-0.09081419,0.0914028,-0.04949131,0.9906865,0.09867033,0.07676036,0.05396521,0.9996907,-0.004807367,-0.019688,-0.01441409,0.9988579,-0.02923532,-0.0115817,-0.03597229,0.7041869,0.02784809,0.1209892,0.6990758,0.9927691,0.1062386,-0.03107213,-0.04644982,0.9154294,0.3420265,0.20813,-0.04109618,0.9402189,-0.01116551,-0.3401592,0.01247715,0.9991695,0.03966691,-0.007538222,-0.00548393,0.9989215,-0.04059559,-0.02137046,0.007161578,0.9996739,0.0181395,-0.007154636,0.01648988,0.6703623,-0.1021508,-0.2313156,-0.6976194,0.9958524,0.003170431,0.01315892,0.08997128,0.9774839,0.1590593,-0.05874643,0.1255955,0.9996299,-0.002920075,-0.01771707,-0.02043892,0.9984892,0.04647671,-0.02926931,-0.00160085,0.9989781,-0.03854544,0.01822978,0.0149864
0.9911085,-0.08703374,0.0905469,-0.043937,0.9930202,0.08086928,0.07212398,0.0465762,0.9998187,0.005790489,-0.01691421,-0.006553654,0.9988931,-0.02969345,-0.01055763,-0.03492161,0.707145,0.02821546,0.1145364,0.6971595,0.9926165,0.1092695,-0.03022303,-0.04311905,0.9147516,0.3444665,0.2067534,-0.04272484,0.9396806,-0.01040198,-0.3416261,0.01355234,0.9991763,0.03934672,-0.008065114,-0.005786858,0.9989142,-0.04100423,-0.02081128,0.00747461,0.9996777,0.01810707,-0.006857404,0.01641692,0.6697429,-0.1015223,-0.2357101,-0.6968346,0.995652,-0.005441219,0.01029275,0.09242041,0.9778107,0.1557384,-0.0606238,0.1263191,0.9996479,-0.001199858,-0.01725965,-0.02011821,0.9985938,0.04532916,-0.02741949,-0.00195927,0.9989331,-0.04025202,0.01717702,0.01474842
0.9918962,-0.08282892,0.08864505,-0.03772749,0.9952511,0.06513619,0.06139906,0.03824732,0.9998923,0.0110043,-0.009710958,-0.0002975385,0.9988926,-0.03062184,-0.009921276,-0.03431431,0.7099229,0.03004872,0.1078049,0.6953306,0.9926651,0.1103156,-0.02825591,-0.04059565,0.9147604,0.3448901,0.2055376,-0.04492924,0.9391041,-0.009500736,-0.3431848,0.01475094,0.99919,0.03893814,-0.008554151,-0.005484483,0.9989009,-0.04169755,-0.02037873,0.006563806,0.9997011,0.01781198,-0.006961665,0.01522801,0.6693221,-0.100524,-0.2396596,-0.6960361,0.9953803,-0.01339285,0.007785008,0.09475229,0.9781107,0.1519877,-0.06234738,0.1277187,0.9996808,0.0004124002,-0.01658195,-0.01906077,0.9986344,0.04433016,-0.0274416,-0.003338269,0.9988478,-0.04203592,0.0179331,0.01464541
0.9926791,-0.07758995,0.08769003,-0.02964156,0.9968623,0.05223741,0.05220408,0.02848851,0.9994991,0.03024615,0.003492325,-0.008640117,0.9989196,-0.03104611,-0.0090569,-0.0333728,0.71185,0.03040519,0.0994334,0.6945921,0.9928879,0.1097585,-0.02575283,-0.0382553,0.9156041,0.3435912,0.2036661,-0.04620013,0.9385444,-0.008713914,-0.344685,0.01583281,0.9992125,0.03820276,-0.009190525,-0.00552994,0.9988926,-0.04225009,-0.01975515,0.006178735,0.9996601,0.01822236,-0.008989003,0.01633362,0.6684082,-0.1016594,-0.2405324,-0.6964481,0.995146,-0.01905988,0.005776645,0.09637333,0.9777216,0.1502964,-0.06565715,0.1309988,0.9997198,0.001611118,-0.01534267,-0.01795416,0.9985757,0.04480578,-0.02860492,-0.004568968,0.9987196,-0.04456547,0.01929162,0.01417542
0.9930187,-0.07465977,0.08795352,-0.02457379,0.9972714,0.04862512,0.05060108,0.02290994,0.9988709,0.04069881,0.01207974,-0.02132139,0.9989455,-0.03094215,-0.008955367,-0.03271664,0.7124296,0.03046822,0.09566994,0.6945236,0.9930323,0.1089323,-0.02498938,-0.03736368,0.9162873,0.3422469,0.2028164,-0.04637009,0.9382461,-0.008395199,-0.345478,0.01639577,0.9992241,0.03775616,-0.009755819,-0.005522538,0.9989209,-0.04210205,-0.0189301,0.005107379,0.9996137,0.01714743,-0.01210187,0.01821866,0.6681557,-0.1030416,-0.23763,-0.6974829,0.9950685,-0.02170977,0.004899264,0.09666125,0.9771604,0.1509335,-0.06814014,0.1331675,0.999743,0.002178055,-0.01442767,-0.01734844,0.9985406,0.04521111,-0.02908613,-0.005166145,0.9986637,-0.04574073,0.01982006,0.01362712
0.9931094,-0.07110945,0.0907888,-0.02084547,0.9973971,0.04725369,0.05124832,0.01843135,0.9989778,0.03651872,0.01271473,-0.02341126,0.9989573,-0.03129508,-0.008792564,-0.03205806,0.7128339,0.03022191,0.09189151,0.6946298,0.9931996,0.1077507,-0.02468872,-0.03653494,0.9168781,0.341309,0.2016716,-0.04659794,0.9377984,-0.008457754,-0.3466822,0.01655375,0.9992207,0.03778436,-0.01009812,-0.005328246,0.9989135,-0.04275434,-0.01796617,0.004598858,0.9996077,0.01674913,-0.01202431,0.01895783,0.6680955,-0.102409,-0.237137,-0.6978015,0.9950325,-0.0223521,0.00357081,0.09694356,0.9767345,0.1507845,-0.07028288,0.1353298,0.9997869,0.003598432,-0.01224531,-0.01622812,0.9984909,0.04592532,-0.02949316,-0.00607403,0.9985881,-0.04776551,0.01915579,0.01316683
0.9922576,-0.06691676,0.1025414,-0.02079122,0.9975209,0.04861929,0.04839603,0.01568465,0.9995956,0.02396805,0.002511378,-0.01509222,0.9990258,-0.03136647,-0.008217443,-0.02993616,0.7136257,0.02906834,0.08582535,0.6946419,0.993522,0.1049935,-0.02519932,-0.03543246,0.9179645,0.3401777,0.1987101,-0.04620145,0.9370942,-0.00800771,-0.3485584,0.01724693,0.9992269,0.03719397,-0.01169539,-0.005051865,0.9989332,-0.04364408,-0.01468245,0.003480637,0.9995443,0.01771616,-0.01039162,0.02212106,0.6669242,-0.1021829,-0.236678,-0.6991097,0.9950823,-0.02271065,0.002878443,0.09637003,0.9754071,0.1510336,-0.07691863,0.1409023,0.9998627,0.0058767,-0.007257513,-0.01368915,0.9984195,0.04766245,-0.02899911,-0.00676784,0.9984552,-0.05226681,0.01550097,0.01073003
0.9922405,-0.0616447,0.1064643,-0.01800415,0.9972449,0.04498221,0.05717666,0.01449313,0.9996886,0.02111597,-0.007836194,-0.01074391,0.9990975,-0.03082448,-0.007445675,-0.02826081,0.7142439,0.02700832,0.08181713,0.6945733,0.9924688,0.1139259,-0.02391875,-0.03813696,0.9226417,0.3309958,0.1930582,-0.04361939,0.9360235,-0.00746433,-0.3514657,0.01662185,0.9992397,0.03651297,-0.01316043,-0.003703192,0.9989996,-0.04351561,-0.01008,0.002147603,0.9994975,0.01820811,-0.008513524,0.02451084,0.6659166,-0.1015473,-0.234586,-0.7008657,0.9952887,-0.01859379,0.003170788,0.09510309,0.9743572,0.1473089,-0.08314432,0.1483755,0.9999264,0.008067428,0.001241779,-0.008978246,0.9982904,0.05013706,-0.02892245,-0.008132615,0.9983144,-0.05652568,0.01014468,0.008384746
