Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9976982,0.9991347,0.8038377,0.993852,0.9525005,0.983519,0.8745228,0.9808103,0.9908749,0.2394904,0.9976379,0.9827999,0.9553364,0.9949315,0.9929658,0.9991342,0.9969584,0.03989033,-0.02650587,-0.01180858,0.0715407,0.3030525,-0.004625537,0.01545996,0.03022015,0.1310891,-0.02693612,0.06540143,-0.1396123,0.2897783,-0.0225945,-0.004819032,-0.02476023,0.006613571,-0.01149281,0.008274625,0.05650834,-0.08433603,0.0283596,0.007954509,0.1697088,0.1821059,-0.001325844,0.9679555,-0.01837984,-0.1149995,0.05447854,-0.04835433,0.05006955,-0.02625111,-0.01439196,0.05361804,-0.03096668,-0.5920408,-0.005261405,-0.009891043,0.1805704,0.4540592,0.06273273,0.03131633,-0.07057678,0.0101805,0.03725541,0.01982629,-0.08522179,0.1071858,0.02070519,-0.0763103
0.9977209,0.9991276,0.8022962,0.995299,0.9512601,0.9834563,0.87706,0.977509,0.9910306,0.2406575,0.9976737,0.9803946,0.9668314,0.994273,0.9929698,0.9989044,0.9970472,0.03736655,-0.02632114,-0.01921275,0.06943508,0.3066399,-0.003359445,0.002980486,0.03594017,0.1296236,-0.02778831,0.06574088,-0.1524734,0.247663,-0.03589624,0.01252239,-0.03312999,0.002398339,-0.01198765,0.009012056,0.07205906,-0.06751331,0.03160409,0.008966715,0.1730581,0.1970772,0.0008229879,0.9675617,-0.01589675,-0.1210085,0.05228452,-0.04302531,0.04266706,-0.02414394,-0.0145549,0.05489219,-0.03114615,-0.5922494,-0.0007874487,-0.008798797,0.1808924,0.4481159,0.06591627,0.03248908,-0.07166627,0.008517632,0.0305811,0.0341555,-0.09100284,0.1096989,0.02257127,-0.0753608
0.9977611,0.9991212,0.8010252,0.9936003,0.9553993,0.9834091,0.8794802,0.9748992,0.9911428,0.2418067,0.9976727,0.979544,0.9788843,0.9942499,0.9928339,0.9987423,0.9971958,0.03447109,-0.02600268,-0.02430169,0.08301713,0.2888867,-0.002591201,-0.007941127,0.03795117,0.1286234,-0.02889935,0.06647292,-0.1576299,0.1917203,-0.03672449,0.02863554,-0.03833313,-0.001140754,-0.01247626,0.009692367,0.08393478,-0.07651476,0.059241,0.009749831,0.1769464,0.208429,0.002917119,0.9672,-0.01343616,-0.1226143,0.04965173,-0.03848774,0.03331646,-0.01988333,-0.01478642,0.05593793,-0.03141227,-0.5922188,0.003484241,-0.01571856,0.181121,0.4417481,0.06847356,0.03291585,-0.07223882,0.007076425,0.02474347,0.05063164,-0.09293634,0.111135,0.02547649,-0.07335291
0.997803,0.9991176,0.7998622,0.9979181,0.9499748,0.9833019,0.8815881,0.9732999,0.9911867,0.2426286,0.9976332,0.980131,0.9890332,0.9935367,0.9923649,0.9986042,0.9975134,0.03201817,-0.02568442,-0.0274371,0.05136436,0.3097208,-0.001957207,-0.01751413,0.03596772,0.1284167,-0.0302069,0.06753916,-0.1564536,0.1232156,-0.02193499,0.04455638,-0.04135759,-0.003250778,-0.01301761,0.01053999,0.09285346,-0.0368417,0.03916276,0.01109624,0.1811389,0.2155569,0.004709444,0.9669538,-0.01151445,-0.1203187,0.04631087,-0.03773053,0.02543775,-0.0169657,-0.01383624,0.05652055,-0.0315172,-0.5923225,0.01280507,-0.009340391,0.1816329,0.4355278,0.07020621,0.03218435,-0.07224423,0.005817838,0.01972359,0.06698284,-0.1047858,0.1121584,0.02813165,-0.0690303
0.9978164,0.9991135,0.7993684,0.998336,0.9502331,0.9832773,0.8823587,0.9729367,0.9912149,0.2430647,0.9976069,0.9809533,0.992709,0.9924071,0.9920859,0.9985487,0.9976583,0.03120722,-0.02564348,-0.02845787,0.04628456,0.3086026,-0.001884773,-0.02168815,0.03389947,0.1283446,-0.03102094,0.06810163,-0.1535704,0.08503763,-0.00922038,0.05223959,-0.04188713,-0.003887259,-0.01329423,0.01094707,0.09656824,-0.03006146,0.04147416,0.01176365,0.1832139,0.2173782,0.005454621,0.9668298,-0.01067039,-0.11762,0.04327864,-0.04315534,0.02182144,-0.01581319,-0.0123754,0.05667347,-0.03154073,-0.5923468,0.01671784,-0.01007095,0.1817245,0.4329034,0.07065187,0.03148176,-0.07209342,0.005365179,0.01766885,0.07365032,-0.1148072,0.1120729,0.02993165,-0.06715465
0.9978186,0.9991131,0.7989478,0.9986535,0.9506267,0.9832493,0.8829498,0.9728487,0.9912648,0.2436774,0.9976014,0.9820235,0.9950119,0.9907837,0.991834,0.9985139,0.9978219,0.03079195,-0.02551106,-0.02926018,0.04135615,0.3070423,-0.001686759,-0.02578528,0.03164603,0.1281023,-0.03191075,0.06833118,-0.1500329,0.04763629,0.006810185,0.05912514,-0.04139682,-0.004307181,-0.01358205,0.01136425,0.09987225,-0.02362408,0.04380057,0.01254949,0.185183,0.218096,0.005978127,0.9666321,-0.009850489,-0.1133178,0.03913762,-0.0523749,0.01844393,-0.01477624,-0.01041952,0.05679271,-0.03151375,-0.5923276,0.02056231,-0.01074617,0.1818256,0.4306298,0.07069758,0.03079512,-0.07228712,0.005022624,0.01670288,0.07842439,-0.1247327,0.1114868,0.03221817,-0.06499449
0.9975635,0.9992427,0.7985125,0.9990278,0.9516046,0.9828374,0.883361,0.9733729,0.9914823,0.2452611,0.9977043,0.9843164,0.9960494,0.9833903,0.9911872,0.99853,0.9981915,0.03222411,-0.02416531,-0.02981205,0.03234564,0.3033156,-0.001085065,-0.03237055,0.02690274,0.1267319,-0.03416828,0.06727648,-0.1438342,-0.01932006,0.04517733,0.07178451,-0.03781059,-0.003616847,-0.01540739,0.01075887,0.1054543,-0.01178947,0.04809238,0.0117754,0.1887167,0.2165413,0.006370593,0.9660774,-0.00715676,-0.100679,0.02199477,-0.07371978,0.01227627,-0.01266318,-0.005056808,0.05992783,-0.02853865,-0.5919193,0.02753808,-0.01163924,0.1840947,0.4277984,0.07022259,0.02934804,-0.07330768,0.002973144,0.01722548,0.08383659,-0.1595869,0.1106544,0.03671474,-0.05979168
0.9974023,0.9992826,0.7989482,0.9991273,0.9524537,0.9829037,0.8831387,0.9747015,0.991765,0.2459717,0.9977632,0.986087,0.9932039,0.9747314,0.9902477,0.9987127,0.9985271,0.03393802,-0.02322906,-0.0301742,0.02538933,0.3001128,-0.0007312295,-0.03850744,0.02237129,0.1248336,-0.03655416,0.06659106,-0.1401992,-0.06401318,0.0594236,0.08466823,-0.0304292,-0.0004652069,-0.0175829,0.00952186,0.1095461,-0.00121735,0.05123329,0.01027088,0.1917368,0.2114054,0.006058376,0.9658073,-0.005299601,-0.08884094,-0.007877258,-0.08488135,0.004826903,-0.008558168,0.001678854,0.06105638,-0.02835533,-0.5905682,0.03314493,-0.01181248,0.1838323,0.426404,0.06902417,0.02796618,-0.07333518,0.002502941,0.00916098,0.09688264,-0.1978958,0.1105332,0.03967221,-0.05422848
0.9972295,0.9992995,0.8004481,0.9990111,0.9529839,0.9830049,0.8824115,0.9765121,0.9919734,0.2468325,0.9977469,0.9863637,0.9883271,0.9687647,0.9891319,0.9989084,0.9987277,0.03507009,-0.02274819,-0.03211707,0.02194433,0.2981292,-0.0007563009,-0.04517797,0.01882638,0.123596,-0.03834075,0.06699863,-0.1359814,-0.09003988,0.0756928,0.09908246,-0.01945084,0.004840412,-0.02014382,0.007861177,0.1104571,0.01020452,0.05307483,0.008028602,0.1928107,0.2035772,0.005512666,0.9656885,-0.003226493,-0.09216233,-0.02524727,-0.07715882,-0.003814193,-0.0005022633,0.007447983,0.06243134,-0.02865921,-0.5882606,0.03729922,-0.01112808,0.1834024,0.4267703,0.06801594,0.02612423,-0.07106028,0.001382806,-0.0100896,0.1202702,-0.2231863,0.1085643,0.04246776,-0.04963954
0.9971412,0.9993033,0.8015866,0.9989387,0.953108,0.9830848,0.8819321,0.9774854,0.9920486,0.2475818,0.9977227,0.9865329,0.9873783,0.9652246,0.9886353,0.9989116,0.9987794,0.03539763,-0.02236965,-0.03187864,0.02028944,0.2976491,-0.0009109974,-0.0486475,0.01734737,0.1232718,-0.03907264,0.0674176,-0.1342607,-0.09487069,0.08139526,0.1060857,-0.01220508,0.008826478,-0.02123426,0.007061303,0.1100581,0.01448543,0.0536544,0.006848867,0.1923343,0.1990277,0.00519339,0.965587,-0.00201159,-0.09233704,-0.02763578,-0.06962395,-0.008374713,0.004829498,0.009647793,0.06328951,-0.02902935,-0.5867964,0.0387281,-0.01055655,0.1830207,0.427594,0.06789205,0.02483293,-0.0694155,0.000573367,-0.01417171,0.123774,-0.238472,0.1061882,0.04475984,-0.04763078
0.9970512,0.9993088,0.8028308,0.9988573,0.9530903,0.9830399,0.8817751,0.9784701,0.992134,0.2478673,0.9977211,0.9867046,0.9878321,0.963281,0.9882622,0.9988134,0.998804,0.0356226,-0.02189672,-0.03124272,0.01886736,0.2976435,-0.0004045739,-0.05264941,0.01612927,0.1229204,-0.03949681,0.06746272,-0.1336992,-0.09403185,0.08553188,0.1118783,-0.003490523,0.01349939,-0.02234797,0.006429709,0.1087955,0.01830556,0.05412048,0.006286238,0.1909964,0.1942579,0.004914754,0.9655847,-0.001094851,-0.09122043,-0.02551555,-0.06648021,-0.01328723,0.01018431,0.01198894,0.06419091,-0.02934411,-0.5853634,0.03991323,-0.009911161,0.1832841,0.4280433,0.06782305,0.0231646,-0.06817666,-0.0003155656,-0.0147466,0.1212217,-0.2456715,0.1031722,0.04749712,-0.04543884
0.9968299,0.999344,0.805502,0.9986863,0.952814,0.9829292,0.8812976,0.980238,0.9923413,0.2454855,0.9977609,0.987263,0.9906905,0.9628645,0.9876133,0.9982992,0.9987116,0.03645218,-0.02033262,-0.02939081,0.01739684,0.2983666,0.001279466,-0.0592704,0.01419204,0.1219953,-0.03964991,0.06681183,-0.1313594,-0.07909066,0.09633686,0.1205584,0.01807949,0.02599624,-0.02358715,0.006062437,0.1044643,0.02429223,0.05530302,0.00587731,0.1856503,0.1853102,0.003842217,0.9663485,-0.00149849,-0.08809992,-0.01216153,-0.0790258,-0.02381465,0.01832506,0.01665793,0.06667206,-0.02935049,-0.5825719,0.04162884,-0.008030617,0.1838863,0.4305062,0.06776541,0.01900097,-0.06584425,-0.002683125,-0.01717064,0.1101321,-0.2395124,0.09756303,0.05230771,-0.04027285
0.9966725,0.9993153,0.8082392,0.9985816,0.9525602,0.9828079,0.8808311,0.9792517,0.9935777,0.2401519,0.9976657,0.9881808,0.9933164,0.9775357,0.9871991,0.9970652,0.998225,0.03337704,-0.02340728,-0.02608679,0.01780504,0.2989676,-0.002649546,-0.06110441,0.02040988,0.112187,-0.04052752,0.06805169,-0.125871,-0.05691192,0.1038455,0.1246448,0.04606848,0.04477359,-0.02518607,0.005504196,0.09864861,0.02771807,0.05674358,0.005160047,0.1754527,0.1892333,-0.008607117,0.9677832,-0.003089535,-0.08478113,0.004874287,-0.1191994,-0.0334578,0.02041786,0.01930751,0.06996983,-0.02811977,-0.579946,0.04182594,-0.005264714,0.1845404,0.4354528,0.06957164,0.01197501,-0.06387702,-0.004755388,-0.02162167,0.1002986,-0.1393974,0.09371386,0.05763505,-0.03419604
0.9968051,0.9989983,0.8118444,0.9986057,0.9527808,0.9824364,0.881304,0.98289,0.9931544,0.2331648,0.9969851,0.9889053,0.9947191,0.9745936,0.9867253,0.9943236,0.9964781,0.02383947,-0.03189102,-0.02215507,0.01953047,0.2980981,-0.008526855,-0.06277971,0.01400519,0.1163923,-0.03971374,0.07700901,-0.1115033,-0.03998496,0.1254859,0.1311976,0.08214494,0.0750522,-0.0270752,0.004994132,0.09202573,0.02820389,0.05784308,0.004553627,0.165779,0.1705787,0.0002038997,0.9701996,-0.00590431,-0.09393516,0.004638155,-0.1307719,-0.04541829,0.01684677,0.02311916,0.07126219,-0.0309895,-0.5761503,0.04012198,-0.0006316901,0.1863476,0.4380402,0.06807465,0.009857426,-0.05262938,-0.007454887,-0.02845424,0.09441255,-0.131603,0.08424778,0.06549072,-0.02939619
