LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9937715,-0.08321466,0.07186579,-0.01813443,0.9942075,0.09640605,-0.0424187,0.02140214,0.9983513,-0.002894645,-0.02813947,0.04994513,0.9958553,0.0388419,0.005922414,0.08202753,0.7757095,0.01543504,0.1118606,0.6209056,0.9906718,0.1261639,0.04646831,-0.02219999,0.9926201,0.1158341,0.035517,-0.00513646,0.9689319,0.02318042,-0.2462116,0.003677469,0.9987486,0.04533372,-0.0171435,-0.01233807,0.9944392,-0.09781093,0.03886433,0.003654989,0.9991143,0.04171918,0.003562842,-0.004186746,0.7546111,-0.01226401,-0.07199986,-0.6520948,0.9912688,0.0992578,-0.08670467,-0.004040627,0.9571416,0.2546215,0.02812796,0.1351176,0.9968018,-0.06253428,-0.04957749,-0.004201355,0.999075,0.02944481,-0.02695579,0.01599118,0.998744,0.003409237,0.03258946,-0.03790687
0.9934222,-0.0872054,0.07136703,-0.02035309,0.993976,0.09945865,-0.04020086,0.02244153,0.9981359,-0.003900995,-0.03059313,0.05266609,0.9958531,0.03857515,0.006758866,0.08211492,0.7773017,0.01674775,0.1162937,0.6180594,0.9907055,0.1282076,0.03858639,-0.02401179,0.9925542,0.1171227,0.03340611,-0.001585216,0.9691648,0.02475967,-0.2451404,0.003592964,0.998795,0.04471567,-0.01668586,-0.01142788,0.9945462,-0.09775496,0.0360635,0.004630561,0.9991528,0.04071455,0.004189499,-0.004286288,0.7550693,-0.01104333,-0.07084744,-0.6517124,0.9910944,0.09701719,-0.09084218,-0.008200855,0.9635476,0.2337316,0.02271929,0.1281773,0.9965391,-0.06588956,-0.05036896,-0.005617307,0.9989087,0.03522504,-0.02668134,0.01512181,0.998833,-0.001499089,0.03313631,-0.03510405
0.9930136,-0.09199626,0.07036698,-0.02256828,0.9932839,0.1050558,-0.04104726,0.02579618,0.9981847,-0.006072383,-0.02910531,0.05237612,0.9958439,0.03808946,0.00790157,0.08235043,0.7789697,0.0208433,0.1233294,0.6144604,0.9905628,0.1307685,0.03105508,-0.02684456,0.9926015,0.1175189,0.03038814,0.002866178,0.9692405,0.02626231,-0.2446918,0.003019486,0.9988285,0.0444287,-0.01612401,-0.01037558,0.9945899,-0.09795213,0.0340657,0.005997007,0.9991952,0.03962845,0.00450406,-0.004284349,0.7550536,-0.01058839,-0.06861047,-0.6519775,0.9910489,0.09323005,-0.09472027,-0.01258582,0.9689252,0.2164439,0.02020574,0.1180163,0.9964821,-0.06714278,-0.04977117,-0.006182119,0.9987778,0.03881123,-0.02701057,0.01439073,0.9988675,-0.006371317,0.03291649,-0.03375954
0.9924933,-0.09821343,0.06823491,-0.02559754,0.992358,0.1131143,-0.04006664,0.02873016,0.9982163,-0.007747474,-0.02713671,0.05260978,0.9958367,0.03764568,0.008957077,0.08253442,0.7804103,0.02648107,0.1318818,0.6106274,0.9904541,0.1323716,0.02410237,-0.02996141,0.9922001,0.1213736,0.02769089,0.006374983,0.9691091,0.02720767,-0.2451184,0.002093398,0.9988464,0.04455213,-0.0152868,-0.009341545,0.9946292,-0.09793274,0.03264227,0.007515013,0.9992256,0.03876128,0.005030593,-0.004521743,0.7547019,-0.01161424,-0.06570652,-0.652666,0.9909565,0.09121779,-0.09706002,-0.01624539,0.9731259,0.2020901,0.01938731,0.1086722,0.9965639,-0.06692181,-0.04838897,-0.006366487,0.998688,0.04100319,-0.02747578,0.01363717,0.9989321,-0.009334838,0.03237672,-0.0316105
0.9922413,-0.1011742,0.06700928,-0.02703147,0.9918903,0.1175572,-0.03852669,0.0291503,0.9981468,-0.008759772,-0.02758555,0.05352914,0.9958386,0.03734005,0.009346531,0.08260624,0.7811152,0.02927677,0.1363097,0.6086227,0.9904836,0.1324624,0.0207558,-0.03106559,0.9917918,0.1247782,0.02689853,0.00747043,0.9692072,0.0275987,-0.2446909,0.001480699,0.9988473,0.04469403,-0.01508283,-0.008894302,0.9946598,-0.09788074,0.03164046,0.008377718,0.9992337,0.03852675,0.005256159,-0.004484643,0.7543843,-0.01249963,-0.06421588,-0.653165,0.9908593,0.09144703,-0.09761323,-0.01751798,0.974785,0.1958572,0.01938364,0.1051598,0.9965589,-0.06671114,-0.04876525,-0.006477538,0.9986484,0.04164236,-0.02809095,0.01334824,0.9989103,-0.01109648,0.03281786,-0.0312735
0.9919215,-0.1039734,0.06676231,-0.02870915,0.9913744,0.1215935,-0.03859342,0.03003872,0.9981779,-0.008968511,-0.02643971,0.05349123,0.9958558,0.03703083,0.009513629,0.0825197,0.7816926,0.03201309,0.1407559,0.6067286,0.990559,0.1320736,0.01759594,-0.03224778,0.9913008,0.1286628,0.02643006,0.00837341,0.9690722,0.02754619,-0.2452329,0.001140769,0.9988462,0.04503677,-0.01424402,-0.008666527,0.9947116,-0.09766715,0.03046309,0.009053945,0.9992418,0.03829701,0.005293486,-0.00459485,0.7540233,-0.01342626,-0.06281969,-0.653699,0.9907878,0.09205851,-0.09759215,-0.01845509,0.9761971,0.1901832,0.01932811,0.1024502,0.9966702,-0.06540469,-0.04818984,-0.006958081,0.998624,0.04193746,-0.02857065,0.0132389,0.9988797,-0.01322762,0.0330396,-0.03118827
0.9911775,-0.1120995,0.06311871,-0.03188875,0.9895125,0.1357519,-0.03642009,0.0333191,0.9982577,-0.01318187,-0.0252768,0.05166197,0.9958702,0.03671917,0.009693086,0.08246516,0.7823461,0.03490802,0.1499098,0.6035255,0.9907706,0.1307139,0.01058851,-0.03428513,0.9902495,0.1365844,0.02527118,0.01058707,0.9692724,0.02804861,-0.2443852,0.0003181431,0.998837,0.04532822,-0.01434973,-0.008006798,0.9948828,-0.09639159,0.02831977,0.01071946,0.9992638,0.03768964,0.005461573,-0.004649621,0.7530904,-0.01487671,-0.06135334,-0.6548811,0.9909902,0.09216806,-0.09518427,-0.01958188,0.9782983,0.1810177,0.01903494,0.09900863,0.9967074,-0.06322059,-0.05014518,-0.007939902,0.9986035,0.041046,-0.03045582,0.01337138,0.9987539,-0.01581415,0.03506209,-0.03179995
0.9902729,-0.1201206,0.06189426,-0.03316079,0.9870463,0.1521425,-0.0359359,0.03606758,0.9984306,-0.01937019,-0.02379916,0.04684833,0.9959863,0.03627827,0.009133017,0.08131307,0.7821868,0.03235694,0.1591161,0.6015139,0.9913776,0.1264399,0.0026506,-0.03429985,0.989572,0.1415695,0.02056948,0.01680371,0.9691765,0.02860643,-0.2447011,-0.0002237661,0.9988253,0.04575159,-0.01409945,-0.007489075,0.9949986,-0.09572902,0.02598397,0.01177091,0.9992697,0.03735353,0.006123499,-0.005216281,0.7521927,-0.01580194,-0.0607984,-0.6559421,0.9913516,0.09182374,-0.09165562,-0.0197416,0.9796998,0.1747381,0.01844699,0.09651241,0.9967584,-0.06076207,-0.05207455,-0.008303174,0.9986231,0.03959958,-0.03183706,0.01305236,0.9985718,-0.01805851,0.03312949,-0.03782452
0.989197,-0.128312,0.06203555,-0.03430836,0.9812956,0.1825558,-0.04433119,0.04203532,0.9984634,-0.03921736,-0.01337561,0.03679647,0.9961593,0.03535159,0.0088343,0.07961828,0.7823359,0.02607032,0.167297,0.5994019,0.9929255,0.1145425,-0.003959101,-0.03103819,0.9890466,0.1436516,0.009045836,0.03270215,0.968869,0.02954883,-0.2458034,-0.0006541638,0.9988133,0.04620688,-0.01351824,-0.007350095,0.9950497,-0.09577908,0.02310732,0.01298733,0.9992852,0.03689553,0.006070761,-0.005569948,0.7516542,-0.01609985,-0.06099367,-0.6565338,0.9918743,0.09033959,-0.08755849,-0.01891294,0.9807984,0.1707336,0.01763839,0.09259348,0.9967952,-0.05856406,-0.0538591,-0.00828704,0.9986769,0.03748389,-0.03285831,0.01263883,0.9984435,-0.01855758,0.03355243,-0.04050305
0.9883956,-0.1331652,0.06365524,-0.03590428,0.9788259,0.1936162,-0.04856898,0.04531812,0.9984508,-0.0442518,-0.009971231,0.03222299,0.9962108,0.03454323,0.009192,0.07928608,0.7830421,0.02335892,0.1718038,0.597313,0.9930389,0.1143098,-0.00812495,-0.02722195,0.9898809,0.1346173,0.002841176,0.04478917,0.9685892,0.03018995,-0.2468257,-0.0007685358,0.9988026,0.04644792,-0.01340348,-0.00751266,0.9950383,-0.09604244,0.0220125,0.01378898,0.999297,0.03651932,0.006284064,-0.005704158,0.7515846,-0.01600965,-0.06117984,-0.6565983,0.9921581,0.08925726,-0.08559933,-0.01811972,0.9813056,0.1694108,0.01711482,0.089702,0.9968522,-0.0571176,-0.05441939,-0.007870595,0.9987346,0.03565662,-0.03327208,0.0122803,0.9983534,-0.01864244,0.0345493,-0.04182557
0.9874533,-0.1386616,0.06516372,-0.03824601,0.9759599,0.2055498,-0.05331383,0.04908359,0.9983981,-0.04903235,-0.005822551,0.02762714,0.9962541,0.03326901,0.009554951,0.07924514,0.7841928,0.0207889,0.1768046,0.5944322,0.9931393,0.1140106,-0.01268244,-0.02269822,0.9904797,0.1239533,-0.002021261,0.05984488,0.9682286,0.03102657,-0.2481339,-0.0005841652,0.9987908,0.04667166,-0.01333996,-0.007800386,0.9950034,-0.09652148,0.02100473,0.01451779,0.9993122,0.03602749,0.006392431,-0.006034321,0.7517254,-0.01578624,-0.06144734,-0.6564174,0.9924445,0.08789305,-0.08384775,-0.01726967,0.9817667,0.1686068,0.01653214,0.08621264,0.9969309,-0.05616067,-0.05397082,-0.00787781,0.998793,0.03363939,-0.03387956,0.01153888,0.998292,-0.01857698,0.03503078,-0.04290698
0.9856503,-0.1500806,0.06444376,-0.04261772,0.9698736,0.230026,-0.05953473,0.05374889,0.9982724,-0.05426282,0.002513449,0.02239643,0.9962528,0.03025954,0.01007423,0.08039423,0.7875667,0.01310368,0.1886574,0.5864943,0.9970224,0.07305666,-0.01025681,-0.02244413,0.9842947,0.1414689,-0.01653929,0.1042932,0.9671857,0.03310461,-0.2519047,0.0003097514,0.9987602,0.04723148,-0.01306261,-0.008765774,0.9948741,-0.09802046,0.01916985,0.01581301,0.999345,0.03493426,0.006228706,-0.007102147,0.7527905,-0.01519478,-0.06286046,-0.6550757,0.9930689,0.08459479,-0.08009956,-0.01555818,0.9822328,0.1696146,0.01527374,0.07884362,0.9971069,-0.05488113,-0.05202369,-0.007720004,0.998934,0.02981171,-0.03377376,0.01007582,0.9981396,-0.01947894,0.03567984,-0.04544092
0.9836809,-0.1631766,0.05924186,-0.04728376,0.9627263,0.2570705,-0.06176836,0.05707449,0.9984298,-0.05147847,0.007130981,0.02090927,0.9962398,0.02825045,0.01010967,0.08127679,0.79034,-0.002174839,0.2047564,0.5774364,0.99813,0.05594109,-0.01687049,-0.01795932,0.9810315,0.1382971,-0.01300453,0.1352108,0.9660518,0.03498686,-0.2559625,0.001771131,0.9987161,0.04793501,-0.01315114,-0.009769294,0.9948024,-0.09892961,0.01777796,0.01628307,0.9993573,0.03416533,0.006289471,-0.008833865,0.7544267,-0.01369822,-0.06693785,-0.6528187,0.9937905,0.0809997,-0.07497015,-0.0141058,0.9819211,0.1741941,0.01446615,0.07265053,0.9972399,-0.05439628,-0.04970656,-0.009103913,0.9991036,0.02767662,-0.03078244,0.008857189,0.9981074,-0.02103847,0.03446896,-0.04637673
0.981373,-0.1772828,0.05392266,-0.05069836,0.954598,0.2847436,-0.06452796,0.05915906,0.998917,-0.04105825,0.008366494,0.02022565,0.996262,0.02774216,0.01106271,0.08105569,0.7922674,-0.02294789,0.2210049,0.5682804,0.9986462,0.04557699,-0.02089144,-0.01385948,0.9793291,0.1336584,-0.004513394,0.1517552,0.9650639,0.03679053,-0.2593947,0.003544903,0.998674,0.04812245,-0.01474059,-0.01083028,0.9949266,-0.09742781,0.01815287,0.01730193,0.9993356,0.03432334,0.007867636,-0.00939984,0.7552622,-0.01056539,-0.07459624,-0.6510782,0.9945522,0.07847064,-0.06756297,-0.01197866,0.9812548,0.179598,0.01425835,0.06841414,0.9971734,-0.05346878,-0.05073056,-0.01458719,0.9992875,0.02691918,-0.02526928,0.007831438,0.9983372,-0.02270078,0.0330763,-0.04139442
0.9804307,-0.1830232,0.05158582,-0.05096128,0.9508585,0.2969181,-0.06519153,0.0588039,0.9997516,0.001653496,-0.01169936,0.01889676,0.9962993,0.02733234,0.01167903,0.08064884,0.7931965,-0.03397296,0.2268074,0.5641309,0.9987754,0.04433335,-0.01852668,-0.01179606,0.9792858,0.1310483,-0.001959449,0.1543429,0.9645508,0.0373636,-0.2612024,0.004359453,0.99865,0.04816143,-0.01579994,-0.01135988,0.9950635,-0.09565888,0.01894453,0.01841248,0.9993277,0.03436278,0.008697625,-0.009368736,0.7554188,-0.008188672,-0.07911305,-0.6503972,0.9949022,0.07797057,-0.06310224,-0.01040569,0.98089,0.1821646,0.01459776,0.06676659,0.9971881,-0.05346368,-0.05003779,-0.01593143,0.999297,0.02689124,-0.02496596,0.007693528,0.9983633,-0.02282199,0.03389989,-0.04000874
0.9795688,-0.1881993,0.04969556,-0.05056061,0.9472302,0.3084053,-0.06528538,0.05812793,0.9996632,0.01371943,-0.01637071,0.01474383,0.9963539,0.02675327,0.01234577,0.08006759,0.7937189,-0.04563369,0.231474,0.5606672,0.998809,0.04578492,-0.01352196,-0.01007894,0.9796309,0.1291234,-0.001213759,0.1537824,0.9639562,0.03751604,-0.2633575,0.004884946,0.99862,0.04832358,-0.01687241,-0.01176099,0.9952385,-0.09325597,0.02015479,0.01993568,0.9993275,0.03419234,0.009415669,-0.009311822,0.7554601,-0.005416065,-0.08352533,-0.6498263,0.9952056,0.07794926,-0.05844935,-0.008570969,0.9804984,0.1848092,0.01529494,0.06507284,0.9972805,-0.05268566,-0.04844537,-0.01757546,0.9992959,0.02683873,-0.02501531,0.007857432,0.9984173,-0.02292871,0.03451789,-0.038024
0.9776177,-0.1989496,0.04814098,-0.04863307,0.9397222,0.3308628,-0.06506978,0.05672639,0.9987649,0.03979875,-0.02881684,0.007368089,0.9964351,0.02560357,0.01406889,0.07914376,0.7937847,-0.07084014,0.2410451,0.5538815,0.9986347,0.05182023,0.001612165,-0.006397844,0.9806757,0.1284563,-0.004146586,0.1475027,0.9625295,0.03732325,-0.2685461,0.005195441,0.9985605,0.04855691,-0.01914231,-0.01236083,0.9956383,-0.08694571,0.02364365,0.02420753,0.9993389,0.03355734,0.010807,-0.008892479,0.7553841,0.00101506,-0.09164395,-0.6488415,0.9956595,0.0788848,-0.04919481,-0.004388244,0.9793948,0.1917334,0.01740059,0.06100363,0.9976078,-0.04982017,-0.04405499,-0.01886517,0.9993182,0.0264053,-0.02472124,0.007400492,0.9985603,-0.02302027,0.03492496,-0.03358133
0.9747225,-0.2113335,0.05784693,-0.0436793,0.9319293,0.3519538,-0.06742501,0.05558868,0.9969793,0.06476896,-0.04266066,0.004166001,0.9965169,0.02432721,0.01562301,0.0782186,0.7930769,-0.09605657,0.2533646,0.5455351,0.9982751,0.05499676,0.02054393,-0.0004307331,0.9820547,0.1285008,-0.007785441,0.1378242,0.9587815,0.03783957,-0.2815779,0.004487872,0.9986221,0.04795062,-0.0170648,-0.01278931,0.9960005,-0.07961117,0.02823234,0.02912084,0.9993576,0.03265621,0.01233883,-0.008107788,0.7550858,0.007862579,-0.09861548,-0.6481194,0.9959765,0.07967573,-0.04101674,-0.0005679717,0.9772991,0.2033885,0.01987414,0.05589876,0.9982331,-0.04693908,-0.03166189,-0.01802561,0.9993609,0.024584,-0.02518101,0.006270567,0.998675,-0.02268037,0.03597718,-0.02897404
0.9716923,-0.2233511,0.06522643,-0.04091417,0.9244204,0.3699633,-0.0740524,0.05559082,0.9961163,0.06992622,-0.05305726,0.006898637,0.996667,0.02244218,0.01698052,0.07656967,0.7917417,-0.1179201,0.2675172,0.536353,0.9976789,0.05243909,0.04293172,0.006620288,0.9844159,0.1223108,-0.007318619,0.1261421,0.9569176,0.03748896,-0.2878942,0.004506922,0.9985909,0.04767817,-0.01928332,-0.0130838,0.9962224,-0.07277159,0.03343887,0.03357126,0.9993868,0.03138388,0.01366938,-0.007370447,0.7546891,0.01429799,-0.1044552,-0.6475562,0.9962544,0.07936646,-0.03422165,0.002639711,0.9740963,0.2195633,0.02155651,0.04963541,0.9985803,-0.04278601,-0.02631616,-0.01772833,0.9994135,0.02182304,-0.0259816,0.00461032,0.9987083,-0.02277268,0.0381198,-0.0246971
0.9698814,-0.2276852,0.07718793,-0.0391357,0.92099,0.3774298,-0.07813813,0.05673366,0.9964089,0.06472038,-0.05427787,0.005876916,0.9967515,0.02165673,0.01766628,0.07553384,0.7902688,-0.1241545,0.2755167,0.5330586,0.9972613,0.04688551,0.05668973,0.007610203,0.9859151,0.1162596,-0.005497796,0.1201043,0.9539037,0.03491914,-0.2980448,0.004206537,0.9985822,0.04879856,-0.01599861,-0.01401081,0.9962646,-0.06984456,0.03631476,0.03549688,0.9993961,0.03084549,0.01440954,-0.006948619,0.7545311,0.01716883,-0.1071494,-0.6472303,0.9963814,0.07888369,-0.03139471,0.003995568,0.972706,0.2266456,0.02008655,0.04551259,0.9989663,-0.03848439,-0.01607757,-0.01807875,0.9994286,0.02070411,-0.0263743,0.00428451,0.998703,-0.02313603,0.03904398,-0.02308002
0.9679783,-0.2342317,0.08118447,-0.03953114,0.9179422,0.3838599,-0.08121589,0.0586335,0.996713,0.06173995,-0.05242264,0.001820603,0.9968488,0.02078129,0.01821857,0.07435586,0.7912439,-0.1471824,0.28027,0.523182,0.9962662,0.05316636,0.06447903,0.0216707,0.9874961,0.1086288,-0.002871409,0.114206,0.9531276,0.03453405,-0.3005583,0.004455898,0.9985627,0.04868591,-0.01736414,-0.01416907,0.9962809,-0.06723877,0.03911509,0.03705861,0.9994034,0.03039007,0.01500763,-0.006645389,0.7544892,0.01962278,-0.1095277,-0.6468112,0.9964843,0.07837476,-0.0291833,0.004985781,0.9683241,0.2438864,0.02912912,0.04493773,0.9990941,-0.03582828,-0.01382345,-0.01833863,0.9994822,0.01901555,-0.02571133,0.003572335,0.998746,-0.0233994,0.03893144,-0.02105175
