LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9448969,-0.3175024,0.0778037,-0.01757104,0.9715298,0.2330196,-0.02550375,0.03436932,0.9965122,-0.06026707,-0.02615763,0.05145042,0.9986883,0.03630586,0.01355037,0.03346537,0.8019199,0.03056641,0.193731,0.5643212,0.9855583,0.1122264,0.1206788,-0.03894562,0.9946865,-0.1010745,0.01815388,0.007295579,0.9525484,0.1328881,-0.2730654,0.02068163,0.9996856,0.0247718,-0.003869165,-0.0003334004,0.9880151,-0.1519441,0.02480239,0.01113818,0.9978629,0.06464353,0.009494689,0.0009162239,0.7328864,-0.04318717,-0.04368736,-0.6775721,0.9940361,0.05683874,-0.09298944,0.00380996,0.9847845,0.04854082,-0.06780575,0.1524651,0.9759151,-0.2172864,-0.01501523,0.01228367,0.9937538,0.1009857,-0.04581852,-0.01248484,0.9982479,-0.0405907,0.03904887,-0.01813081
0.9462931,-0.3120522,0.08154074,-0.02245031,0.9710284,0.2348018,-0.02736767,0.03496986,0.9964027,-0.0597729,-0.02397048,0.05508452,0.9986199,0.03699427,0.01350212,0.03475029,0.8015714,0.02717017,0.1846291,0.5680293,0.9876236,0.09836806,0.1169523,-0.0352906,0.9932537,-0.1134143,0.02000578,0.01356682,0.9523141,0.1280756,-0.2761559,0.02079847,0.9996892,0.02465247,-0.003368798,-0.001573775,0.9880798,-0.1514328,0.02469144,0.01251944,0.9978088,0.06535768,0.0102539,-0.000902694,0.7290012,-0.04153482,-0.02114777,-0.6829238,0.9949564,0.05813893,-0.08102077,0.01082939,0.9845576,0.0498865,-0.0519084,0.1595721,0.9789325,-0.2035738,-0.01225372,0.009936993,0.9948881,0.09019691,-0.0440818,-0.01091373,0.9982811,-0.03878068,0.0392194,-0.01982161
0.9469846,-0.3090098,0.08441769,-0.02463211,0.9706058,0.2360532,-0.03096858,0.03527473,0.996366,-0.0602171,-0.02162247,0.05622403,0.9985927,0.03734451,0.01313576,0.03528975,0.8010157,0.02545979,0.179945,0.5703906,0.9885185,0.09160502,0.1155,-0.0331567,0.9924702,-0.1192934,0.02106678,0.01811844,0.952198,0.125834,-0.2775621,0.02107374,0.9996902,0.02457976,-0.003181409,-0.002287065,0.9880942,-0.1512924,0.0245034,0.01342063,0.9977962,0.06551949,0.01027878,-0.002077495,0.7272074,-0.03991804,-0.01116269,-0.6851652,0.9954233,0.05865936,-0.07395802,0.01489794,0.9846641,0.05178615,-0.04207898,0.1611965,0.9802746,-0.1971099,-0.01150387,0.008781938,0.9953839,0.08510676,-0.04314771,-0.01030087,0.9982699,-0.03800063,0.03985435,-0.02060974
0.9475759,-0.3067722,0.08531529,-0.02668529,0.9699925,0.2383456,-0.03253658,0.035318,0.9963124,-0.06079821,-0.01926519,0.05739436,0.9985647,0.03769878,0.0127416,0.03584778,0.8003595,0.0236768,0.1749376,0.5729406,0.9892478,0.0855708,0.114522,-0.03084017,0.9916434,-0.1248747,0.02213362,0.02366016,0.952073,0.1237227,-0.2789088,0.02143795,0.9996924,0.02441903,-0.003065836,-0.003067425,0.9881234,-0.1510553,0.02420551,0.01444094,0.9977744,0.06581122,0.01025724,-0.003172133,0.7252845,-0.03768718,-0.002471521,-0.6874126,0.9958814,0.05884795,-0.06619757,0.01936543,0.9849572,0.0541525,-0.0313521,0.1610715,0.9814733,-0.1911156,-0.01143061,0.007382363,0.9958397,0.08038349,-0.04185236,-0.009501273,0.9982595,-0.03724999,0.04048089,-0.0212532
0.9492057,-0.3006064,0.08825092,-0.02925955,0.9690598,0.2416472,-0.03719398,0.03385716,0.9963036,-0.06263187,-0.0147452,0.05691137,0.9985058,0.03857078,0.01116265,0.03706756,0.7987125,0.02065796,0.16519,0.5782248,0.9903016,0.07607824,0.1132449,-0.02627683,0.9899104,-0.1343521,0.02571813,0.03695381,0.9517573,0.120085,-0.2814946,0.02232889,0.9996992,0.02394828,-0.002668774,-0.004572805,0.9888565,-0.1457519,0.02680533,0.01416831,0.9977326,0.0664385,0.009326961,-0.005350535,0.7212089,-0.03216923,0.01101336,-0.6918826,0.9967152,0.05787439,-0.04866425,0.02900248,0.9859782,0.06104401,-0.008656919,0.1550665,0.9836296,-0.1798409,-0.01055414,0.004323681,0.9966068,0.07102209,-0.04086524,-0.007791295,0.9982183,-0.03555866,0.04250227,-0.02212433
0.9511075,-0.2933713,0.09185804,-0.02983132,0.9682139,0.2443078,-0.04302804,0.0320019,0.9965403,-0.06492465,-0.01069957,0.05077145,0.9983926,0.04078158,0.009929099,0.03808764,0.7963763,0.01921053,0.1565735,0.5838669,0.9908379,0.07091194,0.1125721,-0.02322489,0.98835,-0.1397653,0.03074033,0.05181704,0.9513391,0.1175089,-0.2838946,0.02344068,0.9997182,0.02283848,-0.002437933,-0.006007362,0.9882814,-0.1500159,0.0213713,0.01839518,0.9976236,0.06795767,0.008171288,-0.007892185,0.7172046,-0.0268166,0.02075262,-0.6960372,0.9972886,0.05558847,-0.02846544,0.03892452,0.987115,0.07233313,0.01230219,0.1421991,0.9840404,-0.1777449,-0.008014376,0.002651865,0.9966517,0.07021675,-0.04106529,-0.008289251,0.9981947,-0.03394138,0.04411212,-0.02257339
0.953715,-0.2850239,0.0916774,-0.028006,0.9701339,0.2374444,-0.04031304,0.02890206,0.9972569,-0.05915193,-0.0137213,0.04232692,0.9982902,0.04244368,0.008634457,0.03925191,0.7932618,0.02025209,0.1489681,0.5900289,0.9909733,0.07025345,0.1120226,-0.0220773,0.9873162,-0.1402905,0.03552463,0.06529487,0.9509292,0.1156935,-0.2859154,0.02451906,0.9997411,0.02145176,-0.002697343,-0.00709825,0.9883517,-0.1495443,0.02010907,0.01982683,0.9975393,0.06906009,0.006877625,-0.00993614,0.7135038,-0.02277457,0.02831012,-0.6997086,0.9973521,0.0535601,-0.006361217,0.04878209,0.9878802,0.09157306,0.02961041,0.1217801,0.9867669,-0.1619448,-0.008055159,-0.0004019976,0.9976697,0.05532669,-0.03941174,-0.006394376,0.998189,-0.03207534,0.04556402,-0.02266967
0.9551837,-0.2809753,0.08928441,-0.02655571,0.9679052,0.2461721,-0.04202849,0.0281492,0.9968486,-0.06768443,-0.01299115,0.03928101,0.9982275,0.04392018,0.009916682,0.03891635,0.7912194,0.01949353,0.1448859,0.5938014,0.9909754,0.07102136,0.1115831,-0.02174643,0.9870777,-0.1388279,0.03769349,0.07059518,0.9507189,0.1149917,-0.2868542,0.02500459,0.9997495,0.02090045,-0.002976095,-0.007439156,0.9883389,-0.1496252,0.019744,0.02021742,0.9975163,0.06929958,0.006336692,-0.01089718,0.7118476,-0.02135012,0.03135727,-0.7013087,0.9970995,0.0532564,0.00492543,0.05414848,0.9879536,0.104919,0.03725253,0.1074796,0.9873616,-0.1583072,-0.007383374,-0.001236944,0.9978522,0.05211699,-0.039194,-0.006222197,0.9981891,-0.0313103,0.04612977,-0.02258774
0.9565533,-0.2773807,0.0862345,-0.02508921,0.9678462,0.2468296,-0.03989443,0.02751842,0.9965059,-0.06940144,-0.01665319,0.04338519,0.9981805,0.0449982,0.01153631,0.03844214,0.7890214,0.0191477,0.1409858,0.5976634,0.9909616,0.0723558,0.1108806,-0.0215674,0.9869564,-0.1368835,0.03977327,0.07482135,0.9505267,0.1143563,-0.2876959,0.02555143,0.9997527,0.02055617,-0.003529592,-0.007717727,0.988275,-0.1500171,0.01979311,0.02038808,0.9974865,0.06961549,0.005904119,-0.0118102,0.7101389,-0.02041157,0.0336596,-0.7029604,0.9966447,0.05345838,0.01565833,0.05996979,0.9876049,0.1202786,0.04465798,0.09041849,0.9879038,-0.1549052,-0.006773946,-0.002138337,0.9980103,0.0490771,-0.03910224,-0.006150634,0.998182,-0.03060091,0.04682926,-0.0224356
0.9582669,-0.2730355,0.08151529,-0.02305247,0.9673073,0.2491871,-0.03765886,0.02835684,0.9963132,-0.07211027,-0.01952425,0.0421786,0.998163,0.04281474,0.007527285,0.04220083,0.7860939,0.02838046,0.137284,0.6020001,0.9909126,0.07657263,0.1084269,-0.02173743,0.9867629,-0.1341413,0.04398432,0.07981487,0.9501525,0.1132381,-0.2892737,0.02661131,0.9997503,0.02010304,-0.005421038,-0.008118164,0.9880915,-0.1509795,0.02140693,0.020548,0.997448,0.06973017,0.005524971,-0.01430808,0.7064657,-0.01761879,0.03612539,-0.7066051,0.9952833,0.05359246,0.03397636,0.07338038,0.983132,0.1606845,0.06704041,0.05601422,0.9889272,-0.1482527,-0.005453366,-0.003788153,0.9983069,0.04326782,-0.03841143,-0.005989216,0.9981961,-0.02956284,0.04727245,-0.02226835
