LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9936296,-0.03039363,0.09522668,-0.05204145,0.9947508,0.08379168,0.03968697,0.04329901,0.997917,0.04748708,-0.04214285,-0.0114335,0.9990354,-0.01319128,-0.005641575,-0.04150377,0.6878647,0.07482002,0.1775044,0.6998116,0.9964555,-0.05535698,-0.01620091,-0.06123397,0.958258,0.2555212,0.1123063,-0.06195054,0.9676461,0.05259656,-0.2461242,0.01781949,0.9993401,0.03326119,-0.01417386,-0.00351085,0.9896392,-0.0689681,-0.1239873,0.0220195,0.9996088,0.01239774,0.01016901,0.02291508,0.6754439,0.02567547,-0.1857035,-0.7131834,0.9957207,0.02550211,-0.002028944,0.08880287,0.9710139,0.197625,-0.05792826,0.1213287,0.9931358,-0.1082042,-0.04357417,0.008632779,0.9984162,0.0446864,-0.0339517,-0.003951965,0.9994675,0.0009253955,0.03223793,-0.004966433
0.9933221,-0.03544727,0.09472656,-0.05551241,0.9904291,0.1140432,0.05755362,0.05226917,0.9972631,0.03697379,-0.06192152,-0.01628126,0.9989543,-0.01311409,-0.007002761,-0.04323637,0.6877088,0.07677745,0.1710384,0.7013614,0.9971287,-0.04350761,-0.0180443,-0.05929504,0.9571583,0.2607152,0.1090481,-0.06312125,0.9678624,0.05045273,-0.2456801,0.01839377,0.9993289,0.03291991,-0.01545141,-0.004392047,0.9899618,-0.06476754,-0.1237489,0.02160963,0.9996496,0.01213338,0.009232041,0.02163656,0.6776267,0.02460793,-0.1910154,-0.7097391,0.9958356,0.01963483,-0.004541443,0.08891211,0.9716758,0.1964095,-0.05846198,0.1176934,0.9939637,-0.09870037,-0.04731991,0.007437663,0.9988291,0.03750478,-0.03008813,-0.005337683,0.9994857,-0.0004533895,0.03177306,-0.004321171
0.9931111,-0.03803541,0.094933,-0.05719614,0.9892897,0.1217951,0.05871344,0.05499656,0.9971233,0.03600536,-0.06408511,-0.01848897,0.9989068,-0.01271654,-0.007575427,-0.04434116,0.6880678,0.07599439,0.1668492,0.7021033,0.997472,-0.03654079,-0.01905307,-0.0578906,0.9562653,0.2642212,0.1080749,-0.06374657,0.9679713,0.04936786,-0.2454394,0.01881132,0.9993228,0.03276997,-0.01604944,-0.004740504,0.9900871,-0.06333823,-0.1235353,0.02132959,0.9996482,0.01247851,0.009297976,0.02148021,0.6779975,0.0233678,-0.1946488,-0.7084386,0.9958814,0.0155493,-0.005317837,0.08916403,0.9718827,0.1963003,-0.05892429,0.115923,0.9943806,-0.0941318,-0.04801889,0.006381961,0.9989681,0.03441778,-0.02910618,-0.005560113,0.9995074,-0.001409104,0.03108106,-0.004130261
0.9923016,-0.04701569,0.09499032,-0.06406138,0.9871243,0.1358238,0.05517713,0.06397671,0.9972729,0.02681444,-0.06446933,-0.02390528,0.9988453,-0.01135726,-0.008384026,-0.04592233,0.691539,0.06899688,0.1500732,0.7032007,0.9983497,-0.01338759,-0.02161076,-0.05149442,0.9534175,0.2747039,0.1058018,-0.06586926,0.9683682,0.04635118,-0.2443685,0.0199686,0.9992851,0.03259161,-0.01821847,-0.005926203,0.9903451,-0.06219332,-0.1219419,0.02188048,0.9996417,0.0137103,0.009278833,0.02103474,0.6797038,0.01622067,-0.2050996,-0.7040411,0.9958186,0.002741665,-0.00683722,0.09105582,0.9730265,0.1934651,-0.05909518,0.1108984,0.9955772,-0.08156469,-0.04654705,0.002579191,0.9991329,0.02710978,-0.03117389,-0.005161549,0.9994947,-0.004744563,0.03122299,-0.003614034
0.9920874,-0.05034562,0.09391797,-0.06638803,0.986797,0.1371596,0.05439566,0.06678232,0.9973073,0.02274317,-0.06475838,-0.02583205,0.9988332,-0.01095038,-0.008662458,-0.04622961,0.6928914,0.06575708,0.1437399,0.703503,0.9985213,-0.005781084,-0.02235525,-0.04921493,0.9525396,0.2778836,0.104793,-0.06683879,0.9684463,0.0456098,-0.244179,0.02020308,0.9992708,0.03260282,-0.01888994,-0.006179193,0.9904079,-0.06245588,-0.121228,0.0222498,0.9996398,0.01416615,0.009040114,0.02092633,0.6805223,0.01253098,-0.2080032,-0.7024722,0.9957494,-0.001099646,-0.007544577,0.09178885,0.9736961,0.1910723,-0.05814673,0.1096646,0.9959123,-0.07783574,-0.04580024,0.001656827,0.9991479,0.02497939,-0.03247247,-0.005012055,0.9994817,-0.005833996,0.03149005,-0.003285825
0.9917183,-0.05718339,0.09239835,-0.06846481,0.9869984,0.1351343,0.05259515,0.06933019,0.9972414,0.01491481,-0.06708378,-0.02805417,0.998812,-0.01009076,-0.009464507,-0.04672586,0.6950256,0.06088639,0.1320077,0.7041352,0.9986712,0.006373317,-0.02327071,-0.04553739,0.9512793,0.2827054,0.1023191,-0.06838287,0.9683362,0.04452822,-0.2447919,0.0204747,0.9992483,0.03258518,-0.01997124,-0.006497421,0.9905828,-0.06326269,-0.119253,0.02285634,0.9996292,0.0149208,0.008745774,0.02103342,0.6821203,0.00333228,-0.2125146,-0.6996702,0.9955972,-0.008792342,-0.009042487,0.09288226,0.9756321,0.1826317,-0.05597141,0.1079581,0.9965089,-0.07091144,-0.04406433,0.000191631,0.9991931,0.02077495,-0.03407312,-0.004538559,0.9994398,-0.007616919,0.03247954,-0.002706007
0.9914941,-0.06104898,0.09233203,-0.06846483,0.9874593,0.1321938,0.05122631,0.06946073,0.9971674,0.01145594,-0.06897136,-0.02773037,0.9987947,-0.009864887,-0.009969871,-0.04703693,0.6957573,0.05934666,0.1266549,0.704527,0.9986827,0.01087631,-0.02355393,-0.04426963,0.9508595,0.2844389,0.1008553,-0.06920213,0.9681512,0.04434241,-0.245551,0.02053708,0.9992445,0.03247283,-0.02035785,-0.006454428,0.9906954,-0.06362452,-0.1181036,0.02294057,0.9996219,0.01529548,0.008590344,0.02117259,0.6827118,-0.002041854,-0.2142787,-0.6985593,0.9955255,-0.01331191,-0.009655295,0.09305119,0.976672,0.1773693,-0.05498245,0.1078377,0.9967909,-0.06755226,-0.04294438,-0.0005512026,0.9992179,0.01850887,-0.03470654,-0.004074471,0.9994266,-0.008583643,0.03265502,-0.002528361
0.9911926,-0.06543511,0.09281611,-0.06812262,0.9881307,0.1281171,0.04928916,0.06895099,0.9971086,0.008950538,-0.07052167,-0.02685144,0.998763,-0.009460924,-0.01073467,-0.04762041,0.696161,0.05844174,0.1220648,0.7050139,0.998691,0.01416394,-0.02356335,-0.04313326,0.9505422,0.2858846,0.09907369,-0.07017121,0.9678646,0.04448644,-0.2466386,0.02070154,0.999249,0.03218089,-0.02061456,-0.006393885,0.9908249,-0.06386942,-0.1168742,0.02296071,0.9996185,0.0155578,0.008331706,0.021247,0.6832075,-0.007745624,-0.2154709,-0.6976675,0.9954445,-0.01838129,-0.01024252,0.09299225,0.9776944,0.1717296,-0.05422461,0.1080851,0.9970178,-0.06464343,-0.04214678,-0.0006555177,0.999248,0.01631046,-0.03492223,-0.004237321,0.9993878,-0.00948266,0.03359926,-0.002278765
0.990342,-0.07495636,0.0952635,-0.06729972,0.9900478,0.1162817,0.04265955,0.06681504,0.9971855,0.007536489,-0.07073824,-0.02367556,0.9986947,-0.008971578,-0.01233124,-0.04874788,0.6972508,0.05748788,0.1123753,0.7056261,0.9987226,0.02015961,-0.02251512,-0.04049636,0.9503764,0.2871031,0.09518269,-0.07277969,0.9670456,0.04513364,-0.2496711,0.02121823,0.9992762,0.03126812,-0.02072916,-0.006310799,0.9911434,-0.06368869,-0.1142482,0.02293161,0.9996206,0.0160152,0.007285731,0.02119496,0.6839316,-0.01987203,-0.2159536,-0.6965678,0.9952217,-0.02945102,-0.01164032,0.09236326,0.9796389,0.1598098,-0.05287926,0.1094178,0.9975942,-0.05381284,-0.04369901,-0.0005938355,0.9994139,0.006395863,-0.03329933,-0.00470712,0.9992513,-0.01130252,0.03697216,-0.001493597
0.98927,-0.08450364,0.09910683,-0.06619626,0.9922011,0.1011641,0.03624254,0.0631602,0.9972975,0.009174568,-0.07041508,-0.01885093,0.9986295,-0.008802041,-0.01381638,-0.04970574,0.6996094,0.05792348,0.1033531,0.7046345,0.9988111,0.02414444,-0.02123613,-0.03664014,0.9505574,0.2866555,0.09281152,-0.07520193,0.9660773,0.04601509,-0.2531555,0.02212637,0.9993047,0.03022078,-0.02100625,-0.005961528,0.9915755,-0.06303634,-0.1109132,0.02242368,0.9996695,0.01503081,0.005952111,0.01999024,0.6845438,-0.03029481,-0.2142039,-0.6961312,0.994838,-0.04149999,-0.01403713,0.09153154,0.9810508,0.1495336,-0.05165141,0.1118533,0.9978055,-0.04943265,-0.04404271,-0.0009629838,0.9994181,0.002855994,-0.03354982,-0.005446937,0.9990472,-0.0133002,0.04156425,-0.0005593662
0.9880195,-0.093869,0.1042439,-0.06433755,0.994351,0.08387374,0.02886588,0.05829243,0.9973925,0.01127321,-0.07000748,-0.01342411,0.9985957,-0.00927209,-0.01525301,-0.04987983,0.7014486,0.0587031,0.09528744,0.703878,0.9988179,0.02775786,-0.02075709,-0.03408167,0.9511466,0.2846895,0.09197828,-0.07623693,0.9650007,0.04707769,-0.256937,0.02325523,0.9993191,0.02941157,-0.02145947,-0.005996114,0.99206,-0.06220396,-0.1070841,0.02192338,0.9997125,0.01361757,0.004327225,0.01925509,0.6849865,-0.03781068,-0.2132883,-0.6956091,0.9941567,-0.0549697,-0.01808024,0.0911263,0.9818209,0.1437051,-0.04996249,0.1134916,0.9979959,-0.04480028,-0.0446751,-0.001148186,0.9994748,-0.001177573,-0.03187814,-0.005714821,0.9988739,-0.01520298,0.04494237,1.09626E-05
0.9873242,-0.09849841,0.1072824,-0.0630844,0.9953226,0.07502744,0.025103,0.055441,0.9973845,0.01274657,-0.07036522,-0.0105056,0.9985779,-0.009658956,-0.01582846,-0.04998379,0.7021341,0.05934634,0.09181464,0.7036021,0.9987994,0.0291064,-0.02085974,-0.03342882,0.951397,0.2839501,0.09143947,-0.07651748,0.9644075,0.04767928,-0.2589975,0.02377423,0.9993258,0.02898012,-0.02178786,-0.005782142,0.9923241,-0.06192898,-0.1048282,0.02165272,0.9997323,0.01315917,0.003661097,0.01867655,0.6851965,-0.0402207,-0.2136455,-0.6951573,0.993646,-0.06254475,-0.02073811,0.09124598,0.9819972,0.142866,-0.04912234,0.1133924,0.9980849,-0.04255929,-0.04488296,-0.0008737993,0.999506,-0.003220271,-0.03068672,-0.005982887,0.9988017,-0.01620326,0.04618021,0.0002126116
0.9866207,-0.1030262,0.1103211,-0.06160009,0.9962428,0.06612341,0.0211131,0.05178974,0.9973725,0.01510697,-0.07044214,-0.007601668,0.998619,-0.009866918,-0.01614379,-0.04901122,0.7027094,0.06022123,0.08855205,0.7033715,0.9985677,0.03732242,-0.01493878,-0.03530625,0.9542421,0.2772012,0.08480393,-0.07341626,0.963808,0.04835229,-0.2610261,0.02452731,0.999333,0.02832922,-0.02219596,-0.006192346,0.9926474,-0.06096545,-0.1023566,0.02139075,0.9997363,0.01281305,0.002990581,0.01882161,0.6856627,-0.04169007,-0.2141695,-0.6944495,0.9930423,-0.07024939,-0.02376167,0.09147302,0.9820881,0.1429067,-0.04853425,0.1128053,0.9981502,-0.04064145,-0.04521174,-0.0007106973,0.9995381,-0.005134278,-0.02930487,-0.006207811,0.9987206,-0.01709771,0.04758924,0.0002477053
0.9852468,-0.110989,0.1168161,-0.05765481,0.9978575,0.04754132,0.01284471,0.04307454,0.9972829,0.0236429,-0.06976326,-0.0009658113,0.9986085,-0.0102138,-0.01655166,-0.04901846,0.7039174,0.06051273,0.08189161,0.7029456,0.9987006,0.03285358,-0.02083353,-0.03292102,0.9513469,0.2846068,0.08868606,-0.07792889,0.9624701,0.04948341,-0.265583,0.02585717,0.9993407,0.02742987,-0.02300798,-0.006039519,0.993208,-0.06010007,-0.09750431,0.02046543,0.999761,0.01202439,0.002426383,0.01809339,0.6869764,-0.04298703,-0.2151913,-0.6927541,0.9917975,-0.08368868,-0.03104523,0.09148843,0.9822451,0.143569,-0.04831097,0.1106736,0.9983777,-0.03638437,-0.04379741,-0.0003031669,0.9995216,-0.008528653,-0.02889074,-0.007023182,0.9985282,-0.01953477,0.05059325,0.0003849488
0.9838439,-0.1183986,0.1225743,-0.05484987,0.9989083,0.02910979,0.003960347,0.0363212,0.9970877,0.0349598,-0.06772138,0.002790465,0.9986307,-0.01047033,-0.01690309,-0.04838817,0.705376,0.05928163,0.0745163,0.7024086,0.9986126,0.0359923,-0.02058992,-0.03245792,0.9505969,0.2872397,0.08664918,-0.07969213,0.9612682,0.05039567,-0.2696297,0.02690022,0.9993394,0.02657846,-0.02403163,-0.006071375,0.9937034,-0.05938995,-0.09289964,0.01990505,0.9997495,0.01200011,0.002246863,0.01875598,0.6875293,-0.04358863,-0.2164728,-0.6917681,0.9906709,-0.09304943,-0.03768665,0.09215657,0.9826635,0.1421678,-0.04987654,0.108042,0.99856,-0.0325859,-0.04261366,0.0003618947,0.9994999,-0.01069452,-0.02870281,-0.007861866,0.9982999,-0.0223023,0.05384986,0.0003450502
0.9825151,-0.1251894,0.1275655,-0.05214215,0.9994797,0.01154106,-0.00651382,0.02940801,0.9966839,0.04657912,-0.0665509,0.004754508,0.9986551,-0.01126456,-0.01646878,-0.04785276,0.7069786,0.05607134,0.06517918,0.7019893,0.9985245,0.03921145,-0.02007695,-0.0317502,0.9495258,0.2906806,0.08456588,-0.08218385,0.9602832,0.05118793,-0.272786,0.02870391,0.9993265,0.02561054,-0.02556618,-0.006081167,0.9941483,-0.05934441,-0.08822929,0.01905579,0.9997615,0.01163061,0.001942585,0.01838627,0.688282,-0.04372427,-0.2190212,-0.6902071,0.9898322,-0.09916075,-0.04090176,0.09341553,0.983287,0.1383742,-0.05200447,0.1062767,0.9987274,-0.02898071,-0.04126859,0.0007094201,0.9995099,-0.01168126,-0.0274291,-0.009547778,0.9981263,-0.02609431,0.05534264,0.0003719241
0.9820049,-0.1284253,0.1291832,-0.04985054,0.9996096,0.004121088,-0.01060909,0.02551459,0.9963182,0.05228345,-0.06772427,0.00546393,0.9986836,-0.01179498,-0.01588236,-0.04732459,0.7079055,0.05392121,0.05967482,0.701713,0.9984859,0.04087214,-0.01957042,-0.03118512,0.9490392,0.2922609,0.08329325,-0.0834893,0.9598878,0.0515154,-0.2740301,0.0294801,0.9993184,0.02507589,-0.02642108,-0.005978221,0.9943535,-0.05932061,-0.08597533,0.01871764,0.9997648,0.01156043,0.001954651,0.0182466,0.6885808,-0.04341096,-0.2210081,-0.6892949,0.989556,-0.1011455,-0.04125494,0.09405667,0.9835289,0.1363727,-0.05305703,0.1061056,0.9988016,-0.02740387,-0.04053995,0.00102134,0.9995179,-0.01180596,-0.02688565,-0.01008601,0.9980506,-0.02793798,0.05580759,-0.0001902914
0.981651,-0.1309284,0.1304482,-0.04692968,0.9996752,-0.002412235,-0.01427244,0.02097973,0.9958757,0.05790193,-0.06955972,0.006353796,0.9987234,-0.01242522,-0.01503403,-0.04659688,0.7089971,0.05133403,0.05369385,0.7012881,0.9984388,0.04288035,-0.0189333,-0.0303767,0.948629,0.2936397,0.08190101,-0.08468173,0.9595503,0.05159023,-0.2750932,0.03042217,0.9993047,0.0246119,-0.02735365,-0.006026971,0.9945586,-0.05917272,-0.08373708,0.01843517,0.9997631,0.01157735,0.0022527,0.01829369,0.6888989,-0.04275851,-0.2231481,-0.6883277,0.9893753,-0.1023893,-0.04133091,0.09457689,0.9836823,0.1349117,-0.05388024,0.1061364,0.9989044,-0.02539746,-0.0392883,0.00119631,0.9995345,-0.01142775,-0.02607835,-0.01095729,0.998023,-0.03051374,0.05494146,-0.000760073
0.9814271,-0.1331721,0.1318189,-0.04110818,0.9996008,-0.01415573,-0.02124413,0.01211039,0.9950034,0.06815644,-0.07263585,0.006853382,0.9988238,-0.01422524,-0.01271789,-0.044576,0.7113757,0.04574601,0.04147318,0.7000943,0.998319,0.04722612,-0.01795121,-0.02840429,0.9480598,0.295895,0.07883711,-0.08610177,0.958998,0.05114147,-0.2768741,0.03237447,0.9992641,0.02395656,-0.02929834,-0.006250155,0.9949548,-0.05883457,-0.07927825,0.01784457,0.9997532,0.01142151,0.003397438,0.01874768,0.6896855,-0.04043355,-0.2267253,-0.6865091,0.9892198,-0.1032166,-0.04143269,0.09525678,0.9835464,0.1352048,-0.05496408,0.1064669,0.9990652,-0.02207409,-0.03715795,0.00089111,0.9995925,-0.009431808,-0.02407645,-0.01209609,0.9979637,-0.03541389,0.05299712,-0.002362265
