Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9988728,0.9995283,0.6600133,0.9899893,0.967617,0.9992498,0.6663914,0.9929937,0.9133783,0.9485167,0.9993516,0.997739,0.9960142,0.9994079,0.996972,0.9928067,0.9994526,-0.03503609,0.02040297,-0.07957055,0.0952862,0.1904822,-0.03020314,0.05056317,0.04678479,0.3349019,-0.003129269,0.03599912,-0.05468965,0.08516723,-0.03088712,-0.03052066,0.09221531,-0.02528613,-0.03202095,-3.796269E-05,-0.1764809,0.05026013,-0.08421603,0.003302912,0.2241099,-0.04367496,0.2306607,-0.3165707,0.0007417061,-0.03895009,-0.02648834,0.0137759,0.04125046,0.0713454,0.01704625,0.0006496716,0.02295426,-0.7258826,0.09119046,0.1426234,-0.02401549,0.7093241,-0.09933409,-0.01940287,0.009452215,-3.75733E-05,-0.003003066,-0.0007079694,0.00632518,-0.05842721,0.02722427,0.01283064
0.9989025,0.9995322,0.6598827,0.9899705,0.9682637,0.9992458,0.6675174,0.9930491,0.9135731,0.9481028,0.9993431,0.9978741,0.9961028,0.9993909,0.996603,0.9918134,0.9996266,-0.03522334,0.02035255,-0.07911509,0.09460399,0.1894933,-0.03018813,0.04907377,0.04888914,0.3341893,-0.003531591,0.03623956,-0.05290787,0.08397569,-0.03105495,-0.03479145,0.1000156,-0.01889081,-0.03084163,6.671523E-05,-0.1770882,0.05061007,-0.08126215,0.003165588,0.2219622,-0.04215591,0.2309338,-0.3178139,0.0003316393,-0.03780392,-0.02696736,0.01439775,0.04267921,0.07310195,0.0161465,0.001382567,0.02282706,-0.7259032,0.09190831,0.1412589,-0.02421954,0.7090452,-0.09841841,-0.01927176,0.009103973,-4.243106E-05,-0.004359825,-9.267731E-05,0.00679756,-0.0612412,0.03097153,0.01135994
0.9989713,0.9995484,0.6604781,0.9902328,0.9699718,0.9992486,0.6697953,0.9932591,0.9139426,0.9472424,0.9993278,0.9981685,0.9963381,0.99937,0.9956507,0.989391,0.9998773,-0.03527864,0.01979151,-0.07867199,0.09187577,0.1869675,-0.02986128,0.04666955,0.05181022,0.3332796,-0.004163271,0.03665617,-0.04886165,0.08087764,-0.03122441,-0.04471033,0.1172357,-0.002217216,-0.02838117,-0.0005766802,-0.1777023,0.05019295,-0.07353978,0.002274066,0.21819,-0.03840211,0.2308174,-0.3203829,-0.0004898829,-0.03499182,-0.02770776,0.01484429,0.0457554,0.07573337,0.01379695,0.002485461,0.02260348,-0.7252595,0.09207914,0.1370761,-0.02460399,0.7082297,-0.09631898,-0.01889649,0.008328131,-0.0001342334,-0.0069097,0.001218667,0.008014038,-0.06772813,0.04032221,0.007078482
0.9989749,0.9995757,0.6619568,0.9909046,0.9715996,0.9992071,0.6716275,0.9936017,0.9144258,0.9463053,0.9992984,0.9984011,0.9965901,0.9993515,0.9943734,0.9863266,0.9997864,-0.03641098,0.0190381,-0.07887269,0.08712582,0.1842512,-0.02990182,0.04383753,0.05419683,0.3325797,-0.005086941,0.03744623,-0.04490639,0.07720964,-0.03035349,-0.05621746,0.1363891,0.01753229,-0.02666844,-0.002122904,-0.1783752,0.04890778,-0.06562978,-0.0002319424,0.2139325,-0.03407755,0.229958,-0.3231398,-0.0007105873,-0.03301295,-0.02903161,0.01675603,0.04942807,0.07740835,0.01091867,0.003480068,0.02194489,-0.7237227,0.0901407,0.1331859,-0.02628822,0.7079744,-0.09304257,-0.01831952,0.007810422,-0.0003274792,-0.009431079,0.001991068,0.009725507,-0.07495297,0.05065478,-0.0007119506
0.9989802,0.9995916,0.6640583,0.9918136,0.972762,0.9990725,0.6711594,0.9941209,0.9149309,0.9451297,0.9992548,0.9985794,0.9967793,0.9992971,0.9929414,0.9825234,0.9993063,-0.03728931,0.01867422,-0.07943854,0.08119963,0.1817152,-0.02915756,0.0431172,0.05551941,0.331711,-0.006528902,0.03859106,-0.04121179,0.07414468,-0.02946973,-0.06788753,0.1573135,0.0349644,-0.02507645,-0.003491301,-0.1794177,0.04668992,-0.06106664,-0.007226123,0.2122174,-0.02906832,0.2292943,-0.326551,-0.0004520302,-0.03175857,-0.03048093,0.02016403,0.05485124,0.07999825,0.005722821,0.004382469,0.0213484,-0.7214745,0.08679009,0.1303249,-0.0308522,0.7089779,-0.08829655,-0.01713124,0.007194196,-0.0006504079,-0.01149146,0.002136564,0.01141992,-0.08031181,0.0591665,-0.01147687
0.9989952,0.9995997,0.6650628,0.9922771,0.9731832,0.9990332,0.6732123,0.9944325,0.9151731,0.9446344,0.9992322,0.9986467,0.9968705,0.9992599,0.9922754,0.9805579,0.9989657,-0.03743695,0.01861024,-0.07971525,0.07816268,0.1808174,-0.02929557,0.04203207,0.05585098,0.3309605,-0.007232479,0.0391738,-0.03939258,0.07282365,-0.02916242,-0.07337093,0.1674571,0.04191593,-0.02423696,-0.00402901,-0.1801474,0.04517332,-0.05979582,-0.008028639,0.2090677,-0.02671975,0.229474,-0.3279788,-0.0005595273,-0.03180702,-0.03070542,0.02184406,0.05765919,0.08122104,0.002767609,0.004436199,0.02092412,-0.720336,0.08506484,0.1290118,-0.0317803,0.708032,-0.08526883,-0.01628024,0.006587913,-0.0003791414,-0.01188914,0.001793265,0.0123303,-0.08174139,0.06218845,-0.01740623
0.999014,0.999608,0.666696,0.9927061,0.973667,0.999018,0.6747057,0.9946666,0.9151984,0.9441736,0.9992167,0.9986932,0.9969351,0.9992206,0.9916064,0.9786276,0.9986268,-0.03726512,0.01852144,-0.07943315,0.07527067,0.1794934,-0.02945089,0.04069601,0.05629125,0.3304567,-0.007994195,0.03955281,-0.03788099,0.07177594,-0.02902129,-0.07849839,0.1768434,0.04687009,-0.02354322,-0.004291096,-0.181226,0.04346466,-0.0592544,-0.008571761,0.205669,-0.02516665,0.2301209,-0.3292823,-0.0006668624,-0.03181581,-0.03108028,0.02344567,0.06000601,0.08272145,-5.753129E-05,0.005303926,0.02055127,-0.7185847,0.08354486,0.1274506,-0.03197468,0.7076838,-0.08268239,-0.01595642,0.006744385,-0.001123413,-0.01283537,0.001596538,0.01289924,-0.08339127,0.0645877,-0.02340273
0.9990724,0.9996192,0.669551,0.9934322,0.9747456,0.9990023,0.6772984,0.9949149,0.9152392,0.9435961,0.9991808,0.9987919,0.9970754,0.9991789,0.9908693,0.9750472,0.9981848,-0.03653467,0.01844,-0.0789127,0.0698912,0.1760444,-0.02997383,0.03835618,0.05771251,0.3289191,-0.009703534,0.04039072,-0.03445191,0.07039162,-0.0294222,-0.08606111,0.192723,0.0499605,-0.02180798,-0.00464066,-0.183583,0.03983374,-0.05896689,-0.008623879,0.199508,-0.02461842,0.2321258,-0.3309019,-0.001814664,-0.03241108,-0.02974924,0.02419644,0.06115263,0.08753292,-0.004691656,0.006632154,0.0199987,-0.7153822,0.08136997,0.1241062,-0.03196206,0.7071013,-0.07878856,-0.01634689,0.006010576,-0.001740832,-0.01331833,0.0008484176,0.01380235,-0.08385701,0.0669249,-0.03330282
0.9991112,0.9996284,0.6715845,0.9938464,0.9760344,0.9989707,0.6780552,0.9948849,0.9153327,0.9432081,0.999145,0.9989591,0.9971602,0.9991635,0.9905078,0.9723022,0.9981413,-0.03576617,0.01831741,-0.07865758,0.06618034,0.1712487,-0.03025769,0.03728131,0.05979568,0.3276236,-0.01178641,0.04116609,-0.03056067,0.06949617,-0.03043084,-0.09076674,0.2048508,0.04445079,-0.0208049,-0.005016955,-0.1865177,0.03678171,-0.05774739,-0.009364743,0.1945129,-0.02617202,0.2334276,-0.3319495,-0.002923324,-0.03072189,-0.02901546,0.02303278,0.06136485,0.09030376,-0.008806268,0.008052111,0.01955685,-0.7127401,0.08084947,0.1212267,-0.03247022,0.7078248,-0.07709432,-0.01845026,0.005396906,-0.002506791,-0.01424483,4.964578E-05,0.01468759,-0.0830072,0.06715566,-0.04074998
0.9991212,0.9996522,0.6741259,0.9942572,0.9773488,0.9989355,0.678536,0.9947011,0.9155801,0.9429566,0.9991024,0.9991587,0.9972162,0.9991474,0.9901828,0.9705722,0.9986051,-0.03561042,0.01794064,-0.0782908,0.06224876,0.1657034,-0.03007927,0.03618817,0.06290849,0.3275118,-0.01400386,0.0420602,-0.02598105,0.06840425,-0.03172026,-0.0939486,0.2131768,0.03239493,-0.02030712,-0.00550624,-0.1902778,0.03385535,-0.05519633,-0.01009168,0.1895115,-0.02856744,0.2323546,-0.332586,-0.004056927,-0.02759284,-0.02967753,0.02144841,0.06289344,0.08966426,-0.0128662,0.008734603,0.01853011,-0.7093795,0.08019719,0.1195202,-0.03348509,0.7087769,-0.07613277,-0.02145835,0.004824678,-0.002999448,-0.01566862,-4.203944E-05,0.01543481,-0.08219574,0.06712414,-0.0396608
