LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9957914,-0.02732348,0.0871922,0.007103388,0.9958255,0.05958746,0.06328881,-0.0278472,0.9904191,-0.03474357,-0.1335575,-0.005028315,0.9994091,-0.03416644,0.003408388,-0.00157843,0.6779368,0.07634248,0.2185905,0.6977047,0.9983451,-0.05360005,0.002484537,-0.02068589,0.9935041,-0.07101629,-0.04825351,-0.07468559,0.9533483,0.004377037,-0.3012352,0.01911054,0.9989645,0.04129964,-0.01905551,-0.00109599,0.9979192,-0.06167668,0.01820956,0.00465766,0.999104,0.002252011,-0.01067921,0.04089107,0.6893547,-0.05110662,-0.02506189,-0.7221844,0.9956557,0.08850543,0.01795155,0.02268067,0.990566,0.04898247,-0.008676932,0.1276891,0.9876716,-0.1263687,-0.04834244,0.07873249,0.9643808,0.2365425,0.118371,0.002392389,0.9811228,-0.06035426,-0.1583627,-0.09314897
0.9955779,-0.02622107,0.08916832,0.01364829,0.996366,0.05450547,0.05927856,-0.0277479,0.9903734,-0.03524701,-0.1337249,-0.005987705,0.9994498,-0.03261384,0.004273928,-0.004268067,0.6904027,0.06885899,0.2046407,0.6904526,0.9979663,-0.05855786,0.02468964,-0.004969866,0.9911907,-0.07332749,-0.04254323,-0.1017549,0.9542308,0.007935274,-0.298521,0.01630904,0.9990305,0.0405461,-0.01715077,0.0001481268,0.9978703,-0.06342203,0.01319189,0.007649755,0.9991217,0.004743453,-0.01021592,0.04036141,0.690223,-0.05636378,-0.0157854,-0.7212254,0.9951953,0.0910024,0.02579969,0.02528558,0.9896669,0.07151918,-0.007181108,0.1240686,0.9825863,-0.1535045,-0.05531275,0.0888878,0.9541175,0.2797551,0.1065224,-0.007065278,0.9836081,-0.03701414,-0.1469473,-0.0977326
0.9954202,-0.02689084,0.09029594,0.01619145,0.9964409,0.05393543,0.05890434,-0.02696081,0.9901731,-0.03563073,-0.1350807,-0.006398269,0.9994437,-0.03252217,0.005797221,-0.004585812,0.692722,0.063677,0.1977225,0.6906427,0.9976744,-0.06152839,0.02932629,-0.0001290735,0.9899196,-0.07674549,-0.03746135,-0.1129868,0.9544465,0.009617508,-0.2978561,0.01487249,0.9990544,0.0400952,-0.01681151,0.0003485008,0.9978246,-0.06405991,0.01199855,0.009927161,0.9991423,0.005167587,-0.009452733,0.03998387,0.6907371,-0.0582537,-0.01334404,-0.7206322,0.9949455,0.09259807,0.02868763,0.02619273,0.9896156,0.07585476,-0.003253341,0.1220508,0.9810919,-0.1609403,-0.05603459,0.0917453,0.9517524,0.2892259,0.1021256,-0.009282004,0.9843882,-0.02839195,-0.1434365,-0.09797945
0.9952756,-0.02774232,0.09118553,0.01849635,0.9964783,0.0539453,0.05884611,-0.02565313,0.9899282,-0.03642477,-0.136624,-0.007021028,0.9994407,-0.03242719,0.006040877,-0.005510751,0.6930196,0.05951297,0.1919029,0.692355,0.9972712,-0.06588619,0.0330747,0.003888338,0.9883414,-0.08118553,-0.02933157,-0.1254192,0.9546302,0.01118448,-0.2972886,0.01325308,0.9990752,0.03978485,-0.01630123,0.0005447716,0.9977487,-0.06507755,0.01043895,0.01238959,0.9991636,0.005097193,-0.00946033,0.03945469,0.6913031,-0.06051587,-0.01067562,-0.7199471,0.9946904,0.09406094,0.03178735,0.02707747,0.9898901,0.07739333,0.002101019,0.118842,0.9798977,-0.1672429,-0.05412597,0.09434339,0.9498985,0.2966463,0.09791031,-0.01036132,0.9849751,-0.02301623,-0.1403034,-0.09802715
0.9952021,-0.02852418,0.0907571,0.02285613,0.99655,0.05432887,0.05818567,-0.02347086,0.9898093,-0.03828801,-0.1369453,-0.007589391,0.9994202,-0.03300475,0.003956133,-0.007372699,0.6925809,0.0522059,0.1811815,0.696261,0.9971006,-0.06498609,0.03773637,0.0119659,0.9845059,-0.09038067,-0.006606886,-0.1501193,0.9550329,0.01351994,-0.2960317,0.009732531,0.9990902,0.0398801,-0.01505904,0.001229704,0.9975093,-0.0682702,0.006387435,0.01654394,0.9992093,0.004437195,-0.0114865,0.03780484,0.6923441,-0.06497759,-0.006200938,-0.7186092,0.9944488,0.09369045,0.03864706,0.02828709,0.9910572,0.0742211,0.01490985,0.1098844,0.9783207,-0.1763348,-0.04421789,0.09919477,0.9478758,0.3037079,0.09611071,-0.007467588,0.985006,-0.02389588,-0.1389843,-0.09937631
0.9956427,-0.0258871,0.0856863,0.02613973,0.9966192,0.05309076,0.05818488,-0.02336998,0.9901803,-0.04008702,-0.1337177,-0.007466393,0.9993757,-0.03459808,0.002158407,-0.006825293,0.6943997,0.04552488,0.170958,0.6975027,0.9980462,-0.04559539,0.03864066,0.01821908,0.981319,-0.09180522,0.0153559,-0.1683719,0.9555637,0.01400239,-0.2943697,0.006957459,0.9990514,0.04103768,-0.01443769,0.00195308,0.9972388,-0.0719699,0.002562138,0.01812486,0.9992695,0.003873905,-0.01476178,0.03503718,0.6931559,-0.06864063,-0.004430592,-0.7174982,0.9946856,0.08743546,0.04592049,0.02910095,0.992503,0.06803986,0.02730319,0.09779081,0.9774277,-0.1815877,-0.03142432,0.1033137,0.9475076,0.3018096,0.1055232,-0.002280906,0.9835674,-0.0269355,-0.150052,-0.09671705
0.9962125,-0.02172217,0.07950594,0.02770438,0.9965931,0.05122469,0.05989838,-0.02429959,0.9903696,-0.04209182,-0.1316712,-0.007682994,0.999338,-0.03596595,0.001769077,-0.005185096,0.6979694,0.04322754,0.1629552,0.6959999,0.9988238,-0.01972412,0.03824583,0.02234921,0.9799153,-0.08413445,0.02879929,-0.1784885,0.9562598,0.01369919,-0.2921475,0.005433797,0.9990018,0.04215817,-0.01454751,0.002562499,0.9970364,-0.07506888,-0.0003718299,0.01682141,0.9992934,0.004650374,-0.0168347,0.03328224,0.6909479,-0.06818558,-0.009987947,-0.7196123,0.9953399,0.07310513,0.05294301,0.03393105,0.9939151,0.06162755,0.03095932,0.08588561,0.9773074,-0.183408,-0.02235056,0.1035964,0.949798,0.290331,0.1165626,0.002179872,0.9825072,-0.03265445,-0.1578253,-0.09329753
0.9964007,-0.01985485,0.07743919,0.02819157,0.9965836,0.05053169,0.0604811,-0.024692,0.9903075,-0.04330333,-0.1317337,-0.007889269,0.9993268,-0.03636061,0.001638333,-0.004598395,0.6997189,0.04344757,0.1602509,0.6948565,0.9990013,-0.006863081,0.03714614,0.02386582,0.9800128,-0.07883148,0.03142732,-0.1799247,0.9567003,0.0136305,-0.2907142,0.004907934,0.9989861,0.04248684,-0.01461218,0.002873135,0.9969492,-0.07646165,-0.001782465,0.01558267,0.9992905,0.005638104,-0.01726081,0.032999,0.6884565,-0.06569426,-0.0165768,-0.722106,0.9956543,0.06315883,0.05700288,0.03786922,0.9942548,0.06037837,0.0269605,0.08417339,0.9773449,-0.1839302,-0.02006058,0.1027827,0.9520017,0.2817886,0.1194903,0.003175046,0.98265,-0.03664351,-0.1572595,-0.09124624
0.9965379,-0.01817775,0.07598668,0.0284224,0.9965976,0.05023863,0.06045431,-0.02479185,0.9901912,-0.04476366,-0.1321034,-0.008149489,0.9993265,-0.03641282,0.001223273,-0.004364405,0.7010119,0.04473881,0.1586339,0.6938416,0.9990528,0.004789755,0.03532661,0.02495304,0.9807624,-0.07296145,0.03121699,-0.1783461,0.9572154,0.01356301,-0.2890236,0.004473018,0.9989803,0.04261687,-0.01458739,0.003053508,0.9968652,-0.07773951,-0.003325298,0.01433134,0.9992758,0.006966111,-0.01766309,0.0329776,0.6855385,-0.06182303,-0.0253871,-0.7249624,0.9958372,0.05220737,0.06153419,0.04238185,0.9942847,0.06080165,0.01919469,0.08563084,0.9774266,-0.1841119,-0.0192188,0.1018368,0.9547589,0.2717301,0.1207785,0.003274385,0.9831282,-0.04079565,-0.1540528,-0.08979075
0.9966317,-0.01671338,0.07508905,0.02841753,0.9966426,0.05044653,0.05962412,-0.02456943,0.9900559,-0.04666137,-0.1324471,-0.008354294,0.9993274,-0.0363702,0.0002749261,-0.004677532,0.6995847,0.04175705,0.1581509,0.695576,0.9991544,0.01858743,0.02826623,0.02336869,0.9820479,-0.06695316,0.02859957,-0.1740153,0.9577808,0.0134958,-0.2871536,0.00408453,0.9989825,0.0426354,-0.01433276,0.003278641,0.9966496,-0.08106677,-0.003909785,0.01011981,0.9992573,0.008245253,-0.01868697,0.0326763,0.6828739,-0.05645144,-0.03589925,-0.7274666,0.995847,0.04120721,0.0658842,0.04743528,0.9940767,0.06159709,0.009837538,0.08899737,0.9775602,-0.1838674,-0.01966344,0.1009067,0.9576474,0.2607214,0.1221787,0.002851192,0.9836749,-0.04465041,-0.1500218,-0.08878905
