Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.995625,0.9990883,0.6853599,0.9972664,0.9754784,0.999498,0.6859528,0.9984661,0.9600852,0.9538714,0.9992559,0.9950531,0.9958524,0.9990475,0.986231,0.9989183,0.9971997,-0.05680111,0.006680165,0.01491856,0.0610496,0.1839951,-0.01892493,0.07811102,-0.02965267,0.2576999,0.04842481,0.03396544,-0.09498205,0.07809352,-0.03048018,-0.0434545,0.01424705,-0.0269145,-0.07413569,0.02659091,-0.1445813,-0.02592625,-0.0513246,0.01396266,0.1618234,0.02504253,0.08470188,-0.2930216,-0.01815154,-0.004160475,-0.03609886,0.02790658,0.1537788,0.04393056,-0.0690442,0.002901777,0.03272206,-0.7135513,0.03256554,0.109332,-0.02123177,0.7051103,-0.0394851,-0.06821118,0.04384989,-0.002130609,0.02881655,-0.02960231,-0.01401027,-0.0425695,-0.005417352,0.0100652
0.9956115,0.9990743,0.6849092,0.9974761,0.975343,0.9994971,0.6835766,0.9980575,0.9586179,0.953464,0.9992711,0.9942721,0.9946641,0.9990925,0.9858988,0.9987711,0.9968491,-0.05802989,0.006200074,0.01421229,0.05745482,0.1801863,-0.01842341,0.08037993,-0.03268626,0.2621517,0.04828555,0.03388021,-0.1007101,0.09119172,-0.02971617,-0.04143692,0.01338575,-0.02796802,-0.07339189,0.0262418,-0.1392806,-0.02405579,-0.05528362,0.01600657,0.1685108,0.02195473,0.08704575,-0.2944345,-0.01749699,-0.004554677,-0.03306334,0.02670638,0.1573195,0.04740988,-0.07405392,0.001965686,0.0335202,-0.7150513,0.0340825,0.1148156,-0.02025009,0.7055964,-0.04827867,-0.06892989,0.04339675,-0.001804028,0.03549543,-0.0351317,-0.0147622,-0.03920637,-0.005429069,0.005078068
0.9955413,0.9990863,0.6848912,0.9974585,0.9759831,0.9994963,0.683129,0.9978914,0.9578305,0.95353,0.9992826,0.9936624,0.9938554,0.9991544,0.9858255,0.998702,0.9966149,-0.05908944,0.005849366,0.01328456,0.05723203,0.1750965,-0.01783754,0.07945264,-0.03277353,0.2647805,0.04885833,0.03362658,-0.1053087,0.099315,-0.0278878,-0.04086523,0.01279085,-0.0283684,-0.07350489,0.0255555,-0.1366291,-0.02354109,-0.0568004,0.0174952,0.1715096,0.02028224,0.08754091,-0.2941455,-0.01735841,-0.005942897,-0.03080759,0.02559179,0.1583645,0.0489279,-0.07702255,0.001712675,0.03375477,-0.7155977,0.03531358,0.1164989,-0.01956581,0.7054123,-0.05222416,-0.06919993,0.04326643,-0.001522172,0.03885806,-0.03793303,-0.01605956,-0.03740039,-0.006054605,0.004643911
0.9954106,0.9991089,0.6848392,0.9974664,0.976513,0.9994856,0.6825414,0.9976649,0.9571455,0.9534464,0.9992923,0.9929391,0.992812,0.9992384,0.985615,0.9986796,0.9964063,-0.06061922,0.005506576,0.01221019,0.05671483,0.1707218,-0.01755957,0.07989309,-0.03345309,0.2668305,0.04920011,0.0337396,-0.1107046,0.1088869,-0.02500523,-0.04009704,0.0120024,-0.02867508,-0.07403604,0.02470893,-0.1346374,-0.02275926,-0.05803001,0.01883643,0.1744585,0.01884021,0.08840305,-0.2943629,-0.0165916,-0.007084375,-0.02840767,0.02429217,0.1602291,0.0494892,-0.07956345,0.001305032,0.03377206,-0.7160439,0.03641954,0.1179363,-0.0191204,0.7052082,-0.05648595,-0.06970669,0.04324045,-0.001190949,0.04202926,-0.04075599,-0.01752858,-0.03580467,-0.006761906,0.004683548
0.9950594,0.9991082,0.6841242,0.9974703,0.9779807,0.9994676,0.6822562,0.997232,0.9560919,0.9535209,0.999312,0.9907716,0.9897477,0.9993835,0.9852453,0.9987229,0.9961442,-0.06416275,0.005150576,0.0119183,0.05456346,0.1608123,-0.01711815,0.079093,-0.03454544,0.270464,0.05048226,0.03384795,-0.1258633,0.1327594,-0.01603969,-0.03867907,0.009926622,-0.02989053,-0.07575422,0.02407856,-0.1336851,-0.02183988,-0.05833736,0.02128374,0.1794527,0.01678138,0.08877467,-0.2938824,-0.01514978,-0.01211539,-0.02321101,0.02254506,0.1634368,0.04881639,-0.08243215,0.001094166,0.03430109,-0.7169104,0.03998721,0.1195401,-0.01785272,0.7043206,-0.06366564,-0.06968869,0.04338813,-0.0006132649,0.04881934,-0.04728381,-0.02161233,-0.03292445,-0.008437508,0.002880432
0.9946467,0.9990093,0.6820689,0.9977104,0.9792119,0.9995004,0.68019,0.9968365,0.9557099,0.9538971,0.9993271,0.9875898,0.9853607,0.9994716,0.985039,0.9987039,0.9958251,-0.06805576,0.005425671,0.01382091,0.04641246,0.1521968,-0.01870571,0.08305071,-0.03629828,0.2717254,0.05240465,0.03384233,-0.145297,0.1604286,-0.001829719,-0.03832134,0.008011142,-0.03106882,-0.07773788,0.02528044,-0.1360782,-0.02199228,-0.05675943,0.01818395,0.1863137,0.0152569,0.08931565,-0.2923191,-0.01414343,-0.02036419,-0.01738346,0.02187021,0.1652855,0.04941945,-0.08583286,0.001767627,0.03622237,-0.7183827,0.04400391,0.121485,-0.01784649,0.7040819,-0.0690409,-0.06932951,0.04340219,-9.440617E-05,0.05604003,-0.05499743,-0.02397594,-0.03017257,-0.009173661,-7.941015E-05
0.9942144,0.9988756,0.6797218,0.9979941,0.9841347,0.9994963,0.6814926,0.9963846,0.955635,0.9543806,0.999333,0.9840716,0.9805782,0.999197,0.9848199,0.9986332,0.9953626,-0.07219715,0.005874065,0.01601079,0.03356329,0.1101548,-0.01848636,0.08420576,-0.04112019,0.2721923,0.05460188,0.03400876,-0.1641732,0.1850661,0.02036267,-0.03815525,0.00621989,-0.03182486,-0.07947534,0.02729432,-0.139107,-0.02370834,-0.05110039,0.02035844,0.1905928,0.01551131,0.08996487,-0.2904528,-0.01329143,-0.02730086,-0.01752485,0.02582339,0.1672681,0.05097595,-0.09074927,0.003012219,0.03831745,-0.71998,0.04815787,0.1293583,-0.01584287,0.7015352,-0.07270735,-0.06767143,0.04258614,0.0006978289,0.06249007,-0.06252827,-0.02288868,-0.02636692,-0.009725064,-0.00226179
0.9940279,0.998806,0.6786843,0.9981126,0.9848015,0.9994891,0.6826135,0.996146,0.9555944,0.9546254,0.9993327,0.9824114,0.9782113,0.9988041,0.9846729,0.9987252,0.9953683,-0.07410897,0.006175242,0.01646137,0.02583439,0.1025226,-0.01858031,0.08533534,-0.04436326,0.2724976,0.05570168,0.03411727,-0.1726027,0.1960118,0.03218099,-0.03819658,0.005641996,-0.03248751,-0.08000842,0.02841651,-0.1400991,-0.02469093,-0.05273829,0.02160006,0.1927674,0.0157226,0.09042925,-0.2895562,-0.01299975,-0.03044125,-0.01970625,0.03009124,0.168452,0.04889779,-0.09045003,0.003900743,0.03925415,-0.7207558,0.0499431,0.1299001,-0.01448548,0.6997125,-0.07401314,-0.06638449,0.04177318,0.001150999,0.06441718,-0.06552562,-0.0211961,-0.02417178,-0.01118894,-0.002328427
0.9938684,0.9987329,0.6777349,0.9982032,0.9849027,0.9994791,0.6838911,0.9958623,0.9555177,0.9548396,0.9993298,0.9808027,0.9757716,0.998305,0.9845166,0.9988134,0.9953791,-0.07580615,0.006611172,0.0161972,0.01758631,0.09883857,-0.01885571,0.08719096,-0.0483325,0.2729619,0.05678701,0.03428818,-0.1806465,0.2066561,0.04189702,-0.03807149,0.004828611,-0.03292801,-0.08033743,0.02954479,-0.1406617,-0.02545937,-0.05596048,0.02280243,0.1951603,0.01603367,0.0908896,-0.2888183,-0.01269393,-0.03228284,-0.02338852,0.03514604,0.1696684,0.04693479,-0.09019281,0.005012147,0.04020141,-0.7215451,0.05131177,0.1306366,-0.01288633,0.6975695,-0.07526756,-0.06493716,0.04050384,0.001750771,0.0659603,-0.06794151,-0.01991474,-0.02214643,-0.01207024,-0.001189364
0.993578,0.9986426,0.6765412,0.9983443,0.9831228,0.999482,0.6862448,0.9951825,0.9554568,0.9551772,0.9993199,0.9779383,0.9709534,0.9976195,0.9844345,0.9986895,0.9949436,-0.07846135,0.007209762,0.01315019,0.002056584,0.1050591,-0.01890645,0.09159511,-0.0572882,0.2734151,0.05881969,0.03480592,-0.1947491,0.2259031,0.0483433,-0.03786524,0.002568044,-0.03312565,-0.08120243,0.03068104,-0.1397782,-0.0257452,-0.06590375,0.02387234,0.2021098,0.01549692,0.09226308,-0.2877424,-0.01169981,-0.02987614,-0.03224797,0.04530971,0.1707802,0.0502356,-0.09467597,0.007269801,0.0414688,-0.7228978,0.05139661,0.1344951,-0.01041323,0.6926977,-0.07803711,-0.06191997,0.03716281,0.003406224,0.06940443,-0.07195414,-0.01911406,-0.01700366,-0.009434359,-0.005133778
