Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9960804,0.9988738,0.7205346,0.9659691,0.9653092,0.9988075,0.6762494,0.9948912,0.9845359,0.9382099,0.9993963,0.9733916,0.9952966,0.9955899,0.9866638,0.9982224,0.9941292,-0.02578907,-0.01486235,0.0216983,0.2528781,0.2521477,-0.0003199615,0.1015268,-0.08483072,0.1007735,0.0686522,0.02950576,-0.217967,0.06895074,0.0812192,-0.06741882,0.05763115,-0.06424494,-0.08383926,0.01255938,0.09013885,0.04888721,0.05901657,0.04844459,0.1665468,-0.01336172,0.07196964,-0.3348681,0.006182494,-0.05291611,0.06197786,0.0447419,0.1481474,-0.007747184,-0.07602461,0.01139018,0.04327199,-0.6871929,-0.02379805,-0.03341785,-0.006045715,0.7103811,-0.05307334,-0.1239115,0.05396658,-0.01726777,0.04689484,-0.02809479,-0.01422697,-0.001338689,0.01306787,-0.04242763
0.9958397,0.9988862,0.7197303,0.9695907,0.9672446,0.9987973,0.6765926,0.9946676,0.9836044,0.9390575,0.9993935,0.9754766,0.9951839,0.9971783,0.9875541,0.9980866,0.9940364,-0.02649133,-0.01449238,0.02683461,0.237078,0.241849,-0.000998801,0.1031151,-0.08902799,0.1114838,0.06876501,0.02932771,-0.2119806,0.07495227,0.06209836,-0.06345827,0.05940847,-0.06837094,-0.08631145,0.01272238,0.08310895,0.05658659,0.06321956,0.04859036,0.1640636,-0.01120233,0.06439427,-0.3327285,0.007748461,-0.04617284,0.05970283,0.0383138,0.1438577,-0.007517615,-0.0744933,0.01232382,0.04306429,-0.6887388,-0.02204546,-0.04416192,-0.006482774,0.7104033,-0.05084148,-0.126282,0.05228872,-0.01710636,0.0371184,-0.02065648,-0.01764422,-0.003853197,0.01540525,-0.04083847
0.9953162,0.9989128,0.7190567,0.9714211,0.9672621,0.9990392,0.676732,0.9944953,0.9831061,0.9397518,0.9993707,0.9766228,0.99528,0.9976345,0.9882112,0.9979875,0.9941115,-0.02558285,-0.01312277,0.03113967,0.2293524,0.2392843,-3.322219E-05,0.1044229,-0.09155671,0.1164271,0.06855915,0.02849908,-0.2079041,0.07507992,0.0562615,-0.06224753,0.06071267,-0.06939203,-0.09212086,0.007703408,0.07614661,0.05778689,0.06707403,0.04358893,0.163508,-0.01051272,0.06089984,-0.3309355,0.01110299,-0.04413161,0.05944071,0.03402154,0.1397676,-0.007072541,-0.07281431,0.01431658,0.04406497,-0.6900648,-0.01998416,-0.05146012,-0.004556668,0.7102076,-0.04985995,-0.12743,0.05145879,-0.01796719,0.03219043,-0.01573306,-0.02006447,-0.005385374,0.01687899,-0.04031271
0.995127,0.9989758,0.7180407,0.9732672,0.9666093,0.9990754,0.6761044,0.9942712,0.9826179,0.9404902,0.999369,0.9777701,0.9956245,0.9978988,0.9887881,0.9978775,0.9941025,-0.02603874,-0.01264613,0.03615323,0.2218598,0.2390569,-0.0004076409,0.1059736,-0.09437748,0.1209757,0.06813545,0.02842389,-0.2034704,0.07388279,0.05238395,-0.06005262,0.06198263,-0.07056563,-0.09394068,0.006639458,0.06736974,0.05692193,0.0711997,0.04269511,0.1632864,-0.0101334,0.05770136,-0.3290627,0.01165072,-0.0422288,0.05578837,0.03270168,0.1365196,-0.006579348,-0.07219992,0.01481356,0.042934,-0.6917889,-0.01700395,-0.05872675,-0.005051662,0.7106266,-0.04914391,-0.128443,0.05053316,-0.01782901,0.02796562,-0.01268783,-0.01961234,-0.00737132,0.01885228,-0.03959713
0.9947358,0.9991149,0.7143462,0.9775404,0.963744,0.9991285,0.6740137,0.9936701,0.9817787,0.9421315,0.999369,0.9795235,0.9963836,0.9981312,0.9898378,0.9975529,0.9940124,-0.02752693,-0.01106934,0.04839884,0.2044419,0.2466169,-0.0009535991,0.1084742,-0.1005913,0.1286818,0.0670967,0.0283457,-0.196259,0.07324509,0.04431982,-0.05589989,0.06538934,-0.07199246,-0.09756781,0.004498971,0.04294205,0.05053419,0.0748214,0.04127704,0.1642644,-0.01072737,0.05250822,-0.3247616,0.01217329,-0.03975446,0.04146355,0.03896673,0.1301195,-0.004704018,-0.07222793,0.01495137,0.04033065,-0.6967948,-0.008040906,-0.069133,-0.006133658,0.7120086,-0.04884712,-0.1295938,0.04915596,-0.01760819,0.02087192,-0.01164898,-0.01586128,-0.01285517,0.02429687,-0.03923867
0.9943877,0.99922,0.7082902,0.9823831,0.961221,0.9991351,0.6712232,0.9944756,0.9845111,0.9439616,0.9993819,0.9809564,0.996854,0.9982315,0.9906468,0.9970111,0.9940762,-0.02878252,-0.008349717,0.06287174,0.1820272,0.2582639,-0.0009310805,0.1100976,-0.08205275,0.1078753,0.06566848,0.02812263,-0.1895166,0.07261689,0.03737397,-0.05227766,0.0703868,-0.07060257,-0.1008134,0.002875709,0.009009048,0.04209814,0.06940825,0.04095507,0.1663566,-0.03106297,0.06270419,-0.3198609,0.01182624,-0.04002059,0.0299483,0.04424635,0.1244891,-0.003344729,-0.07251772,0.01419067,0.03848973,-0.7030583,0.004173072,-0.06735429,-0.00713908,0.7139072,-0.05762669,-0.1231627,0.04809694,-0.01746735,0.0143688,-0.01058245,-0.01339403,-0.01970766,0.03167561,-0.03961042
0.9941172,0.9992933,0.7021902,0.9870426,0.9610565,0.9991565,0.6681322,0.9943064,0.9847542,0.9460357,0.9994057,0.982332,0.9969621,0.9986104,0.9912437,0.9961354,0.9946598,-0.02921603,-0.005774715,0.07832985,0.1561003,0.2652718,-0.0008543164,0.1128759,-0.08190592,0.1093746,0.0637614,0.02781686,-0.1822042,0.07237868,0.02989178,-0.04964153,0.07781196,-0.06391203,-0.1034408,0.001747338,-0.03151172,0.03298607,0.05764118,0.04027881,0.1698564,-0.03315106,0.05978329,-0.3142239,0.01033946,-0.04174951,0.02678585,0.04196037,0.119185,-0.004989252,-0.07181215,0.01331635,0.03710247,-0.7069657,0.0170761,-0.05175636,-0.007950796,0.7155468,-0.05955884,-0.1213355,0.04705547,-0.01753716,0.009083487,-0.01051172,-0.0110973,-0.02768972,0.04043122,-0.03755307
0.9939914,0.9993209,0.6996548,0.9892479,0.9617178,0.9991669,0.666486,0.9942855,0.9848039,0.9470277,0.9994165,0.9831504,0.9970347,0.9988425,0.9914532,0.9954935,0.9952146,-0.02905039,-0.004710869,0.08588976,0.1416722,0.2664755,-0.00082949,0.1142409,-0.08145542,0.1105984,0.0626711,0.02771807,-0.1779107,0.07164077,0.02655712,-0.04931964,0.08294839,-0.05798513,-0.1047488,0.001329785,-0.0537388,0.02823709,0.0504216,0.03992647,0.1716608,-0.03306919,0.05845669,-0.3115374,0.009561132,-0.04148558,0.02637345,0.03870967,0.1164257,-0.007024765,-0.06981488,0.01283813,0.03652137,-0.7072611,0.02280691,-0.03933752,-0.008406223,0.7164342,-0.06056144,-0.1204664,0.04642589,-0.01751818,0.00648779,-0.009681677,-0.01048691,-0.03214349,0.04541818,-0.03621413
0.9938949,0.9993422,0.6976808,0.9913674,0.962608,0.9991741,0.664859,0.994306,0.9847898,0.947998,0.9994279,0.9839737,0.997156,0.9990301,0.9915875,0.9946389,0.9959016,-0.02853191,-0.003782174,0.09286477,0.1259689,0.2663775,-0.0007800275,0.1156352,-0.0808566,0.1119418,0.06160159,0.02758587,-0.173367,0.07009648,0.02394436,-0.0499315,0.0895721,-0.05065144,-0.1058422,0.001133981,-0.07694526,0.02347659,0.04275304,0.03966765,0.1736137,-0.03227786,0.05759096,-0.3088832,0.008618654,-0.04148317,0.0260887,0.03569737,0.1135724,-0.01013287,-0.06645671,0.01250451,0.03605175,-0.7061849,0.02777398,-0.02451903,-0.00877734,0.7172512,-0.06144921,-0.1197552,0.04578386,-0.01756673,0.004328889,-0.009266507,-0.009550664,-0.0369102,0.05067136,-0.0346114
0.9937488,0.9993854,0.6952352,0.995079,0.9646318,0.9991937,0.6617953,0.9944781,0.984625,0.9498035,0.9994394,0.9857221,0.9975871,0.9992495,0.9915694,0.9922173,0.9973255,-0.02710696,-0.002895469,0.1038261,0.09112262,0.2621629,-0.0005203407,0.1182277,-0.07926833,0.1136974,0.0592726,0.02774052,-0.1632411,0.0650299,0.02008294,-0.05336523,0.1066912,-0.03131268,-0.1076239,0.001005814,-0.1246583,0.01432552,0.02605386,0.03884812,0.1787367,-0.02914651,0.05839986,-0.30397,0.006698109,-0.04127407,0.02307313,0.03236342,0.108494,-0.01786573,-0.05784612,0.012066,0.03492095,-0.7002346,0.03618434,0.008792428,-0.01013178,0.7184027,-0.06229266,-0.1190629,0.04429937,-0.01751104,-0.0008833189,-0.007664404,-0.007052179,-0.0465989,0.06166636,-0.03186262
