Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
7.253213,21.70133,82.17972,5.875432,7.269284,8.83247,88.38773,3.184015,13.80849,173.4482,25.13894,6.246984,42.68195,23.60723,10.90035,34.76936, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1.29248,1.212026,-1.085052,5.793545,-6.913391,-1.119385,5.576751,2.758191,6.845793,10.25375,-3.820709,1.900417,-6.388885,-2.802185,-1.475067,-5.779907, ,6.889025,21.65968,-8.097717,-0.3677673,1.683502,8.757262,5.029157,0.7086735,1.718584,-173.241,24.20558,5.710739,-42.29224,23.38691,10.7948,-34.28387, ,1.791248,-0.4117737,-81.7677,-0.9256897,1.392129,0.1974166,88.37937,1.441382,11.97918,2.004325,-6.55014,1.772763,2.449826,-2.307831,0.2358688,-0.2991638
