Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
7.919753,20.00529,82.1812,18.3015,17.99059,7.629599,81.4987,15.70746,17.11545,172.6456,27.03243,6.683866,41.61478,34.8779,11.29757,30.6494, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-4.144257,3.440848,-38.2778,4.664958,-6.94281,0.9346077,15.82732,15.56988,14.42452,10.20692,6.452196,1.379124,-11.31982,-26.64569,0.4863293,1.047077, ,6.75402,19.31328,-13.80661,-17.69418,-0.1557312,7.564424,-3.260162,-1.934601,0.1149832,-172.5229,25.48581,5.274874,-39.53601,23.34608,11.15955,-30.5647, ,-0.1393127,-3.411713,-68.37531,-1.622925,16.61584,-0.2895203,79.70425,0.5467538,9.250928,1.042286,-5.107269,-3.804932,12.10293,-6.937836,1.742981,-2.358734
7.927464,20.00116,82.22342,18.49708,17.96113,7.598017,81.47575,16.05371,16.81625,172.45,26.99108,6.738826,41.80312,35.30198,10.70649,30.69117, ,0.007711411,0.004131317,0.04222107,0.1955814,0.02946663,0.03158236,0.02295685,0.3462534,0.2992001,0.1955719,0.04135323,0.05496025,0.1883469,0.4240799,0.5910835,0.0417614, ,-4.122742,3.46707,-38.33704,4.653015,-6.929474,0.9398107,16.11012,15.95555,13.91035,10.15811,6.769618,2.002335,-11.56625,-26.60657,-0.4667053,1.467963, ,6.776508,19.30484,-13.80557,-17.89651,-0.1669312,7.531564,-3.69931,-1.63797,-0.2210693,-172.3212,25.39035,5.095923,-39.6326,24.05834,10.56694,-30.57211, ,-0.1663208,-3.405518,-68.39014,-1.694,16.59002,-0.2955933,79.54764,0.5009826,9.443153,1.109488,-4.938324,-3.842499,12.42727,-7.278625,1.618908,-2.742035
7.934576,20.00749,82.25165,18.67355,17.8901,7.572822,81.4202,16.39543,16.48472,172.2856,26.89315,6.941929,42.03152,35.66209,10.07275,30.76487, ,0.007111073,0.00633049,0.02822876,0.1764679,0.07102203,0.02519464,0.05554199,0.3417187,0.3315277,0.1643982,0.097929,0.2031026,0.2284012,0.3601189,0.6337433,0.07370377, ,-4.102753,3.482733,-38.32458,4.655213,-6.928284,0.9492605,16.32692,16.32321,13.37141,10.10267,7.090863,2.655038,-11.72995,-26.52798,-1.095917,1.739979, ,6.797276,19.31264,-13.78323,-18.07578,-0.160675,7.505484,-4.112366,-1.405151,-0.4925232,-172.1504,25.23444,5.007985,-39.79102,24.70133,9.880885,-30.60934, ,-0.1981201,-3.383545,-68.44174,-1.755432,16.51315,-0.2842407,79.37101,0.4657659,9.593055,1.184501,-4.749756,-3.895599,12.73022,-7.566742,1.532387,-3.118256
7.94592,20.03067,82.21632,18.97779,17.7302,7.547128,81.33321,15.31777,17.03793,172.0651,26.66133,7.57427,42.48689,35.98708,9.090814,31.04886, ,0.01134491,0.02318573,0.03533173,0.3042431,0.1599026,0.02569437,0.08699036,1.077662,0.5532131,0.22052,0.2318172,0.6323414,0.4553642,0.3249893,0.9819317,0.2839928, ,-4.055328,3.546102,-38.16788,4.702479,-6.983673,0.9272191,16.60819,15.14141,14.20649,9.89547,7.803897,4.042501,-11.78726,-26.27682,-1.362457,2.097995, ,6.838774,19.32681,-13.63312,-18.37427,-0.1212769,7.484176,-4.772797,-2.245026,0.122216,-171.9205,24.85456,4.901829,-40.16934,25.45993,8.844954,-30.82932, ,-0.2728271,-3.366272,-68.56726,-1.857971,16.31399,-0.2414856,79.09634,0.3745481,9.444398,1.321402,-4.334259,-3.95694,13.25388,-7.818726,1.498941,-3.718079
7.941877,20.04276,82.11131,19.17285,17.49863,7.54775,81.28281,15.60989,16.65644,171.911,26.46687,8.428991,42.76196,35.92561,8.599397,31.23981, ,0.004043579,0.01209259,0.1050034,0.1950569,0.2315693,0.0006222725,0.05039978,0.2921171,0.3814907,0.154129,0.1944618,0.8547211,0.2750664,0.06147766,0.4914169,0.1909485, ,-3.95752,3.593211,-37.77921,4.765759,-6.964233,0.8848541,16.73099,15.44149,13.66826,9.612957,8.525205,5.611607,-11.58286,-26.07339,-0.3026428,1.947742, ,6.890637,19.33713,-13.23123,-18.55563,-0.06188965,7.491576,-5.043549,-2.251923,0.1480814,-171.7619,24.50067,4.702894,-40.47797,25.58791,8.452153,-30.99997, ,-0.3216858,-3.327728,-68.8681,-1.956787,16.06667,-0.2006226,78.96432,0.2267249,9.558626,1.425392,-3.853729,-3.957001,13.38409,-7.62973,1.535073,-3.976013
7.84752,20.01173,81.92917,19.19338,17.26326,7.55584,81.38398,15.15507,16.95585,171.7887,26.40441,9.698906,42.90423,35.69465,8.702094,31.13465, ,0.09435654,0.03103065,0.1821442,0.02053833,0.2353764,0.008090496,0.1011658,0.4548187,0.299408,0.1222687,0.06245995,1.269915,0.1422729,0.230957,0.1026974,0.1051655, ,-3.730652,3.683705,-37.16711,4.781828,-6.777649,0.8708618,16.76576,14.98059,14.20079,9.355682,9.132393,7.502095,-11.20865,-25.82605,1.616431,1.524979, ,6.9083,19.2972,-12.64462,-18.56461,0.01744132,7.500112,-4.94519,-2.231232,0.3220544,-171.6363,24.31871,4.448683,-40.77945,25.50184,8.404151,-30.93707, ,-0.3240967,-3.270325,-69.28729,-2.084808,15.8854,-0.2384338,79.08021,0.3366828,9.323489,1.517537,-3.314911,-3.968048,12.99289,-7.377472,1.702343,-3.650726
7.751613,19.98116,81.8107,19.12131,17.18965,7.545675,81.46755,15.17256,16.93086,171.7141,26.39146,10.54636,42.93535,35.53932,9.005347,31.39986, ,0.09590769,0.03056908,0.1184692,0.0720787,0.07361031,0.01016569,0.08357239,0.01749516,0.02499008,0.0745697,0.0129528,0.8474493,0.03112411,0.1553268,0.3032532,0.265213, ,-3.545166,3.725225,-36.76276,4.810475,-6.690643,0.8832716,16.73119,15.00484,14.24331,9.21365,9.383901,8.617428,-10.90567,-25.55396,2.612194,1.563238, ,6.897298,19.26519,-12.31796,-18.47754,0.03817038,7.486938,-4.870575,-2.182709,0.4445699,-171.56,24.26352,4.333793,-40.9277,25.54968,8.482471,-31.22754, ,-0.3037415,-3.22699,-69.53003,-2.15799,15.84089,-0.270874,79.18845,0.3528782,9.221966,1.56886,-3.029083,-3.959229,12.66996,-7.205292,1.734937,-3.406067
7.663505,19.98483,81.64449,18.99593,17.03931,7.562057,81.59876,15.1142,16.89565,171.6228,26.35529,11.54652,42.91401,35.32888,9.383122,32.55082, ,0.08810806,0.003662109,0.166214,0.1253796,0.1503315,0.01638269,0.1312103,0.05836582,0.03520393,0.09133911,0.03616714,1.000164,0.02133942,0.2104378,0.3777752,1.150965, ,-3.338165,3.756603,-36.28653,4.85402,-6.585266,0.8753605,16.69734,14.94954,14.27654,9.138653,9.528428,9.865467,-10.49991,-25.11734,2.943977,2.212631, ,6.901982,19.2696,-12.01862,-18.33148,0.1062174,7.502973,-4.788147,-2.152679,0.582697,-171.4649,24.21553,4.21726,-41.04456,25.66258,8.747923,-32.39847, ,-0.260376,-3.188599,-69.73914,-2.222046,15.71756,-0.3025818,79.3469,0.3691312,9.113735,1.629984,-2.778259,-3.930145,12.27318,-7.236664,1.935527,-3.028107
7.512907,20.04783,81.26011,18.54974,16.71519,7.432304,81.63067,14.78171,16.67124,171.4431,26.1723,14.07062,42.8077,34.63263,11.00121,34.7817, ,0.1505976,0.06300163,0.3843765,0.4461823,0.3241253,0.1297531,0.03190613,0.3324881,0.2244129,0.1797333,0.1829967,2.524098,0.1063118,0.6962547,1.618091,2.230881, ,-3.035828,3.911106,-35.27295,4.903358,-6.365356,0.7803162,16.55566,14.61514,14.10641,8.903019,9.685837,12.81435,-9.165588,-24.08112,3.187397,7.402386, ,6.875389,19.29838,-11.64822,-17.84668,0.2079868,7.390165,-4.515717,-2.129028,0.7473435,-171.2866,24.02699,4.276081,-41.28729,25.63489,10.29982,-34.08133, ,-0.2256775,-3.197662,-70.01135,-2.303192,15.45076,-0.08718872,79.46289,0.4089565,8.968968,1.664789,-2.382538,-3.503418,11.31757,-7.005829,2.502013,-2.02002
7.58605,20.20707,80.8252,17.91719,16.496,7.459128,81.60931,14.3242,16.49939,171.4823,26.12831,17.29308,41.52184,34.39465,12.28669,36.14966, ,0.07314253,0.1592407,0.434906,0.632555,0.2191849,0.026824,0.0213623,0.4575138,0.1718559,0.03923035,0.04398727,3.222466,1.285858,0.2379799,1.285475,1.367958, ,-2.78125,4.064066,-34.03354,4.855702,-6.272858,0.8690685,16.03356,14.16151,13.8765,8.620511,9.487757,16.36768,-6.685333,-23.35345,4.256156,7.868888, ,7.060491,19.43092,-11.28241,-17.19925,0.2916471,7.408355,-3.73761,-2.048706,0.7853863,-171.3379,24.1623,4.053802,-40.47763,25.92758,11.11882,-35.35931, ,-0.2146606,-3.181793,-70.32129,-2.272919,15.24571,0.1286088,79.69304,0.4710842,9.009583,1.583294,-1.774323,-3.325317,9.595571,-7.35141,3.49375,-0.8482971
