LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9791735,-0.1788802,-0.09435597,-0.0178327,0.8743904,0.4656378,0.135767,-0.01379486,0.9206648,0.1013482,-0.3503536,0.1391301,0.9939696,-0.03084431,0.09725036,0.04019484,0.747025,-0.02938614,-0.2854404,0.5996783,0.9708858,0.1788447,0.1588863,0.01227035,0.9873593,-0.1411772,0.07193857,-0.003935737,0.5034522,0.03017159,0.8629236,-0.03143961,0.9992731,0.002206255,-0.02558818,-0.0281715,0.9833522,-0.02710332,0.175014,0.04066976,0.9998231,0.008992269,-0.01347056,0.009563963,0.8149458,0.06095491,0.0121455,-0.5761948,0.9459116,-0.08108957,-0.2993078,-0.09534451,0.9457738,-0.2139494,-0.2406641,0.04264306,0.9635009,-0.1081224,-0.2321125,-0.0780995,0.9534544,0.1073877,0.2796471,0.03449948,0.9863835,-0.05542587,-0.1532437,-0.02218073
0.9760572,-0.1993013,-0.08505837,-0.01887977,0.882906,0.4515171,0.1275976,-0.01812042,0.9228576,0.09149428,-0.3459344,0.1424503,0.9941306,-0.03252005,0.09546585,0.03915497,0.7435658,-0.0287855,-0.3012479,0.5962642,0.9736334,0.1759311,0.1452079,-0.000926016,0.9887217,-0.1337003,0.06721777,0.005954965,0.5015048,0.02852907,0.8640461,-0.03321958,0.9993003,0.002520993,-0.02703311,-0.02572537,0.9833432,-0.0284015,0.1747124,0.04129451,0.9998059,0.007576544,-0.01531799,0.009809,0.8174721,0.05762461,0.0008228905,-0.5730777,0.9391384,-0.07895286,-0.3207972,-0.09420579,0.9449974,-0.2178771,-0.2406049,0.04023471,0.9654164,-0.09299644,-0.2284968,-0.08433272,0.9565927,0.0957405,0.2719176,0.04271939,0.9864435,-0.05763058,-0.1521347,-0.02151962
0.9744802,-0.2087658,-0.08023202,-0.01918806,0.8882515,0.4419512,0.123614,-0.02019928,0.9235858,0.08778245,-0.3436694,0.1455162,0.9941838,-0.03415694,0.09443828,0.03890043,0.7425495,-0.02825572,-0.3091464,0.5935068,0.9748873,0.1739342,0.1389256,-0.00643572,0.9893172,-0.1300818,0.0650235,0.01011111,0.5001245,0.02802306,0.8648264,-0.03414065,0.9993035,0.002775136,-0.02788662,-0.02464206,0.9834007,-0.02935344,0.1742216,0.04133107,0.9997958,0.006908007,-0.01634716,0.009666863,0.8190005,0.05551532,-0.005209839,-0.5710771,0.9357647,-0.07796782,-0.3309152,-0.09359843,0.944658,-0.2197727,-0.2403821,0.03921372,0.9662883,-0.08589642,-0.2265389,-0.08711424,0.9581336,0.09061239,0.2676413,0.04623315,0.9865685,-0.05909359,-0.1507879,-0.02130212
0.9729134,-0.2174472,-0.07606392,-0.01924675,0.8940259,0.4307322,0.1212282,-0.02216325,0.9237686,0.08419678,-0.34277,0.1485642,0.9942298,-0.03551329,0.09345478,0.03888717,0.7418416,-0.02805947,-0.3168035,0.5903552,0.9759293,0.1723096,0.1331762,-0.01163769,0.9897676,-0.1273334,0.06286456,0.01394117,0.4985788,0.02763348,0.8657046,-0.03480155,0.9992995,0.0031593,-0.0287548,-0.02374646,0.983492,-0.0303061,0.1735439,0.04132334,0.9997848,0.006427945,-0.01737381,0.009335445,0.8206462,0.0534227,-0.01163252,-0.5688149,0.9324963,-0.07707563,-0.3404912,-0.09260553,0.9443541,-0.221587,-0.2400651,0.03825337,0.967202,-0.07900985,-0.224079,-0.08981293,0.9594644,0.08604165,0.263771,0.04949645,0.9863164,-0.0608106,-0.151796,-0.02097726
0.9699224,-0.2323742,-0.06990968,-0.01911552,0.9070576,0.402649,0.1200454,-0.0266338,0.9228484,0.07870867,-0.3437534,0.1548853,0.9942822,-0.03838551,0.09173265,0.03891632,0.7400865,-0.02781119,-0.3321933,0.5840772,0.9772478,0.1713043,0.1230474,-0.02238352,0.9902028,-0.1247644,0.05898624,0.02128242,0.4951182,0.02731439,0.8676646,-0.03563819,0.9992658,0.004134071,-0.03071202,-0.02252569,0.9837149,-0.03209592,0.1719565,0.04130315,0.9997612,0.005710211,-0.01920814,0.008724965,0.8239732,0.04901281,-0.02491366,-0.5639551,0.9264803,-0.07531472,-0.3577166,-0.08944789,0.9437405,-0.2249036,-0.2397311,0.03607444,0.9691415,-0.06493048,-0.2181401,-0.09467614,0.9617012,0.07716922,0.2571466,0.05523918,0.9857156,-0.06425352,-0.1542575,-0.02099933
0.9675238,-0.243835,-0.06370234,-0.01960378,0.9218481,0.3672037,0.1199621,-0.03109175,0.9207107,0.07691363,-0.3462484,0.1627518,0.9942667,-0.04027616,0.09092451,0.03929805,0.7373643,-0.0283438,-0.3464117,0.5792146,0.978037,0.1707479,0.1145852,-0.03404664,0.9903959,-0.1233724,0.055486,0.02857405,0.4914702,0.02763642,0.8697009,-0.03624599,0.9992038,0.005036511,-0.03287991,-0.02202898,0.9839413,-0.0336652,0.1703136,0.04146767,0.9997362,0.005168468,-0.02067315,0.008567115,0.8272038,0.04357839,-0.03700087,-0.5589864,0.9211694,-0.07234474,-0.3725591,-0.0860981,0.9429177,-0.2275699,-0.2407732,0.03385919,0.9709877,-0.05198172,-0.2111742,-0.09942968,0.9640765,0.07094571,0.248822,0.06009096,0.9850646,-0.06962428,-0.1560284,-0.02134226
0.9661703,-0.25041,-0.0587268,-0.01899844,0.9371341,0.3250354,0.1212062,-0.03795689,0.9185228,0.07838368,-0.3478976,0.1707022,0.9942191,-0.04139372,0.09078157,0.03967064,0.7339575,-0.02898227,-0.3588362,0.5759366,0.9786964,0.1689026,0.1075786,-0.04530098,0.9905935,-0.1214653,0.05206129,0.0355026,0.4875992,0.02824388,0.8718649,-0.03606724,0.9991104,0.006197238,-0.0352894,-0.02224255,0.9841373,-0.03516978,0.16878,0.04183578,0.9997071,0.004693978,-0.0219157,0.009133581,0.8295678,0.03667136,-0.04715531,-0.5552016,0.916673,-0.067704,-0.3849839,-0.08315172,0.9421613,-0.2291058,-0.2424534,0.03254266,0.972317,-0.04002113,-0.2055116,-0.103745,0.9662369,0.06827996,0.2401947,0.06348635,0.9844607,-0.07669826,-0.1564975,-0.02151914
0.9658262,-0.2522474,-0.05687204,-0.01779744,0.9444682,0.3017658,0.1230688,-0.04208723,0.9173426,0.07974996,-0.3490074,0.174116,0.9941885,-0.04172841,0.09088954,0.03983762,0.7322169,-0.02939567,-0.3643974,0.5746381,0.97901,0.1675601,0.1046012,-0.05021507,0.9907021,-0.1203564,0.05025258,0.03871038,0.4858045,0.02875223,0.8728504,-0.03605001,0.9990608,0.006599048,-0.03643329,-0.02250916,0.9842397,-0.03595384,0.1679941,0.04192381,0.999696,0.004473127,-0.02241787,0.009243027,0.8305485,0.03329685,-0.05156406,-0.5535536,0.9145955,-0.06541811,-0.3905735,-0.08177909,0.9418976,-0.2296388,-0.2430234,0.03216529,0.9729068,-0.03478093,-0.2027145,-0.1055918,0.9672166,0.06802054,0.23593,0.06482583,0.9842039,-0.08012934,-0.1563997,-0.02147332
0.965743,-0.2529361,-0.05566939,-0.01626677,0.9515117,0.2770907,0.1251782,-0.04665416,0.9162791,0.08302372,-0.3494146,0.1773392,0.9941514,-0.04201785,0.09101622,0.04017144,0.7306976,-0.0297704,-0.3695009,0.573292,0.9793347,0.1659363,0.1019837,-0.05448068,0.9907686,-0.1195434,0.04835645,0.04181784,0.4840912,0.02921899,0.873799,-0.03573932,0.9990104,0.007124552,-0.037476,-0.02287069,0.9843506,-0.03662813,0.1672302,0.04178973,0.9996863,0.004192222,-0.02284287,0.009377436,0.8313215,0.02991209,-0.05570309,-0.552184,0.9126994,-0.06323007,-0.3955508,-0.08075511,0.9416832,-0.2301391,-0.2434198,0.03186936,0.9733496,-0.02911957,-0.2005359,-0.1073682,0.9681468,0.06795615,0.231808,0.06586989,0.9837852,-0.08418058,-0.156933,-0.02126996
0.9662407,-0.2514627,-0.05452752,-0.01312269,0.9643016,0.2243625,0.1291903,-0.05562288,0.9136829,0.09612377,-0.3484287,0.1858528,0.9940792,-0.04224966,0.09118339,0.04131721,0.7285438,-0.03051236,-0.3782869,0.5702562,0.9800915,0.1617184,0.09781591,-0.0608262,0.9908087,-0.1184448,0.04479836,0.04756191,0.4811312,0.03004177,0.8754588,-0.03438282,0.9989145,0.008381883,-0.03919296,-0.02373853,0.9845315,-0.03762075,0.1660984,0.04115736,0.9996755,0.003667556,-0.02331797,0.009578609,0.8322119,0.02348689,-0.06348416,-0.5503104,0.909444,-0.05977242,-0.4037371,-0.07959384,0.9413501,-0.2315864,-0.243456,0.03093387,0.974102,-0.01817751,-0.1959601,-0.1113308,0.9700603,0.07028443,0.2223256,0.06793052,0.9833471,-0.09249569,-0.1548741,-0.02206869
