LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9771668,-0.2096801,-0.002371656,-0.03425786,0.9811108,0.1878154,0.04544782,-0.009038178,0.9158266,0.04418996,-0.3710075,0.1471812,0.9983343,-0.0384788,0.03225686,0.02841616,0.7811164,-0.01107823,-0.2838021,0.5560493,0.9756779,0.1381445,0.150792,0.07893359,0.9989782,0.01271774,0.03602649,0.02414443,0.4472564,0.04114182,0.8899038,-0.07962571,0.9985326,0.01101739,-0.05219717,-0.009316646,0.9926499,-0.04406345,0.1084306,0.03078038,0.996596,-0.008094274,0.07735369,-0.02733593,0.8311202,0.05475907,-0.08975257,-0.5460634,0.920757,-0.02274172,-0.3625537,-0.1422818,0.9394468,-0.323281,-0.1123772,-0.01733328,0.9697291,-0.07400208,-0.2153655,-0.08813018,0.9716363,0.1081915,0.201696,0.05946623,0.9776505,-0.1028582,-0.1832254,-0.006944954
0.9771671,-0.2099905,0.002569443,-0.03227956,0.9837334,0.1728656,0.04709311,-0.01297325,0.9156427,0.04413488,-0.3693779,0.15235,0.9983467,-0.038698,0.0317445,0.02825919,0.7808415,-0.01076999,-0.2866592,0.554975,0.9752204,0.1414612,0.1516181,0.0771093,0.9991699,0.0076333,0.03260316,0.02320019,0.4451689,0.04120702,0.8909137,-0.07999689,0.9984984,0.01094487,-0.05291765,-0.008991556,0.9926902,-0.04497897,0.1076668,0.03083703,0.9966487,-0.00734853,0.07667606,-0.02753733,0.8311966,0.05316619,-0.09053019,-0.5459762,0.920745,-0.02258589,-0.3627605,-0.1418573,0.939533,-0.3228244,-0.1129438,-0.01749069,0.9701281,-0.07151349,-0.214183,-0.08867329,0.9717355,0.1084358,0.2008521,0.06025111,0.9772682,-0.10331,-0.1849462,-0.008303686
0.9774101,-0.209265,0.01011926,-0.02784306,0.9875978,0.1455445,0.05528206,-0.0202793,0.9144022,0.04276446,-0.3695232,0.1596635,0.9983864,-0.03899797,0.03054873,0.02775827,0.7803568,-0.009763391,-0.2911677,0.5533258,0.9746863,0.1457274,0.1522866,0.07455835,0.9993861,0.002536521,0.02829452,0.02050709,0.4407996,0.04155144,0.8930386,-0.08031951,0.99843,0.01056323,-0.05435167,-0.008477033,0.9928146,-0.04618425,0.1060283,0.03072676,0.9967605,-0.005418175,0.07525547,-0.02785334,0.830927,0.05088599,-0.09191513,-0.5463722,0.9214277,-0.0228001,-0.3615456,-0.1404847,0.9397613,-0.3215748,-0.1146773,-0.01695893,0.9706001,-0.06468625,-0.2130217,-0.09150366,0.9719877,0.1097352,0.1979756,0.06327461,0.9766634,-0.106264,-0.1862213,-0.0125815
0.9782264,-0.2057785,0.01499787,-0.02243859,0.9898158,0.1225255,0.06702177,-0.02757367,0.9136741,0.0414498,-0.3698939,0.1632795,0.9984517,-0.03892909,0.02818425,0.02801003,0.7802765,-0.008442432,-0.2939161,0.5520061,0.9734572,0.1516826,0.1551377,0.07284132,0.9995393,-0.0007641015,0.02415215,0.01836376,0.436806,0.04201972,0.8950337,-0.07968503,0.9984149,0.01006556,-0.05467482,-0.008776334,0.993113,-0.0459265,0.1032698,0.03086355,0.9969741,-0.00273423,0.07266533,-0.02747686,0.8304836,0.04986395,-0.09292366,-0.5469697,0.9227584,-0.02373153,-0.3586736,-0.1389494,0.9401551,-0.3196853,-0.116958,-0.01518146,0.9713401,-0.05691722,-0.2105316,-0.09452637,0.9722276,0.1121228,0.1945083,0.06609552,0.9758224,-0.10902,-0.1885387,-0.01839779
0.9791844,-0.201453,0.01721706,-0.0178365,0.9907547,0.1086583,0.07461397,-0.03211336,0.9154435,0.04047671,-0.3634923,0.1679234,0.9985031,-0.03853887,0.02629413,0.02854585,0.7815765,-0.007435903,-0.2929938,0.5506701,0.9732139,0.1535523,0.1545846,0.07334948,0.9995736,0.0005353244,0.02342875,0.01742074,0.4325132,0.04198389,0.8972523,-0.07815331,0.9983864,0.009743238,-0.05519852,-0.009095732,0.9934262,-0.04479173,0.1007216,0.03087616,0.9971396,-0.0001974027,0.07055219,-0.02711258,0.830034,0.05065045,-0.09286158,-0.5475901,0.9243416,-0.02473873,-0.3550498,-0.1375511,0.9403837,-0.3184532,-0.1187582,-0.01275159,0.9718222,-0.04809614,-0.2092237,-0.09733364,0.9721516,0.1159788,0.1916989,0.06871463,0.9747704,-0.1112893,-0.1917805,-0.02564339
0.9791892,-0.2014336,0.0171929,-0.01781907,0.9907538,0.1086439,0.07463792,-0.03213314,0.9154376,0.04048208,-0.3635022,0.1679329,0.9985013,-0.03874694,0.02618783,0.02842546,0.7815362,-0.007171988,-0.2930431,0.5507047,0.9732246,0.1534515,0.1546154,0.07335269,0.9995738,0.0005882532,0.02339049,0.0174565,0.432503,0.04197236,0.8972582,-0.07814892,0.998387,0.009741664,-0.05518994,-0.00908773,0.9934336,-0.04479552,0.1006555,0.03084822,0.9971414,-0.0001829566,0.07051247,-0.02714788,0.8300454,0.05055487,-0.09285239,-0.5475832,0.924367,-0.02466054,-0.3549814,-0.137571,0.9403833,-0.3184543,-0.1187586,-0.01274833,0.9717571,-0.04764746,-0.2097435,-0.09708499,0.9721242,0.1155338,0.1921991,0.06845555,0.9747669,-0.1112977,-0.1917932,-0.02564938
0.9796236,-0.1994873,0.01757432,-0.01528733,0.9908942,0.1049249,0.07735542,-0.03370003,0.9169363,0.04073203,-0.3584788,0.1704752,0.998519,-0.03871324,0.02569599,0.02830006,0.78174,-0.006478697,-0.2931365,0.5503741,0.9714886,0.1594934,0.1591686,0.07373703,0.9996434,-0.004066541,0.02018414,0.01700333,0.4313397,0.04226932,0.897862,-0.0774802,0.9983972,0.009247669,-0.05506878,-0.009221979,0.9935617,-0.04392024,0.09987085,0.03052991,0.9971633,0.0008082608,0.07013608,-0.02730663,0.8298585,0.051716,-0.09217981,-0.5478716,0.9251045,-0.02503828,-0.3531708,-0.1372049,0.940326,-0.3184966,-0.1192214,-0.01154137,0.9720809,-0.04435474,-0.2081995,-0.0987135,0.9719089,0.1190117,0.1906814,0.06978545,0.9741108,-0.1130846,-0.193418,-0.03015821
0.9810278,-0.1934874,0.01002795,-0.006812647,0.9902712,0.1025884,0.08618209,-0.0375678,0.9191443,0.04320974,-0.3507827,0.1739487,0.9985797,-0.03786721,0.02466322,0.02821927,0.7823152,-0.005793303,-0.2920905,0.5501205,0.9702354,0.1627683,0.1625904,0.07559181,0.9996356,-0.005302743,0.02020516,0.01710276,0.4282059,0.04169504,0.8996015,-0.07495609,0.9984002,0.008701348,-0.05510731,-0.009200011,0.9939213,-0.04038215,0.09794959,0.02992757,0.9971992,0.002955251,0.06942926,-0.02765015,0.8297188,0.05442212,-0.08938409,-0.5482841,0.926407,-0.02508814,-0.3495255,-0.1377414,0.9399885,-0.3193855,-0.1196876,-0.009455103,0.9725104,-0.03613786,-0.2073668,-0.09958279,0.9711781,0.1276679,0.1885879,0.07034702,0.9727824,-0.1154021,-0.1970515,-0.03933855
0.9823232,-0.1871634,-0.002706046,0.001909062,0.9887458,0.1061035,0.09772504,-0.03966844,0.9203793,0.04891085,-0.3467136,0.174067,0.9986826,-0.03590272,0.02364895,0.02801769,0.7826591,-0.005541832,-0.2896513,0.5509232,0.9689119,0.1642965,0.1672812,0.07895177,0.999622,-0.006810413,0.02079362,0.01665166,0.4264436,0.0413735,0.9006912,-0.07203815,0.9984661,0.007703379,-0.05399481,-0.009520021,0.9942709,-0.03735142,0.09573858,0.02939975,0.9972204,0.005555668,0.06899797,-0.02756542,0.8297228,0.05769318,-0.08455543,-0.5487093,0.9274521,-0.02380902,-0.3459569,-0.1399275,0.9398965,-0.3194309,-0.1204087,-0.007759665,0.9732111,-0.02893988,-0.2051634,-0.09965313,0.9699381,0.1392604,0.1869541,0.06981968,0.9711529,-0.1174283,-0.2013964,-0.05012145
0.9835857,-0.1795467,-0.01499884,0.009855513,0.9870098,0.1131112,0.1068944,-0.0398904,0.9221491,0.05375611,-0.3499477,0.1558462,0.9987663,-0.03427236,0.02278227,0.02778948,0.7825822,-0.005201295,-0.2862104,0.5528307,0.9677117,0.1634028,0.1729423,0.08321403,0.9996056,-0.00802131,0.02226524,0.0151178,0.4246336,0.0408261,0.9018479,-0.06848355,0.9985437,0.006440245,-0.05262972,-0.009949093,0.994651,-0.03356012,0.09323028,0.02917782,0.9972313,0.007787473,0.06872213,-0.02732075,0.8299412,0.06163968,-0.0781379,-0.5489014,0.9283454,-0.02135696,-0.3424384,-0.1430198,0.9405293,-0.3173129,-0.1211401,-0.006508425,0.9738832,-0.02251411,-0.2025316,-0.1001277,0.9679609,0.1539354,0.1857024,0.06978681,0.9691909,-0.1186771,-0.2064044,-0.06310311
