LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9927088,-0.1149492,-0.0300503,0.02032062,0.9886774,0.08293321,0.1161239,-0.04641533,0.9425255,0.0389265,-0.3191362,0.09100843,0.9987309,-0.03518914,0.00995389,0.03463063,0.7937198,0.0395757,-0.3906521,0.4645788,0.7001175,0.2228527,0.5398151,0.4108185,0.9825898,0.02596772,0.1419448,-0.1170247,0.4314455,0.05835873,0.898648,-0.05367204,0.9976999,-0.00085216,-0.06317674,-0.02455647,0.9903125,-0.07322138,0.1105758,0.04114471,0.9984344,0.02216914,0.04885163,-0.01583692,0.8191042,0.05641464,-0.03018878,-0.5700652,0.8307215,0.0379516,-0.5227577,-0.187579,0.9522094,-0.2468072,-0.1782955,-0.02437864,0.9871674,-0.07897644,-0.1311445,-0.04543654,0.907293,0.3766648,0.1859584,0.01904354,0.9095026,0.0482191,-0.2965456,-0.2872992
0.9901422,-0.1166162,-0.06804241,0.03727672,0.9793513,0.1190988,0.154774,-0.05226369,0.9432641,-0.03810779,-0.3225898,0.06882209,0.9982617,-0.03986275,0.02161997,0.03764289,0.7933599,0.04143079,-0.3884936,0.4668365,0.7023529,0.2184521,0.5449319,0.4025274,0.981111,0.02907032,0.161179,-0.1029445,0.4280565,0.0585671,0.9002854,-0.05313978,0.9978907,-0.003739346,-0.06031105,-0.0237203,0.9902439,-0.07753234,0.1072814,0.04354927,0.9983779,0.02233061,0.04863278,-0.01943524,0.8235144,0.06931619,-0.02499443,-0.5624896,0.8322882,0.03471207,-0.5193229,-0.1907755,0.9536382,-0.2398767,-0.1807446,-0.01910011,0.9860929,-0.09725457,-0.131913,-0.02759226,0.8873314,0.42812,0.171309,-0.003076255,0.9220156,0.01822674,-0.2711249,-0.2757649
0.9888197,-0.1207757,-0.08669814,0.01150734,0.9703107,0.1351591,0.2000788,-0.01405753,0.9304661,-0.07916383,-0.3553926,0.04076993,0.9975279,-0.04985092,0.03314282,0.03680611,0.7966681,0.05097978,-0.3774903,0.4692784,0.7048984,0.2158286,0.5542504,0.3864491,0.9809403,0.0177491,0.1637849,-0.1030321,0.4238663,0.060234,0.9018033,-0.05882255,0.9978839,-0.009449937,-0.06151027,-0.01884085,0.9901968,-0.07719615,0.1105382,0.03650213,0.9979962,0.01027914,0.05384357,-0.03160487,0.8311071,0.08933213,-0.01146049,-0.5487707,0.83587,0.02996315,-0.5139371,-0.1905049,0.9556122,-0.2283492,-0.1859824,-0.008517329,0.9806174,-0.1248899,-0.1508064,-0.007036754,0.8628319,0.4723475,0.1784801,-0.02353491,0.9294611,-0.0004905388,-0.2632942,-0.2584142
0.9871988,-0.1179204,-0.1025007,0.03204457,0.966867,0.1243055,0.2210621,-0.0291177,0.9303055,-0.08262701,-0.3558111,0.03320974,0.9968341,-0.04415736,0.04479025,0.04863907,0.8060455,0.03308021,-0.3507,0.475611,0.704255,0.2146876,0.5668131,0.3696718,0.981819,0.01178706,0.1565437,-0.1067085,0.4285174,0.05931186,0.8988155,-0.07060985,0.9983823,-0.0116934,-0.05361162,-0.01490062,0.9897001,-0.08528154,0.1098362,0.03401052,0.9971936,-0.01307302,0.06113675,-0.04118618,0.8390504,0.1147537,-0.002173316,-0.5318095,0.8439517,0.02446124,-0.5038548,-0.1824214,0.9562756,-0.220919,-0.1915399,0.006639436,0.9719436,-0.1598595,-0.1717686,0.0163201,0.8373191,0.5105603,0.1904006,-0.04441293,0.9366094,-0.01781383,-0.2551463,-0.2394702
0.9870263,-0.1230054,-0.09437408,0.04174117,0.9675971,0.1262265,0.2159293,-0.03460309,0.9302738,-0.0812092,-0.3562368,0.03303072,0.9971794,-0.03342912,0.04613829,0.04885707,0.8105372,0.02280416,-0.3310391,0.4826207,0.7010197,0.2137167,0.5743527,0.364713,0.9825764,0.01219293,0.1509514,-0.1077433,0.4309016,0.0580543,0.8973058,-0.07613081,0.9986146,-0.01367197,-0.04924942,-0.01251193,0.9895147,-0.0887722,0.1092679,0.03225859,0.9973094,-0.005830811,0.06045503,-0.04105082,0.8403131,0.1117706,-0.001154147,-0.5304526,0.8488008,0.02435816,-0.498063,-0.1757187,0.9552818,-0.2230837,-0.1935621,0.014287,0.9666905,-0.1773075,-0.1831953,0.02260511,0.8261743,0.5254469,0.1966539,-0.05166069,0.9408045,-0.0254929,-0.2480939,-0.2295351
0.9870772,-0.1266935,-0.08962804,0.03992835,0.9677469,0.1296084,0.2143711,-0.02669407,0.9306943,-0.07802504,-0.355814,0.03341627,0.997186,-0.02698094,0.04932468,0.04959027,0.8155031,0.01504071,-0.3128885,0.4866512,0.6982678,0.2123611,0.5805057,0.3610238,0.9829935,0.01500374,0.1482596,-0.107321,0.4339657,0.05308932,0.8959239,-0.07858614,0.9988179,-0.01366822,-0.04585734,-0.008551698,0.9889461,-0.09293421,0.1111425,0.03156232,0.9972374,0.000535026,0.06111222,-0.04221999,0.8405522,0.1076382,0.003871433,-0.5309154,0.8534923,0.02666592,-0.4922521,-0.1689014,0.9533147,-0.2297163,-0.1948582,0.02125651,0.9617857,-0.1890802,-0.1960226,0.02814742,0.8169969,0.5361218,0.2040089,-0.05890571,0.9453261,-0.03258819,-0.2390868,-0.219395
0.9891864,-0.1121408,-0.0837521,0.04382114,0.9498633,0.19242,0.246114,-0.01273564,0.916178,-0.1413732,-0.3740001,0.02748697,0.9969359,-0.02316178,0.05507454,0.05048942,0.8255431,0.00486233,-0.2791327,0.4904485,0.6950516,0.2062991,0.5872107,0.3598996,0.9824769,0.03164292,0.1504923,-0.1053082,0.4514919,0.04955672,0.8878236,-0.07394917,0.9994137,-0.01061345,-0.03191431,-0.00640972,0.9901969,-0.08827725,0.104901,0.02670008,0.9967602,0.003022357,0.06791797,-0.04297936,0.8372095,0.1039798,0.02443434,-0.5363501,0.8732498,0.005489402,-0.4535455,-0.1780482,0.9514099,-0.2177327,-0.2173337,0.013334,0.9554369,-0.1976755,-0.2129194,0.05225091,0.8086269,0.5385336,0.2170186,-0.09490475,0.9540493,-0.04683816,-0.2194803,-0.1985563
0.9909523,-0.09645694,-0.08579298,0.03673078,0.94574,0.1912794,0.2624103,-0.01134812,0.9151529,-0.1432586,-0.3758201,0.02704586,0.9971436,-0.0199823,0.05335168,0.04958831,0.8320552,0.005961433,-0.240844,0.4996426,0.6928947,0.1912766,0.5985926,0.3535494,0.9816748,0.05573565,0.1509201,-0.1021333,0.462912,0.05384249,0.88188,-0.07142254,0.9997045,-0.0107395,-0.01997381,-0.008751213,0.9900021,-0.08591521,0.1092876,0.02388976,0.9966947,-0.0005253195,0.06982341,-0.04152233,0.8319332,0.1000197,0.05459864,-0.543049,0.8825013,-0.01709295,-0.4204585,-0.2100335,0.9526953,-0.1980642,-0.2302612,0.01104844,0.9511131,-0.2165081,-0.2122976,0.05863415,0.8097784,0.5320603,0.2251873,-0.1022818,0.9603829,-0.05786821,-0.2064819,-0.1779923
0.9921773,-0.08020186,-0.0898082,0.03296029,0.9466678,0.180671,0.2662758,-0.01659294,0.9187447,-0.1324073,-0.3708409,0.02921313,0.9974349,-0.01718138,0.0521125,0.04596502,0.8313766,0.01242122,-0.201498,0.5177423,0.6956778,0.1720226,0.6109542,0.336416,0.9807132,0.07507807,0.1493609,-0.1012731,0.466477,0.05768961,0.879724,-0.071812,0.9997718,-0.01340714,-0.0123336,-0.01115975,0.9916673,-0.07610805,0.1004109,0.02685438,0.996981,-0.0002029387,0.06820311,-0.03710969,0.8217491,0.08657582,0.1110077,-0.552187,0.876331,0.02671376,-0.4288499,-0.2177572,0.9496787,-0.2195609,-0.2225739,0.01908428,0.9459113,-0.2331816,-0.2167091,0.06257331,0.8184225,0.5110002,0.2442746,-0.09691952,0.9639068,-0.06456194,-0.2009807,-0.1622415
0.9929141,-0.0715485,-0.08945134,0.0316365,0.9487107,0.1728708,0.2639348,-0.02004985,0.9215154,-0.1205779,-0.3678791,0.03058494,0.9975443,-0.01690833,0.05208912,0.04365914,0.8309587,0.01841389,-0.1854242,0.5242007,0.695657,0.1609042,0.616697,0.3314455,0.9798415,0.08156294,0.1505221,-0.1029618,0.4668676,0.05900326,0.8793604,-0.07265382,0.9997595,-0.01523784,-0.009701367,-0.01243661,0.9923712,-0.07166474,0.09558175,0.03045914,0.9970102,-0.0007787606,0.06884109,-0.0350862,0.8203663,0.08702272,0.1214315,-0.5519788,0.8765834,0.03371635,-0.4270503,-0.2193007,0.9490656,-0.2246673,-0.2197997,0.02207559,0.9427172,-0.2408401,-0.2215012,0.06494394,0.8241456,0.4957452,0.2574427,-0.09351006,0.9655803,-0.06619596,-0.1985176,-0.1544785
