LeftUpLeg_Q_w,LeftUpLeg_Q_x,LeftUpLeg_Q_y,LeftUpLeg_Q_z,LeftLeg_Q_w,LeftLeg_Q_x,LeftLeg_Q_y,LeftLeg_Q_z,LeftFoot_Q_w,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftShoulder_Q_w,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftArm_Q_w,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftForeArm_Q_w,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftHand_Q_w,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,Hip_Q_w,Hip_Q_x,Hip_Q_y,Hip_Q_z,Spine_Q_w,Spine_Q_x,Spine_Q_y,Spine_Q_z,Head_Q_w,Head_Q_x,Head_Q_y,Head_Q_z,RightShoulder_Q_w,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightArm_Q_w,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightForeArm_Q_w,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightHand_Q_w,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightUpLeg_Q_w,RightUpLeg_Q_x,RightUpLeg_Q_y,RightUpLeg_Q_z,RightLeg_Q_w,RightLeg_Q_x,RightLeg_Q_y,RightLeg_Q_z,RightFoot_Q_w,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z
0.9696555,-0.2397152,0.03584377,-0.03194153,0.9288348,0.3339363,0.1319645,0.09131245,0.929635,-0.03248766,-0.3309688,0.1586915,0.9942068,-0.02343854,0.09715711,0.03954738,0.7592356,0.03542197,-0.2604535,0.5953743,0.9978085,0.05788622,0.0126956,0.02943444,0.9787222,0.2047621,-0.01238088,0.004705304,0.5476378,0.03650915,0.8328974,-0.07100698,0.999789,0.009628461,-0.01424763,0.01124013,0.9903179,-0.01138148,0.1368567,-0.02027725,0.9987271,-0.04169721,-0.01625698,-0.02326613,0.7673082,0.04509749,-0.2524973,-0.5877495,0.9627205,-0.2340958,-0.1288635,0.04198474,0.9814056,-0.1803673,0.05124377,0.04104698,0.9653125,-0.1311298,-0.2201662,-0.05003613,0.9214731,0.07270225,0.3810155,0.02071166,0.9278519,-0.01901499,-0.3721622,-0.01499001
0.9694749,-0.2393455,0.03858143,-0.03665583,0.9201892,0.354491,0.1322204,0.1005274,0.930302,-0.03569363,-0.3311822,0.1535661,0.9943621,-0.02253799,0.0960945,0.03875696,0.7588242,0.03623118,-0.2650886,0.5938023,0.99758,0.06112223,0.01274852,0.03059,0.9782541,0.2066054,-0.01440426,0.01121313,0.5482504,0.03498819,0.8326327,-0.07014413,0.9997868,0.009532616,-0.01423792,0.01152198,0.9901977,-0.01273432,0.1377659,-0.01915719,0.9987378,-0.04110342,-0.01681278,-0.02347056,0.7674351,0.04388309,-0.2512727,-0.5882004,0.9629032,-0.2320551,-0.1312017,0.04188072,0.9811463,-0.1819652,0.05136172,0.04003104,0.9660504,-0.1295705,-0.2180114,-0.04928709,0.9221226,0.06813452,0.3802037,0.02220019,0.927262,-0.01471698,-0.3737414,-0.01691128
0.9695032,-0.2380071,0.04069545,-0.0419531,0.9113572,0.3734244,0.1336547,0.1100852,0.9308481,-0.03759646,-0.3314637,0.149132,0.9944673,-0.02248734,0.09526528,0.03812834,0.7582127,0.03712017,-0.2699543,0.5923347,0.9973396,0.06479802,0.01237744,0.03101167,0.9782497,0.2060919,-0.01531099,0.01786711,0.5485462,0.03355867,0.8325751,-0.06920791,0.9997819,0.009440739,-0.01453327,0.01165552,0.990068,-0.01435,0.138738,-0.01764433,0.9987473,-0.04066939,-0.01701685,-0.02367215,0.7676375,0.04325216,-0.2501692,-0.5884534,0.9632868,-0.2292271,-0.1333169,0.04195386,0.9808124,-0.1841734,0.05123189,0.03824043,0.9665045,-0.1283326,-0.216787,-0.04902343,0.922341,0.07332424,0.3788026,0.02047478,0.9270167,-0.01967447,-0.3742081,-0.01487749
0.9701365,-0.2327046,0.04314957,-0.05312233,0.8935943,0.406969,0.1389557,0.1286732,0.9308226,-0.04068465,-0.3344848,0.1415419,0.9945503,-0.02253104,0.09444974,0.03796447,0.7569136,0.03821771,-0.2786267,0.5899054,0.9969137,0.07135876,0.01134017,0.03069782,0.9790693,0.200735,-0.01556174,0.02977744,0.548432,0.03093474,0.8328958,-0.06745344,0.999774,0.009124692,-0.01532401,0.01157103,0.9898911,-0.01796036,0.1400132,-0.01376499,0.9987716,-0.03985884,-0.01733373,-0.02379535,0.7684388,0.04297747,-0.2481694,-0.5882744,0.9643672,-0.22224,-0.1372506,0.04204322,0.9802064,-0.1882264,0.05136331,0.03358814,0.9671013,-0.1262893,-0.21538,-0.0487601,0.9261608,0.05731198,0.3718215,0.02627489,0.926663,-0.002528204,-0.3753563,-0.01992638
0.9718763,-0.2225075,0.0452873,-0.06241701,0.8783975,0.4333349,0.1425126,0.1425796,0.9304651,-0.04072746,-0.3391242,0.1325549,0.9945815,-0.02262534,0.09370351,0.03892916,0.755328,0.03941722,-0.2850915,0.588769,0.9966804,0.07506179,0.01020027,0.02982983,0.9802624,0.1935974,-0.01551724,0.03694437,0.5472992,0.02826655,0.8338768,-0.06568235,0.9997749,0.008720833,-0.01575888,0.01121837,0.9899848,-0.02111048,0.1392733,-0.009349283,0.9987947,-0.03876091,-0.01822063,-0.02397538,0.7698618,0.0441124,-0.2470267,-0.586809,0.9653671,-0.2156889,-0.1406639,0.04193137,0.9801764,-0.1888658,0.05254559,0.02868717,0.9671355,-0.125555,-0.2160113,-0.04715975,0.9268051,0.05195384,0.3708796,0.02795681,0.9261504,0.005340336,-0.3765452,-0.02075576
0.9747996,-0.2064926,0.0489246,-0.06879705,0.868247,0.4515174,0.1415335,0.1491558,0.9309855,-0.0344763,-0.3422719,0.1221773,0.9945664,-0.0227396,0.09324086,0.04033341,0.7536348,0.04020162,-0.2896472,0.5886621,0.9966966,0.07486748,0.009071031,0.03014055,0.981301,0.188052,-0.01589089,0.03784534,0.5452436,0.02602556,0.8354594,-0.06355909,0.9997854,0.008347784,-0.01589818,0.01033118,0.9903247,-0.02292723,0.1367527,-0.005474175,0.9988144,-0.03755309,-0.01909539,-0.02439023,0.7715087,0.04634541,-0.2474657,-0.5842835,0.9659836,-0.2114221,-0.1428918,0.0419341,0.9808224,-0.1855443,0.05466769,0.02391831,0.9657264,-0.1269768,-0.2220429,-0.04411776,0.9255496,0.04984312,0.3742963,0.02785642,0.9235657,0.01272662,-0.3826316,-0.02139024
0.9765185,-0.1968517,0.05125201,-0.07095301,0.8651471,0.4577177,0.1397409,0.1499588,0.9314237,-0.03011885,-0.3431082,0.1175564,0.9945322,-0.02286193,0.09321001,0.04116859,0.7524795,0.04042417,-0.2910981,0.5894085,0.9968019,0.07344434,0.008318424,0.0303769,0.9817594,0.1859877,-0.01595322,0.03609113,0.5438948,0.02516999,0.8364546,-0.06235901,0.9997942,0.008154649,-0.01587708,0.009644603,0.9905669,-0.02319315,0.1349956,-0.003934231,0.9988261,-0.0369419,-0.01939061,-0.02461093,0.7722238,0.04757356,-0.2481989,-0.5829276,0.9661658,-0.2101481,-0.1435251,0.04197622,0.9812821,-0.1829931,0.05587122,0.02184759,0.9643884,-0.1286338,-0.2271545,-0.04253455,0.9247845,0.05037237,0.3761494,0.02734912,0.9219206,0.01564205,-0.3864432,-0.02189669
0.9782839,-0.1864674,0.05352414,-0.07297771,0.863242,0.4619161,0.1378964,0.1497712,0.9304115,-0.06292431,-0.3371668,0.1292032,0.9944995,-0.02312327,0.09322004,0.04178599,0.7512327,0.04101574,-0.2918846,0.5905681,0.996915,0.07177715,0.007580615,0.03083692,0.9822373,0.1839646,-0.01577237,0.0334393,0.5422786,0.02491855,0.8376281,-0.06076419,0.9998052,0.007981418,-0.0159143,0.00852854,0.9908345,-0.02318062,0.1330497,-0.002714135,0.9988399,-0.03637293,-0.01948398,-0.02482551,0.7727565,0.0487383,-0.2492543,-0.5816737,0.9663004,-0.2093417,-0.1437662,0.04208332,0.9817294,-0.1804244,0.0570087,0.02011238,0.9627759,-0.1309443,-0.2327759,-0.04161119,0.9241142,0.05168861,0.3776563,0.02677784,0.9225132,0.01800703,-0.3849115,-0.02209705
0.9847738,-0.1459052,0.06156549,-0.07170676,0.8722669,0.448896,0.1314335,0.1427167,0.9322296,-0.009311264,-0.3457882,0.1062629,0.9944834,-0.02316864,0.09295072,0.04273375,0.7489912,0.0424453,-0.2908321,0.5938244,0.9970934,0.06885673,0.006506323,0.03195558,0.9832879,0.1792802,-0.01518899,0.02779977,0.5386726,0.02387174,0.8402012,-0.05765299,0.9998263,0.007901856,-0.0155108,0.006666877,0.9914217,-0.02254996,0.128738,-0.001020595,0.9988502,-0.03571446,-0.01948045,-0.02536479,0.7730685,0.05071807,-0.2517343,-0.5800196,0.9665473,-0.2085137,-0.1431638,0.04257564,0.9823837,-0.1764773,0.05880247,0.0178937,0.9598103,-0.1362765,-0.2421393,-0.0395181,0.9232284,0.05576779,0.3792969,0.02594406,0.9212774,0.02334363,-0.3875379,-0.02274649
0.9879842,-0.1231167,0.05963107,-0.07192849,0.8748643,0.4444202,0.1356332,0.1367729,0.9326589,0.01002291,-0.3461486,0.1011341,0.9944927,-0.0237069,0.09233842,0.04354198,0.7469822,0.04570174,-0.2872238,0.5978557,0.9972734,0.06573384,0.007272042,0.03274025,0.984295,0.1742041,-0.01512742,0.02423898,0.5347606,0.0229573,0.8429505,-0.05420892,0.9998517,0.007988367,-0.01447246,0.004830538,0.9920387,-0.02082896,0.1241978,-0.0005466614,0.9988372,-0.03560235,-0.01945728,-0.02604029,0.772232,0.05183047,-0.2537488,-0.5801576,0.9668247,-0.2080505,-0.1416352,0.04364146,0.9826224,-0.1748771,0.05970284,0.0175163,0.9576535,-0.1421885,-0.247446,-0.03811549,0.9236151,0.06085481,0.3776075,0.02538493,0.9193202,0.02854012,-0.39174,-0.02399171
