Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,2.669724,8.133958,78.69479,3.188928,17.91806,11.56938,66.45325,30.71034,22.15244,162.0711,26.15682,19.45081,10.85394,19.5,22.62379,24.26328
2.669724,8.133958,78.69479,3.188928,17.91806,11.56938,66.45325,30.71034,22.15244,162.0711,26.15682,19.45081,10.85394,19.5,22.62379,24.26328, ,,,,,,,,,,,,,,,,, ,0.3544468,-1.064941,1.788928,1.911962,11.06501,-2.387756,-10.92236,17.62268,5.338047,-2.609161,-25.31042,16.14448,5.044258,18.3526,22.39504,-0.8323975, ,2.550297,2.431959,-6.338074,-2.300812,0.5303388,5.205677,21.51023,25.54374,8.365627,-162.0434,-4.294861,10.47554,-9.148254,-0.06546021,-0.8817139,6.943946, ,-0.6977539,-7.711945,-78.5625,-1.143768,14.15694,9.948813,60.35372,2.981631,-19.44464,-0.9822998,-4.210297,4.803769,-3.389679,-6.629059,2.937487,23.19754,,,,,,,,,,,,,,,,,
2.356383,7.631857,79.17493,3.205332,17.75925,11.46653,66.79805,30.14452,21.52516,161.5352,25.01416,20.22197,9.995894,18.78445,27.96692,31.02494, ,0.3133404,0.5021009,0.4801407,0.01640439,0.1588116,0.102849,0.3447952,0.565815,0.6272831,0.5359497,1.142654,0.7711639,0.8580503,0.7155476,5.343128,6.761662, ,-0.06387329,-1.060059,1.325969,1.037396,10.99419,-2.186646,-8.565674,18.15996,5.379268,-2.752533,-24.56662,18.54789,4.921408,16.92474,27.80368,5.97118, ,2.301781,2.078218,-7.370728,-2.940369,0.3215072,5.464193,20.63835,24.47066,8.175876,-161.5122,-3.827576,8.194211,-8.67569,-0.9467773,-1.005768,12.37663, ,-0.5019531,-7.286285,-78.96344,-0.7703552,13.99579,9.741571,61.82254,3.236245,-18.81543,-0.7167969,-2.096161,1.694868,-1.15921,-8.266205,2.63878,28.54076,,,,,,,,,,,,,,,,,
2.29479,7.424396,79.36001,3.52828,17.57923,11.45093,66.98657,29.92997,21.02865,161.3062,24.87463,20.72264,9.443389,18.10026,31.16591,35.28192, ,0.06159353,0.2074609,0.1850739,0.3229475,0.1800232,0.0156002,0.1885223,0.2145538,0.4965096,0.2289276,0.139534,0.5006618,0.5525055,0.6841888,3.198986,4.256979, ,-0.2619629,-1.128235,1.172518,0.629159,10.92046,-2.019623,-7.553619,18.56062,5.631564,-2.699158,-24.33746,19.45057,4.708648,15.62966,31.01605,9.277173, ,2.242432,1.885275,-7.856445,-3.436462,0.1995676,5.657972,20.12691,23.9034,8.112414,-161.2886,-3.291107,7.240799,-8.18927,-1.297089,-1.324982,15.886, ,-0.4165649,-7.110992,-79.10745,-0.5128479,13.8144,9.653794,62.50202,3.415043,-18.19461,-0.5181274,-3.354248,2.088538,-0.03067017,-9.244812,2.448875,31.57056,,,,,,,,,,,,,,,,,
2.309749,7.308719,79.49326,4.067301,17.34439,11.50428,67.16505,29.68504,20.41054,161.0687,24.37642,20.67092,8.233792,17.2526,34.75354,38.90968, ,0.01495957,0.1156769,0.133255,0.5390215,0.2348385,0.05334663,0.1784744,0.2449303,0.6181145,0.2375031,0.4982147,0.05171204,1.209597,0.8476582,3.587633,3.627762, ,-0.5344849,-1.365509,1.144143,0.2781339,10.82757,-1.89389,-6.575836,18.94045,6.020172,-2.528809,-23.76495,19.93001,3.679786,14.03965,34.63002,10.32099, ,2.216658,1.731024,-8.353668,-4.052216,0.0739242,5.798249,19.74046,23.29021,8.055394,-161.0589,-2.241791,5.504751,-7.286591,-1.63208,-1.31839,19.00886, ,-0.380249,-6.989441,-79.20227,-0.2226257,13.5767,9.663439,63.08996,3.548981,-17.36649,-0.2340088,-4.534851,1.980284,0.8773803,-10.12225,2.28592,34.331,,,,,,,,,,,,,,,,,
2.406995,7.502369,79.25838,4.747112,17.09864,11.59422,67.41977,29.33312,19.70977,160.8428,22.1994,19.09242,7.188787,16.36724,38.74577,40.84366, ,0.09724593,0.1936502,0.2348785,0.679811,0.2457523,0.08994675,0.2547226,0.3519154,0.7007656,0.2259521,2.177019,1.578506,1.045005,0.8853588,3.992226,1.933979, ,-0.874115,-1.548035,0.99686,0.0131293,10.7187,-1.918121,-5.520691,19.20085,6.526721,-2.371979,-21.00714,17.93899,2.826617,12.26546,38.68459,10.15188, ,2.210564,1.525147,-8.818176,-4.746613,-0.04556274,5.798666,19.58938,22.60814,7.983873,-160.8403,-4.506775,6.567605,-6.386475,-2.216064,-1.10791,21.09074, ,-0.3960571,-7.201813,-78.9184,0.06970313,13.33708,9.763212,63.6778,3.541736,-16.37183,0.07893857,-4.865082,2.04279,1.556736,-10.87091,1.573183,35.67183,,,,,,,,,,,,,,,,,
2.590258,7.809699,78.90013,5.464886,16.86476,11.67327,67.82311,28.78945,19.00714,160.6159,22.06892,19.43414,6.3091,15.35713,42.8521,41.22246, ,0.1832626,0.3073297,0.3582535,0.7177739,0.2338829,0.07905197,0.4033432,0.5436726,0.702631,0.2268677,0.1304779,0.3417282,0.8796873,1.010112,4.106331,0.3787956, ,-1.260315,-1.738373,0.7806354,-0.1604309,10.55509,-2.135864,-4.36731,19.25793,7.147066,-2.161194,-20.6543,18.40967,2.095494,10.27463,42.83746,9.922727, ,2.220017,1.381668,-9.411133,-5.453644,-0.1784363,5.671188,19.65138,21.819,7.892611,-160.6199,-5.497253,6.330338,-5.546539,-2.80191,0.2043186,21.4272, ,-0.4642944,-7.50885,-78.48901,0.3190616,13.1543,9.876638,64.35905,3.379146,-15.28406,0.4045692,-4.646393,1.325216,2.058738,-11.33627,1.212301,35.98194,,,,,,,,,,,,,,,,,
2.81751,8.234649,78.34473,6.142953,16.67082,11.68636,68.36868,28.063,18.38031,160.3967,22.02745,19.69716,5.453699,11.95166,50.81575,40.07402, ,0.227252,0.4249496,0.5554047,0.6780672,0.1939373,0.01308918,0.5455704,0.7264481,0.6268311,0.219223,0.04146957,0.2630138,0.8554006,3.405474,7.963654,1.148434, ,-1.649536,-1.787018,0.3460899,-0.2746277,10.29467,-2.478119,-3.281342,19.15158,7.809069,-1.882996,-20.42117,18.85658,1.303643,4.350106,50.74944,10.30254, ,2.221341,1.186215,-10.10938,-6.115479,-0.3329468,5.411244,19.83974,20.90812,7.753418,-160.4056,-6.090118,5.796224,-4.681854,-2.455566,3.002161,19.80221, ,-0.5649719,-7.96936,-77.82397,0.526547,13.096,9.94562,65.11974,3.17827,-14.22742,0.7274404,-4.651917,0.7764409,2.422694,-10.95496,1.902106,35.3614,,,,,,,,,,,,,,,,,
2.815842,8.206443,78.38944,6.142061,16.67063,11.69435,68.35964,28.06475,18.38005,160.3977,22.0277,19.69784,5.454274,11.95048,50.81454,40.07402, ,0.0016675,0.02820587,0.04471588,0.000892639,0.000188828,0.0079813,0.009040833,0.001747131,0.000257492,0.001022339,0.00025177,0.000679016,0.000574589,0.001180649,0.001209259,0, ,-1.650024,-1.82312,0.3792012,-0.2722473,10.29227,-2.476807,-3.27887,19.15259,7.809047,-1.882996,-20.42114,18.85755,1.308093,4.351643,50.74829,10.30254, ,2.219126,1.206879,-10.12637,-6.114807,-0.3329468,5.414793,19.83785,20.90964,7.753213,-160.4066,-6.091095,5.795291,-4.680573,-2.452942,3.000555,19.80221, ,-0.5643311,-7.929596,-77.87015,0.5243402,13.09766,9.953262,65.11133,3.179018,-14.22723,0.7259921,-4.651764,0.7771249,2.424074,-10.95355,1.902314,35.3614,,,,,,,,,,,,,,,,,
3.009864,8.600217,77.83006,6.732897,16.54246,11.66602,68.89626,27.23825,17.87525,160.2138,22.10764,19.96592,4.936779,11.37103,54.86163,38.22554, ,0.1940217,0.393774,0.5593796,0.590836,0.1281738,0.02832699,0.5366211,0.8264999,0.5048027,0.1839294,0.07993889,0.2680855,0.5174942,0.5794497,4.047085,1.848484, ,-1.987091,-1.865723,-0.1236572,-0.3437805,9.911118,-2.816528,-2.460419,18.9957,8.42347,-1.593872,-20.20752,19.21352,0.5801823,2.215977,54.52576,10.52192, ,2.174157,0.9699541,-10.97128,-6.692047,-0.5141296,5.072359,19.93703,19.89349,7.562876,-160.2254,-6.536316,5.532925,-4.032562,-1.949799,7.195024,17.35375, ,-0.6586304,-8.35553,-77.16272,0.6768994,13.20691,10.00163,65.82049,3.118581,-13.31348,1.033345,-5.15271,0.7841744,2.768586,-11.02026,5.047614,34.22696,,,,,,,,,,,,,,,,,
3.008303,8.591011,77.84383,6.729988,16.54084,11.66602,68.89579,27.23828,17.87587,160.2148,22.10582,19.96482,4.937255,11.36951,54.86019,38.22224, ,0.001560688,0.009205818,0.01377106,0.002908707,0.001613617,0,0.000473023,2.86E-05,0.000616074,0.001022339,0.001817703,0.001102448,0.000475884,0.001517296,0.001438141,0.003295898, ,-1.987579,-1.874939,-0.1161804,-0.3395691,9.909035,-2.816498,-2.458862,18.99579,8.424408,-1.593872,-20.20523,19.21205,0.5841629,2.217527,54.52423,10.52395, ,2.171956,0.9763139,-10.97607,-6.689545,-0.5156555,5.072483,19.93782,19.89346,7.564139,-160.2264,-6.538788,5.53402,-4.033905,-1.947235,7.194888,17.35222, ,-0.657959,-8.343384,-77.17682,0.6749091,13.2062,10.0016,65.82009,3.118502,-13.31287,1.031893,-5.150818,0.785143,2.766554,-11.01886,5.05124,34.22338,,,,,,,,,,,,,,,,,
