Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v
10.0089,10.11328,76.48544,14.61382,15.35493,10.78083,77.34643,9.44538,22.32207,157.702,7.790821,54.32009,17.10015,9.140065,16.38829,7.63873, ,,,,,,,,,,,,,,,,, ,-8.656738,-3.396545,-0.03060913,-1.35437,2.73713,-3.254547,-1.796875,6.254394,4.731738,-3.998016,4.191715,54.00255,5.705541,-7.512604,15.11035,-4.084076, ,4.779185,1.708481,-13.95352,-14.4299,-2.091888,4.452479,18.09126,7.092132,7.590368,-157.5233,0.2859029,-6.605591,-15.49915,-1.707428,6.391873,-5.591919, ,-1.968323,-9.423981,-75.39044,2.060195,14.9159,9.141524,75.22149,0.4010275,-20.16168,-4.275787,6.572911,-5.582916,-5.313446,5.035484,0.2552458,3.435084,,,,,,,,,,,,,,,,,,,,,,
9.242192,9.743886,77.58506,11.56931,15.21281,10.78032,76.85641,5.15494,28.10177,157.7325,5.494464,55.57204,17.78158,7.814412,15.29212,7.397552, ,0.7667093,0.3693914,1.099625,3.044513,0.1421175,0.000509262,0.4900131,4.290441,5.779703,0.0304718,2.296357,1.251949,0.6814289,1.325654,1.096168,0.2411776, ,-8.212311,-3.126099,1.937711,-1.764954,3.807299,-3.112122,-4.599579,3.849564,7.109759,-3.646027,0.7109606,55.45321,5.125827,-6.204895,14.20483,-4.921875, ,4.036661,1.63258,-13.66083,-11.41486,-1.260284,4.61009,19.25693,2.293967,13.58035,-157.5916,-0.04083252,-3.781342,-16.37146,-2.009613,5.683546,-4.252563, ,-1.630768,-9.129364,-76.77194,0.8680997,14.63589,9.114021,73.87045,2.627258,-22.79599,-3.698181,5.447915,-3.984497,-5.510162,4.417393,0.0477223,3.714602,,,,,0.3693914,1.099625,3.044513,0.1421175,0.000509262,0.4900131,4.290441,5.779703,,,,,,,,,,
8.80413,9.517034,78.16515,10.0652,15.11477,10.78977,76.57653,4.814744,30.20574,157.7318,5.0829,55.87262,17.2196,7.222699,14.75955,7.387487, ,0.4380627,0.2268524,0.5800934,1.504116,0.0980463,0.009448051,0.2798843,0.3401957,2.103968,0.000732422,0.4115639,0.3005829,0.5619812,0.591713,0.5325737,0.01006508, ,-7.917572,-3.013947,2.883477,-1.46701,4.371405,-3.002991,-5.99762,3.334583,7.828928,-3.441956,-1.033905,55.77689,4.576194,-5.596619,13.77583,-5.410126, ,3.662792,1.600653,-13.2952,-9.956787,-0.8614807,4.712253,19.56911,0.9314348,15.73372,-157.6073,-0.6078796,-2.7789,-15.98083,-2.167236,5.305888,-3.443481, ,-1.47702,-8.927765,-77.49646,0.3312169,14.41398,9.111382,73.17145,3.373591,-23.61224,-3.460144,4.94505,-3.93335,-5.212067,4.128149,-0.04205322,3.83676,,,,,0.2268524,0.5800934,1.504116,0.0980463,0.009448051,0.2798843,0.3401957,2.103968,,,,,,,,,,
8.368831,9.262348,78.77409,8.600763,15.0315,10.83161,76.25703,5.108712,32.37528,157.7128,5.383183,55.97687,16.15353,6.632939,14.26903,7.543287, ,0.4352989,0.2546854,0.6089401,1.464433,0.08326817,0.04183674,0.3194962,0.2939682,2.169542,0.01901245,0.3002825,0.1042519,1.066072,0.5897593,0.4905186,0.1557994, ,-7.615326,-2.930939,3.811842,-0.9370117,5.061726,-2.876495,-7.364929,2.983901,8.579706,-3.262512,-2.756683,55.88041,3.589067,-4.978485,13.35654,-5.820587, ,3.298021,1.599172,-12.7876,-8.54718,-0.4759216,4.835035,19.72125,-0.3647766,17.93694,-157.6023,-1.369324,-1.877136,-15.17682,-2.27652,5.021369,-3.007477, ,-1.330261,-8.681946,-78.24622,-0.1461182,14.1293,9.139235,72.45322,4.121703,-24.37039,-3.240173,4.450166,-4.029633,-4.736725,3.847643,-0.08648682,3.897809,,,,,0.2546854,0.6089401,1.464433,0.08326817,0.04183674,0.3194962,0.2939682,2.169542,,,0.254705944,0.628075533,1.593938556,0.093497492,0.039928542,0.344156911,0.923156367,2.584799444
7.9402,9.049783,79.27147,7.240784,15.05764,10.89805,75.9017,5.846977,34.61034,157.7128,6.325957,55.93994,15.0791,6.052807,13.85693,7.752017, ,0.4286308,0.2125654,0.4973755,1.359979,0.02613926,0.0664463,0.3553391,0.738265,2.235058,0,0.9427748,0.0369339,1.07443,0.5801325,0.4121046,0.2087297, ,-7.307648,-2.771454,4.63596,-0.3308105,5.912554,-2.75705,-8.681549,2.719707,9.375689,-3.262512,-4.326599,55.83875,2.425199,-4.192993,12.95019,-6.221771, ,2.948154,1.575057,-12.12207,-7.209503,-0.08599854,4.968851,19.80217,-1.603668,20.17972,-157.6023,-2.207886,-0.5941162,-14.38904,-2.315765,4.932116,-2.67691, ,-1.189178,-8.509094,-78.86945,-0.5659485,13.84974,9.184489,71.7058,4.883999,-25.07504,-3.240173,4.138442,-3.785767,-4.134796,3.787476,-0.07113647,3.922171,,,,,0.2125654,0.4973755,1.359979,0.02613926,0.0664463,0.3553391,0.738265,2.235058,,,0.243157378,0.544363233,1.3151731,0.122457302,0.059218193,0.347466378,1.435225411,3.546213778
7.530505,8.769712,79.84277,6.061339,15.25882,10.9796,75.52323,6.826118,36.90715,157.7128,7.576441,55.74673,14.22282,5.507558,13.48768,8.102116, ,0.4096951,0.2800703,0.5712967,1.179445,0.2011843,0.08154869,0.3784637,0.9791403,2.296814,0,1.250484,0.1932106,0.8562813,0.5452485,0.3692522,0.3500991, ,-7.015961,-2.66568,5.498385,0.2179732,6.873936,-2.647278,-9.935791,2.472679,10.23227,-3.262512,-5.915131,55.62856,1.375116,-3.423615,12.52801,-6.616425, ,2.596091,1.613396,-11.44458,-5.983276,0.3255833,5.089306,19.8967,-2.794891,22.44507,-157.6023,-3.016998,1.015581,-13.74844,-2.279358,5.00611,-2.740814, ,-1.042328,-8.236206,-79.54758,-0.9572754,13.6467,9.249048,70.92297,5.656996,-25.7308,-3.240173,3.810924,-3.146484,-3.552704,3.732738,-0.005615234,3.954138,,,,,0.2800703,0.5712967,1.179445,0.2011843,0.08154869,0.3784637,0.9791403,2.296814,,,0.225967722,0.473455639,1.072657079,0.161538881,0.064633263,0.327277296,2.26011802,4.653206866
7.172207,8.515356,80.30934,5.096591,15.61557,11.05701,75.13786,14.64194,22.73308,157.6922,9.09159,55.3402,13.54259,4.94771,13.12548,8.465715, ,0.3582973,0.2543564,0.4665756,0.9647489,0.3567467,0.07740593,0.385376,7.815821,14.17407,0.02059937,1.515149,0.4065285,0.680233,0.5598483,0.3621988,0.3635998, ,-6.76709,-2.501465,6.312641,0.6397353,7.831491,-2.559265,-11.10675,6.95465,3.448435,-3.112244,-7.650696,55.17562,0.5005887,-2.82724,12.09519,-6.982635, ,2.25548,1.660161,-10.74753,-4.879028,0.7447079,5.19198,20.08316,12.87937,8.936728,-157.5936,-3.786041,2.664898,-13.18802,-2.153473,5.114065,-2.944336, ,-0.8982239,-8.005798,-80.09537,-1.355621,13.55093,9.309692,70.10326,-0.1964722,-20.37329,-3.031097,3.398624,-2.425507,-3.103058,3.496534,0.07035153,3.962003,,,,,0.2543564,0.4665756,0.9647489,0.3567467,0.07740593,0.385376,7.815821,14.17407,,,0.197281944,0.3837933,0.817269258,0.215014894,0.059476958,0.298820503,3.025751196,5.497943577
7.172317,8.510386,80.31971,5.094901,15.61431,11.06452,75.12868,14.64344,22.7337,157.6922,9.091417,55.34061,13.53975,4.948501,13.1253,8.462384, ,0.000109673,0.004969597,0.01036835,0.001689911,0.001256943,0.007512093,0.009178162,0.001501083,0.000621796,0,0.000172615,0.000411987,0.002838135,0.000791073,0.000179291,0.003331184, ,-6.767639,-2.506226,6.317295,0.6398015,7.829535,-2.556,-11.10596,6.955804,3.447213,-3.112244,-7.65036,55.17608,0.501062,-2.828125,12.0961,-6.981232, ,2.254674,1.664088,-10.7536,-4.877747,0.7428284,5.195875,20.08247,12.88054,8.937778,-157.5936,-3.787842,2.664841,-13.18533,-2.152313,5.111294,-2.940582, ,-0.8968506,-7.998383,-80.10568,-1.353607,13.55063,9.317369,70.09403,-0.1953735,-20.37378,-3.031097,3.396924,-2.42514,-3.102081,3.497737,0.07013205,3.959733,,,,,0.004969597,0.01036835,0.001689911,0.001256943,0.007512093,0.009178162,0.001501083,0.000621796,,,0.141569986,0.260817636,0.510387232,0.198520346,0.041775808,0.220361505,2.087409156,3.434019868
6.86912,8.280563,80.71342,4.355973,16.04819,11.12303,74.72604,15.72819,22.86306,157.6693,10.78396,54.79274,12.96294,4.368714,12.76085,8.775339, ,0.3031969,0.2298231,0.3937073,0.7389278,0.4338722,0.05850697,0.4026337,1.08475,0.1293526,0.02282715,1.692539,0.5478745,0.5768089,0.5797868,0.3644485,0.3129549, ,-6.565033,-2.366272,7.160818,0.909915,8.700267,-2.471497,-12.1929,7.162901,3.207627,-2.990845,-9.37973,54.54482,-0.1948547,-2.221375,11.70273,-7.387665, ,1.918711,1.720366,-10.06656,-3.892761,1.164311,5.281315,20.38783,13.99744,9.136862,-157.5811,-4.566315,4.27902,-12.66693,-1.954224,5.109981,-2.916626, ,-0.7589111,-7.78302,-80.55704,-1.761749,13.53697,9.363181,69.21635,-0.2029114,-20.4816,-2.822327,3.144741,-1.783447,-2.731628,3.253063,0.1513302,3.929053,,,,,0.2298231,0.3937073,0.7389278,0.4338722,0.05850697,0.4026337,1.08475,0.1293526,,,0.154234773,0.225958938,0.412951459,0.231847763,0.051123292,0.228448672,1.353840098,1.637197037
6.868892,8.269772,80.73781,4.35759,16.0477,11.1231,74.72728,15.72629,22.86371,157.6718,10.78178,54.79058,12.96252,4.36728,12.75919,8.773375, ,0.000227928,0.01079178,0.02439117,0.001616955,0.000490189,7.15E-05,0.001235962,0.001896858,0.000654221,0.002471924,0.002180099,0.002151489,0.000423431,0.001433849,0.001659393,0.001964569, ,-6.565552,-2.385284,7.180218,0.9083192,8.700397,-2.471466,-12.19342,7.163431,3.207304,-2.991516,-9.376495,54.54226,-0.1932678,-2.220428,11.70231,-7.386047, ,1.91649,1.731174,-10.08075,-3.894714,1.164746,5.281439,20.38933,13.99497,9.139227,-157.5835,-4.568268,4.286396,-12.6669,-1.948792,5.106793,-2.916046, ,-0.7581482,-7.763763,-80.58145,-1.762329,13.53629,9.363148,69.21696,-0.2036438,-20.48126,-2.822815,3.143734,-1.779816,-2.730072,3.254811,0.1499988,3.927856,,,,,0.01079178,0.02439117,0.001616955,0.000490189,7.15E-05,0.001235962,0.001896858,0.000654221,,,0.158933093,0.209281929,0.319979997,0.231940168,0.072229259,0.239412105,0.611004184,0.08891974
