Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,,,,,,,,,,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightForeArm_Q
2.050532,8.902094,76.37997,17.72972,20.14046,9.247024,78.0484,17.87547,21.02487,153.9891,12.51028,14.92854,10.1276,25.12799,80.01841,21.93376, ,2.050532,,,,,,,,,153.9891,12.51028,14.92854,10.1276,25.12799,80.01841,21.93376, ,1.332262,-2.07312,-9.542633,2.638583,4.641743,-3.682007,7.771469,14.41989,4.002837,-1.546234,-6.475403,14.65576,-7.275482,-24.96756,79.42032,2.745961, ,1.194521,-1.210449,-18.37662,-16.68719,-1.273315,1.934946,5.390455,10.54286,4.70289,-153.9818,-9.142548,2.871313,-5.781128,-1.467896,19.08296,4.96884, ,-0.9883728,-8.551086,-72.40701,5.028643,19.51113,8.198578,77.93156,3.020276,-19.9436,-0.3499451,-5.089478,0.2870586,4.421115,-2.148804,14.46703,21.31465,,,8.902094,76.37997,17.72972,20.14046,9.247024,78.0484,17.87547,21.02487,2.638583,-16.68719,5.028643,17.72972
2.162379,8.840538,76.37301,18.61793,20.03267,9.142551,78.61242,17.74238,21.25098,153.4552,12.24231,14.21012,10.16345,26.19205,78.70602,21.14746, ,0.1118469,0.06155586,0.006965637,0.8882179,0.1077843,0.1044722,0.5640182,0.1330872,0.2261086,0.533844,0.2679644,0.7184143,0.03584194,1.06406,1.312386,0.7863045, ,1.560356,-2.079254,-10.07599,2.864207,4.356447,-3.669922,8.635706,14.4795,4.163962,-1.700958,-5.295441,14.00024,-7.535004,-26.06177,78.32414,2.775308, ,1.155741,-1.267609,-18.71783,-17.49808,-1.462006,1.806308,4.719706,10.23733,4.556026,-153.4446,-9.471436,2.453613,-5.451569,-1.402313,14.37465,3.828009, ,-0.9363708,-8.476288,-72.1492,5.282745,19.44827,8.120627,78.45067,2.91604,-20.17993,-0.4981079,-5.26001,0.4468719,4.483495,-1.926727,10.26239,20.71104,,,,,,,,,,,2.864207,-17.49808,5.282745,18.61793
2.280419,8.811867,76.30441,19.52007,19.92056,9.039474,79.20223,17.57123,21.36149,152.9229,11.96077,13.52479,10.32199,27.14096,77.09844,20.46417, ,0.1180403,0.02867126,0.06860352,0.9021378,0.112112,0.1030769,0.5898132,0.1711578,0.1105118,0.5323486,0.2815418,0.6853333,0.1585407,0.9489136,1.607582,0.6832886, ,1.768508,-2.066132,-10.6012,3.113172,4.128536,-3.646637,9.469753,14.52478,4.480006,-1.871521,-4.0737,13.35588,-7.798584,-27.03339,76.90472,2.831091, ,1.121197,-1.342651,-19.01199,-18.32477,-1.636444,1.695543,4.145386,9.881951,4.439584,-152.9087,-9.661682,2.114941,-5.326141,-1.23877,9.429833,2.851798, ,-0.8862,-8.436798,-71.83572,5.513948,19.36525,8.043612,78.97935,2.761544,-20.2467,-0.6171265,-5.432098,0.6338573,4.555314,-1.822021,5.910518,20.14054,,,,,,,,,,,3.113172,-18.32477,5.513948,19.52007
2.502027,8.687768,76.29185,21.4096,19.79658,8.82617,80.41895,17.12206,21.39875,151.8478,11.33429,12.19874,10.72185,28.59649,73.0348,19.06419, ,0.2216082,0.1240988,0.01255798,1.889532,0.1239815,0.2133045,1.216713,0.4491711,0.03726196,1.075073,0.626483,1.326046,0.3998652,1.455532,4.063644,1.399982, ,2.116868,-2.165192,-11.54047,3.717265,3.840508,-3.603851,11.0195,14.54111,5.399592,-2.289093,-1.518372,12.12443,-8.350433,-28.51154,73.00994,2.770204, ,1.041167,-1.421295,-19.47382,-20.05106,-1.895935,1.491317,3.116114,9.049287,4.263658,-151.8259,-9.654724,1.188591,-5.152313,-0.8296204,0.5655767,1.297508, ,-0.8146973,-8.266663,-71.39359,5.940975,19.2688,7.872565,80.0381,2.426899,-20.07498,-0.7744751,-5.620636,0.7736806,4.725778,-1.865875,-1.600464,18.85082,,,,,,,,,,,3.717265,-20.05106,5.940975,21.4096
2.589653,8.658139,76.24295,23.299,19.8116,8.625231,81.53876,16.7344,21.33749,150.7906,11.07019,11.08978,11.10405,29.35008,67.92769,17.46348, ,0.08762646,0.02962875,0.04889679,1.889393,0.01501465,0.2009392,1.11982,0.3876572,0.06126595,1.057236,0.2641039,1.108961,0.3822012,0.7535896,5.107109,1.600702, ,2.258403,-2.237152,-12.5531,4.486962,3.623481,-3.593597,12.26847,14.67792,6.382853,-2.874451,1.051319,11.06143,-8.886536,-29.27087,67.77565,2.566955, ,0.9621582,-1.493439,-19.82376,-21.74338,-2.096161,1.314185,1.995986,8.040267,4.118544,-150.759,-9.458038,0.1718199,-4.999634,-0.5369873,-5.552094,0.07337902, ,-0.8059387,-8.201355,-70.90668,6.318283,19.30247,7.690486,80.96478,2.214424,-19.72623,-0.8516235,-5.750336,0.7926763,4.814454,-1.976074,-6.284241,17.27675,,,,,,,,,,,4.486962,-21.74338,6.318283,23.299
2.571758,8.663748,76.2104,24.19363,19.84504,8.537866,82.04355,16.65852,21.27308,150.2709,11.22482,11.39252,12.30263,29.46346,64.96456,16.25776, ,0.01789522,0.005608559,0.032547,0.8946362,0.03344154,0.08736515,0.5047836,0.07588196,0.06440353,0.5196991,0.1546383,0.3027334,1.198582,0.1133709,2.963127,1.205719, ,2.255908,-2.291779,-13.08206,4.911591,3.498586,-3.612762,12.79822,14.86609,6.770585,-3.245331,2.382548,11.3528,-9.910675,-29.38208,64.69215,-4.962067, ,0.9140911,-1.5271,-20.00299,-22.53113,-2.189575,1.203797,1.372267,7.506911,4.039152,-150.2337,-9.373383,0.4582938,-5.744598,-0.5794067,-7.288574,-2.513519, ,-0.8131714,-8.184723,-70.63776,6.475252,19.34859,7.605209,81.35872,2.178059,-19.5368,-0.8512878,-5.904053,0.8822826,5.029626,-1.989044,-7.418121,15.39206,,,,,,,,,,,4.911591,-22.53113,6.475252,24.19363
2.519485,8.693988,76.1368,25.04024,19.89867,8.479493,82.50842,16.67812,21.18974,149.7631,11.57101,10.99615,12.60769,29.39195,61.70516,15.43758, ,0.0522728,0.03024006,0.0736084,0.8466034,0.05363655,0.0583725,0.4648743,0.01960182,0.08334732,0.5077515,0.3461819,0.3963642,0.3050594,0.07150459,3.259403,0.8201799, ,2.216014,-2.365723,-13.59973,5.347168,3.346391,-3.649078,13.27096,15.14573,7.058496,-3.65683,3.771651,10.96314,-10.26108,-29.30264,61.31713,-5.1633, ,0.8578314,-1.574829,-20.19055,-23.27264,-2.292114,1.070764,0.7299808,6.953718,3.940228,-149.7204,-9.340637,0.1223439,-5.776276,-0.812561,-8.218903,-2.4953, ,-0.8216553,-8.184814,-70.32022,6.595859,19.41817,7.546294,81.70573,2.17339,-19.36237,-0.8200073,-6.020142,0.8562724,5.072148,-1.965607,-7.894867,14.45207,,,,,,,,,,,5.347168,-23.27264,6.595859,25.04024
2.419645,8.878652,75.80565,26.55285,19.93426,8.354122,83.37765,16.92817,20.85249,148.8328,12.93126,10.09373,13.21161,28.78368,54.35324,13.66749, ,0.09984088,0.1846638,0.3311462,1.512609,0.03558731,0.125371,0.8692245,0.2500496,0.3372459,0.9302673,1.36025,0.902422,0.6039162,0.6082726,7.351921,1.770097, ,2.13108,-2.460754,-14.60471,6.193198,2.93213,-3.741089,14.11469,15.84795,7.450663,-4.56781,6.698123,10.07338,-10.93442,-28.65552,53.82051,-5.114594, ,0.6973825,-1.71936,-20.70667,-24.58533,-2.534485,0.7629508,-0.5252991,5.863837,3.682791,-148.7793,-9.572601,0.1545455,-5.896332,-1.697998,-8.324493,-1.732086, ,-0.896637,-8.319946,-69.42804,6.755858,19.49289,7.407128,82.32422,2.201996,-18.90359,-0.6915283,-6.151184,0.6371044,5.117142,-1.762817,-7.527344,12.63788,,,,,,,,,,,6.193198,-24.58533,6.755858,26.55285
2.411868,9.127886,75.44148,27.78868,19.80699,8.400038,84.09674,17.05084,20.34273,148.0615,15.08701,9.532993,13.91101,27.73305,45.87075,12.10375, ,0.007776499,0.2492342,0.3641663,1.23584,0.1272717,0.0459156,0.7190933,0.1226692,0.509758,0.7713776,2.155755,0.5607376,0.699399,1.050627,8.482491,1.563735, ,2.114598,-2.596649,-15.43079,6.956692,2.484097,-3.951965,14.9178,16.31238,7.957874,-5.509003,9.533534,9.45771,-11.56329,-27.51004,45.45093,-4.150696, ,0.5124691,-1.830475,-21.4801,-25.62161,-2.796967,0.4576993,-1.685974,4.802887,3.397029,-147.9998,-10.12241,0.9705603,-6.169769,-2.406494,-6.459442,-0.259491, ,-1.031372,-8.517029,-68.43463,6.896068,19.39348,7.383874,82.77221,2.176574,-18.19406,-0.4873962,-6.795105,0.7853523,5.353679,-2.07901,-5.175842,11.37876,,,,,,,,,,,6.956692,-25.62161,6.896068,27.78868
2.538983,9.424452,75.0313,28.71396,19.71472,8.607956,84.68323,16.9349,19.89939,147.4347,16.9095,9.579976,15.06728,26.49652,36.80634,10.46938, ,0.1271145,0.296566,0.4101791,0.9252777,0.09226799,0.2079182,0.5864868,0.1159401,0.4433479,0.6268005,1.822492,0.04698277,1.156271,1.236536,9.064411,1.634375, ,2.247842,-2.766968,-15.97076,7.565305,2.100422,-4.250153,15.72834,16.43441,8.8448,-6.378571,12.12706,9.451095,-12.67346,-26.15372,36.62592,-2.573212, ,0.4000242,-1.860626,-22.39911,-26.35785,-3.043488,0.2072752,-2.862946,3.817467,3.182667,-147.37,-10.11301,1.329355,-6.738312,-2.590149,-3.814606,1.035259, ,-1.102905,-8.771362,-67.40811,7.064185,19.31249,7.476823,83.04755,2.14782,-17.31509,-0.227417,-7.271332,0.948386,5.424589,-2.865967,-2.135895,10.07304,,,,,,,,,,,7.565305,-26.35785,7.064185,28.71396
2.653844,9.557702,74.80367,29.04732,19.69652,8.701823,84.96457,16.85138,19.71907,147.1404,17.64424,9.695432,15.65559,25.71171,32.16771,9.788177, ,0.1148612,0.1332502,0.2276382,0.3333607,0.01820183,0.0938673,0.2813416,0.08351517,0.180315,0.2942505,0.7347336,0.1154556,0.5883093,0.7848015,4.63863,0.681201, ,2.386314,-2.774902,-16.17841,7.779881,1.922891,-4.351593,16.10336,16.44529,9.311534,-6.719757,13.30853,9.595437,-13.26379,-25.35611,32.04654,-1.704865, ,0.3915164,-1.852386,-22.87534,-26.61618,-3.153748,0.1362623,-3.414154,3.3411,3.169724,-147.076,-10.00372,1.221733,-7.034851,-2.462341,-2.906616,1.623871, ,-1.085449,-8.913025,-66.87628,7.145829,19.2976,7.531059,83.17245,2.121881,-16.85611,-0.1067505,-7.185944,0.7742581,5.367263,-3.010834,-1.323395,9.477386,,,,,,,,,,,7.779881,-26.61618,7.145829,29.04732
