Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,,,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,,,,,,,,,,,,,,,,,,,,,,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v,,,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v,,,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v,,,,,,,,,,,,,,,,,,,,,,,,,,
2.567189,8.69543,76.22529,22.36581,19.80298,8.726098,80.99259,16.89519,21.37774,151.3138,11.10907,11.57507,10.92327,29.07092,70.62096,18.28164, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2.215297,-2.164246,-12.05917,4.08666,3.726813,-3.593353,11.67882,14.57465,5.913924,-2.555145,-0.2311096,11.52781,-8.625916,-28.99011,70.56253,2.654681, ,1.002022,-1.484955,-19.64413,-20.91296,-2.00473,1.399105,2.580608,8.554734,4.192227,-151.2874,-9.552612,0.7703849,-5.10672,-0.6549988,-2.908539,0.6640491, ,-0.8049927,-8.262604,-71.10599,6.135569,19.2849,7.785666,80.52,2.296607,-19.90952,-0.8248291,-5.653473,0.791594,4.753372,-1.927032,-4.351746,18.09281,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.570845,8.670165,76.2022,24.19295,19.84777,8.538141,82.04466,16.66073,21.27353,150.2694,11.22308,11.39458,12.3055,29.46324,64.96274,16.26037, ,0.003656387,0.02526474,0.02308655,1.827133,0.04479408,0.1879568,1.052071,0.234457,0.1042099,1.044464,0.1140137,0.1804886,1.382232,0.3923149,5.658218,2.021269, ,2.255272,-2.287567,-13.08673,4.911953,3.496839,-3.615662,12.7994,14.86878,6.76905,-3.244476,2.380034,11.35489,-9.91568,-29.38177,64.69091,-4.962097, ,0.9143821,-1.53244,-20.00058,-22.52972,-2.193542,1.201605,1.370449,7.506399,4.038381,-150.2322,-9.372314,0.4559728,-5.741852,-0.5822754,-7.279388,-2.518005, ,-0.8114624,-8.19165,-70.62839,6.477101,19.35117,7.604528,81.35954,2.178811,-19.53802,-0.8521729,-5.903107,0.8823968,5.030056,-1.9888,-7.410583,15.39431,,,,,,0.02526474,0.02308655,1.827133,0.04479408,0.1879568,1.052071,0.234457,0.1042099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1140137,0.1804886,1.382232,0.3923149,5.658218,2.021269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.519485,8.716756,76.10601,25.04102,19.90192,8.471914,82.51857,16.67755,21.19033,149.7616,11.5666,10.99729,12.61391,29.39279,61.70516,15.43936, ,0.05135965,0.04659081,0.09619141,0.8480759,0.05414391,0.06622696,0.4739075,0.01682091,0.08319473,0.5077362,0.3435221,0.3972883,0.3084116,0.07045174,3.25758,0.8210096, ,2.216014,-2.34256,-13.61334,5.345623,3.344494,-3.653229,13.27549,15.14444,7.058203,-3.655975,3.769058,10.96437,-10.26999,-29.30347,61.31713,-5.164276, ,0.8578314,-1.589264,-20.18814,-23.27301,-2.296295,1.066624,0.7359149,6.955111,3.93807,-149.7189,-9.337738,0.1207234,-5.775085,-0.8145142,-8.218903,-2.495605, ,-0.8216553,-8.212769,-70.28378,6.598585,19.42125,7.53652,81.7161,2.17393,-19.36368,-0.8208923,-6.017395,0.8552443,5.071047,-1.964722,-7.894867,14.45357,,,,,,0.04659081,0.09619141,0.8480759,0.05414391,0.06622696,0.4739075,0.01682091,0.08319473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3435221,0.3972883,0.3084116,0.07045174,3.25758,0.8210096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.462293,8.778553,75.97794,25.8271,19.94704,8.403581,82.97263,16.78445,21.05106,149.2799,12.14166,10.48427,12.91365,29.15343,58.16657,14.55355, ,0.05719233,0.06179714,0.1280746,0.7860718,0.04512787,0.06833363,0.4540558,0.1068993,0.1392727,0.48172,0.575057,0.5130281,0.2997398,0.2393551,3.538589,0.8858109, ,2.167362,-2.409668,-14.11804,5.776504,3.15303,-3.692505,13.71095,15.49107,7.266839,-4.102081,5.230702,10.45375,-10.54727,-29.0498,57.68297,-5.243469, ,0.7880827,-1.647156,-20.41733,-23.95911,-2.414276,0.9172908,0.1012643,6.407012,3.815573,-149.2316,-9.399323,0.1018558,-5.960419,-1.215576,-8.555603,-2.232147, ,-0.8482666,-8.245483,-69.89111,6.683167,19.48536,7.464854,82.04726,2.181385,-19.16135,-0.7670288,-6.091827,0.8041775,5.075172,-1.872803,-7.932526,13.49971,,,,,,0.06179714,0.1280746,0.7860718,0.04512787,0.06833363,0.4540558,0.1068993,0.1392727,,,0.118792964,0.194558874,1.080821022,0.06039577,0.088825548,0.620664867,0.123767449,0.231449973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575057,0.5130281,0.2997398,0.2393551,3.538589,0.8858109,,,0.9185501,0.474299511,0.557964356,0.453863742,5.276797111,1.253897433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.399178,9.001954,75.6187,27.20577,19.88202,8.341454,83.75621,17.03286,20.60668,148.4235,13.96123,9.659398,13.43155,28.28117,50.22393,12.87728, ,0.06311536,0.2234011,0.3592377,1.378675,0.06501961,0.06212711,0.7835846,0.2484074,0.4443836,0.8563995,1.819571,0.8248672,0.5178938,0.872261,7.942638,1.676271, ,2.107068,-2.514984,-15.05261,6.590117,2.704008,-3.825287,14.51677,16.13626,7.664386,-5.038818,8.161528,9.633422,-11.13828,-28.11591,49.70618,-4.750336, ,0.6015174,-1.79007,-21.06253,-25.13998,-2.666748,0.6007703,-1.115295,5.331743,3.540928,-148.3654,-9.862152,0.4839537,-5.931091,-2.143005,-7.613312,-1.038727, ,-0.9660339,-8.417969,-68.92966,6.81824,19.45672,7.369599,82.57032,2.199865,-18.5795,-0.5968933,-6.347717,0.5603979,5.237229,-1.745819,-6.653107,11.97073,,,,,,0.2234011,0.3592377,1.378675,0.06501961,0.06212711,0.7835846,0.2484074,0.4443836,,,0.191252399,0.298493268,1.0542942,0.07249959,0.099894428,0.622108478,0.131543494,0.343142614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.819571,0.8248672,0.5178938,0.872261,7.942638,1.676271,,,1.415215122,0.472037078,0.6421164,0.758069104,6.781604444,1.3690446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.457839,9.320451,75.18584,28.29431,19.75697,8.491218,84.41297,17.00456,20.10081,147.7333,16.06281,9.554586,14.51916,27.1922,41.40718,11.26547, ,0.05866122,0.3184967,0.4328613,1.088539,0.1250572,0.1497641,0.6567612,0.02829552,0.5058651,0.6901703,2.10158,0.1048117,1.087617,1.088968,8.816753,1.611814, ,2.159855,-2.648865,-15.75919,7.288465,2.279328,-4.110565,15.33,16.39643,8.365301,-5.963715,10.8501,9.428773,-12.13675,-26.8927,41.12563,-3.372803, ,0.4367813,-1.890869,-21.92593,-26.02637,-2.92746,0.3096217,-2.257751,4.297933,3.270001,-147.6697,-10.1524,1.258544,-6.476715,-2.558441,-5.050537,0.471813, ,-1.080597,-8.691406,-67.85379,6.983912,19.35075,7.414019,82.93906,2.157333,-17.76392,-0.355072,-7.185333,1.00993,5.411117,-2.602783,-3.436829,10.72611,,,,,,0.3184967,0.4328613,1.088539,0.1250572,0.1497641,0.6567612,0.02829552,0.5058651,,,0.229534471,0.345742944,0.950397767,0.078364472,0.127885092,0.595342867,0.120773532,0.385484067,,,0.182681699,0.270950603,0.834828916,0.06558746,0.115768175,0.543352084,0.122912752,0.300787358,0,,,,,,,,,,,,,,,,,,,,,2.10158,0.1048117,1.087617,1.088968,8.816753,1.611814,,,1.5922544,0.331050544,0.834723811,0.996342522,7.656664889,1.418759967,,,1.253398668,0.363841652,0.777493244,0.855412363,6.59248904,1.267777456,,,,,,,,,,,,,,,,,,,,,,,,,,
2.653844,9.564341,74.79517,29.04963,19.69404,8.701464,84.96565,16.85311,19.71915,147.1404,17.64424,9.695351,15.66141,25.71346,32.16891,9.789139, ,0.1960049,0.2438898,0.3906631,0.7553253,0.06292343,0.2102461,0.552681,0.1514587,0.3816624,0.592926,1.581427,0.1407642,1.142241,1.478741,9.238262,1.476329, ,2.386298,-2.770172,-16.18018,7.777153,1.925809,-4.353851,16.10465,16.44682,9.310143,-6.719757,13.30853,9.595095,-13.27301,-25.35767,32.04805,-1.704865, ,0.3929782,-1.856384,-22.87491,-26.61899,-3.151428,0.1354104,-3.416016,3.341854,3.169071,-147.076,-10.00372,1.223198,-7.032288,-2.464172,-2.902924,1.622488, ,-1.084686,-8.920837,-66.86652,7.147754,19.29513,7.529341,83.173,2.123066,-16.85715,-0.1067505,-7.185944,0.7756655,5.364549,-3.010773,-1.322998,9.478582,,,,,,0.2438898,0.3906631,0.7553253,0.06292343,0.2102461,0.552681,0.1514587,0.3816624,,,0.216684133,0.325565733,0.715282133,0.064859598,0.139395197,0.4999144,0.118634533,0.341609544,,,0.18658154,0.267236916,0.658962012,0.064405668,0.119820758,0.467019364,0.122296825,0.287145392,0,,,,,,,,,,,,,,,,,,,,,1.581427,0.1407642,1.142241,1.478741,9.238262,1.476329,,,1.408694411,0.244450667,0.893133656,1.084298278,7.411839667,1.289660978,,,1.29121368,0.39707522,0.81436208,0.958880106,6.61170892,1.185150384,,,,,,,,,,,,,,,,,,,,,,,,,,
2.78144,9.678282,74.60995,29.28353,19.72314,8.790057,85.22687,16.75766,19.55875,146.8364,18.29273,9.91608,16.29106,24.95464,27.60958,9.046752, ,0.1275961,0.1139412,0.1852264,0.2338905,0.0290947,0.08859348,0.2612152,0.09544373,0.1603966,0.3040314,0.6484966,0.2207289,0.6296539,0.7588196,4.559336,0.7423868, ,2.548447,-2.825043,-16.2915,7.962342,1.738866,-4.407135,16.42712,16.43856,9.694219,-6.965851,14.35859,9.855509,-13.91876,-24.59753,27.51978,-0.5531921, ,0.3871083,-1.83786,-23.30817,-26.7869,-3.275177,0.08674805,-3.866302,2.842045,3.247299,-146.7739,-9.833832,0.9448442,-7.367249,-2.237152,-2.295319,2.275236, ,-1.036804,-9.028748,-66.43158,7.207413,19.32517,7.603446,83.29857,2.071718,-16.4238,0.01158886,-7.076874,0.6426095,5.210835,-3.146515,-0.8718872,8.728141,,,,,,0.1139412,0.1852264,0.2338905,0.0290947,0.08859348,0.2612152,0.09544373,0.1603966,,,0.178648211,0.247149967,0.401079567,0.051674099,0.12230397,0.372778167,0.11936589,0.251882989,,,0.172868085,0.238689859,0.528510904,0.063677902,0.123711941,0.395437024,0.122788765,0.252714466,0,,,,,,,,,,,,,,,,,,,,,0.6484966,0.2207289,0.6296539,0.7588196,4.559336,0.7423868,,,1.106808867,0.286849756,0.870281256,1.036847489,6.278777,1.0298575,,,1.24982152,0.485979116,0.831838,0.967230408,6.18338292,1.127576232,,,,,,,,,,,,,,,,,,,,,,,,,,
2.895336,9.808493,74.44726,29.43155,19.74478,8.875033,85.44852,16.64021,19.40616,146.517,18.90698,10.21789,16.9501,24.20002,23.31262,8.253463, ,0.1138959,0.1302109,0.1626892,0.1480293,0.02164268,0.0849762,0.2216492,0.1174488,0.1525917,0.3194122,0.6142445,0.301815,0.6590443,0.7546253,4.296955,0.7932892, ,2.69537,-2.882477,-16.37778,8.118405,1.589018,-4.42627,16.66739,16.40158,9.971163,-7.164246,15.34999,10.18855,-14.54257,-23.86655,23.20315,0.8036278, ,0.3753837,-1.83548,-23.6709,-26.87161,-3.412445,0.03602801,-4.156738,2.302782,3.40527,-146.4578,-9.625824,0.6165136,-7.823822,-1.53894,-2.300385,2.713971, ,-0.9796753,-9.149292,-66.05811,7.267773,19.33888,7.692976,83.42496,1.989848,-16.02612,0.1330728,-6.929596,0.5287189,5.004871,-3.41687,-0.7826843,7.772779,,,,,,0.1302109,0.1626892,0.1480293,0.02164268,0.0849762,0.2216492,0.1174488,0.1525917,,,0.149635746,0.176257643,0.230507511,0.05117459,0.109890627,0.286945778,0.130186064,0.17920452,,,0.15288033,0.202564681,0.435496172,0.063875352,0.125522512,0.324060069,0.120363758,0.213907546,0,,,,,,,,,,,,,,,,,,,,,0.6142445,0.301815,0.6590443,0.7546253,4.296955,0.7932892,,,1.033219078,0.511685889,0.857637733,1.001953611,5.532368778,0.9077744,,,1.186062916,0.605557868,0.814312206,0.925030704,5.526894176,1.049834272,,,,,,,,,,,,,,,,,,,,,,,,,,
3.045542,10.0078,74.31815,29.44435,19.66119,8.96978,85.81445,16.41836,19.19478,145.8551,20.42984,11.14739,18.20349,22.70055,16.36883,7.362956, ,0.1502063,0.1993122,0.1291046,0.0127964,0.08359337,0.09474659,0.3659363,0.2218513,0.2113838,0.6618195,1.522867,0.929491,1.253382,1.499468,6.943798,0.8905067, ,2.874909,-2.939575,-16.63275,8.359727,1.496237,-4.410553,16.88421,16.30476,10.23757,-7.785919,17.45567,11.1409,-15.52054,-22.1731,15.79933,3.137409, ,0.3407857,-1.818604,-24.10144,-26.78491,-3.733307,-0.07409668,-4.340057,1.100291,3.809541,-145.804,-9.327606,0.06561482,-9.00882,2.153242,-4.30484,1.884408, ,-0.9370117,-9.346832,-65.61655,7.309715,19.20072,7.814957,83.72221,1.757197,-15.47101,0.4484588,-6.789703,0.3827446,4.608295,-4.839447,-1.110992,6.441988,,,,,,0.1993122,0.1291046,0.0127964,0.08359337,0.09474659,0.3659363,0.2218513,0.2113838,,,0.129540764,0.132575131,0.238979111,0.070027887,0.120623072,0.2439482,0.128734571,0.144311896,,,0.126257517,0.161967455,0.386580032,0.064407123,0.123544554,0.253322456,0.1243167,0.176933741,0,,,,,,,,,,,,,,,,,,,,,1.522867,0.929491,1.253382,1.499468,6.943798,0.8905067,,,1.175379511,0.846964211,0.865767044,0.941165122,4.991794111,0.961574367,,,1.111714976,0.75457796,0.760243668,0.846055108,4.67340362,0.950384624,,,,,,,,,,,,,,,,,,,,,,,,,,
