Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
3.598577,8.131261,79.85079,8.825638,17.1628,10.39651,78.78357,13.16325,22.16901,144.2647,6.406159,57.51263,18.99845,9.722067,16.61177,9.076064, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,3.590614,-2.456818,-3.332916,2.977988,7.211136,-3.810547,3.182761,10.76699,8.268258,-4.62262,1.139639,56.876,5.397266,-6.800354,14.80489,-3.653778, ,-0.04211426,-0.2126465,-13.897,-8.132874,0.8474116,2.015972,13.79819,7.616662,4.687181,-144.1153,4.845683,-9.381927,-17.15259,-4.618286,7.475103,-8.307098, ,0.2377065,-7.744324,-78.3678,1.504376,15.61527,9.396094,78.09135,0.59243,-19.71616,-2.702545,4.082232,-0.9266663,-7.04303,5.479623,-0.4956055,0.5992774
4.121791,7.765242,80.25343,8.775517,17.26603,10.37878,78.27306,13.46503,22.22595,144.6183,5.331005,57.58337,18.15099,8.786581,15.91395,8.816401, ,0.5232143,0.3660188,0.4026337,0.05012035,0.1032314,0.01773071,0.5105057,0.3017788,0.05694771,0.3535767,1.075154,0.07074738,0.8474598,0.9354858,0.6978245,0.2596636, ,4.092767,-2.343445,-2.623688,3.293373,7.33798,-3.589447,1.953047,10.83302,8.39052,-4.423798,-0.6079102,57.05199,4.263303,-5.960602,14.26792,-4.250854, ,-0.1694336,-0.02630615,-12.94586,-7.973053,0.9599288,2.26909,14.32988,8.040774,4.775433,-144.494,4.222801,-8.688934,-16.68857,-4.174347,6.936998,-7.723053, ,0.4533997,-7.403229,-79.04376,1.404571,15.67222,9.401719,77.38307,0.4932935,-19.69702,-2.318817,3.175012,-1.073608,-6.417389,5.151621,-0.73526,0.6389679
5.104419,7.151102,80.85941,8.924859,17.33529,10.4318,77.13139,14.45448,22.27328,145.377,5.297413,57.16401,15.42476,6.965693,14.38957,8.32632, ,0.9826279,0.6141405,0.6059799,0.1493416,0.06925583,0.05302811,1.14167,0.9894533,0.04732895,0.758728,0.03359222,0.4193687,2.726227,1.820888,1.524381,0.4900808, ,5.027449,-2.137085,-1.084808,4.045947,7.640463,-3.174072,-0.5404663,11.26377,8.331881,-4.006531,-4.362823,56.86499,2.024431,-4.302887,13.15545,-5.365936, ,-0.3911438,0.3300456,-11.09085,-7.821228,0.9071794,2.771026,15.04791,9.103185,5.102687,-145.2919,2.560509,-6.731659,-14.65051,-3.379303,5.636644,-6.369171, ,0.7746311,-6.822906,-80.11353,1.212825,15.60671,9.468812,75.80157,0.3841052,-19.673,-1.69751,1.479588,-1.370056,-4.663086,4.442374,-1.022064,0.5945001
5.515656,6.903239,81.0719,9.090729,17.34847,10.49293,76.52161,15.05482,22.27144,145.7618,6.521855,56.64304,14.1442,6.068312,13.6969,8.400784, ,0.4112368,0.2478628,0.2124939,0.1658697,0.01318359,0.06112862,0.609787,0.6003389,0.001838684,0.3847504,1.224442,0.5209618,1.28056,0.8973813,0.6926641,0.07446384, ,5.419799,-2.038483,-0.249115,4.396298,7.807838,-2.982086,-1.798218,11.52786,8.179741,-3.827026,-6.27301,56.46857,1.042078,-3.462219,12.5603,-5.864838, ,-0.4846497,0.4900293,-10.21786,-7.840698,0.7952806,3.006411,15.35654,9.729313,5.310555,-145.6898,1.553163,-5.140015,-13.60141,-3.013153,5.294868,-6.02124, ,0.879969,-6.586334,-80.51337,1.099427,15.53831,9.52489,74.93686,0.3659317,-19.67172,-1.477234,0.7995209,-1.115967,-3.874176,4.063156,-0.9237976,0.5308667
5.861423,6.70282,81.22029,9.290981,17.37399,10.57826,75.88622,15.68675,22.25733,146.9582,8.636305,55.92983,13.26547,4.845864,13.08759,8.600673, ,0.3457665,0.2004185,0.1483917,0.2002525,0.02552223,0.08533001,0.6353836,0.6319294,0.01411438,1.196411,2.11445,0.7132149,0.8787327,1.222448,0.6093092,0.1998892, ,5.751309,-1.9216,0.6002852,4.704474,7.972997,-2.80304,-3.053619,11.77732,7.983379,-3.346558,-8.522705,55.86501,0.2882474,-2.978271,11.96456,-6.330444, ,-0.568512,0.6275465,-9.383911,-7.913879,0.6583506,3.22501,15.69179,10.41166,5.523837,-146.9145,1.401342,-2.954132,-12.87335,-1.799164,5.191596,-5.83313, ,0.9503079,-6.401611,-80.81732,0.9805755,15.48106,9.600686,74.01299,0.3659175,-19.67175,-0.9582214,-0.08532715,-0.2988892,-3.228088,3.420648,-0.7135925,0.4252436
6.140403,6.532653,81.36094,9.502036,17.40219,10.6867,75.22028,16.33333,22.24314,147.3849,10.46885,55.02204,12.78578,4.008753,12.5816,8.988279, ,0.2789807,0.1701674,0.1406479,0.2110548,0.02819824,0.1084394,0.6659393,0.6465778,0.01419449,0.4267273,1.832549,0.9077873,0.4796925,0.837111,0.505991,0.3876066, ,6.021116,-1.817596,1.481704,4.973547,8.114264,-2.627563,-4.299103,11.99216,7.76569,-3.186859,-10.44925,55.01194,-0.227478,-2.185303,11.43167,-6.809052, ,-0.644104,0.7666635,-8.626251,-8.015656,0.5147027,3.42767,16.07705,11.14279,5.732104,-147.3488,0.4135941,-0.4020996,-12.48956,-1.3685,5.194051,-5.881317, ,0.9854121,-6.240356,-81.08218,0.8627892,15.43558,9.699244,73.01871,0.3792822,-19.67923,-0.8031921,-0.5295105,0.8338981,-2.707428,3.096031,-0.4795227,0.3428038
6.360647,6.457417,81.42864,9.691956,17.416,10.73792,74.60233,16.97493,22.23779,147.8173,12.45002,53.98768,12.57194,3.301573,12.15766,9.314312, ,0.2202439,0.07523537,0.06770325,0.1899195,0.0138092,0.05121994,0.6179581,0.6415958,0.005348206,0.4324036,1.981163,1.034363,0.2138414,0.7071798,0.4239397,0.3260326, ,6.241161,-1.6586,2.305017,5.201575,8.242283,-2.491333,-5.512817,12.16417,7.532419,-3.022369,-12.4072,53.95166,-0.6936035,-1.445313,10.9919,-7.316803, ,-0.7116089,0.8886347,-7.915619,-8.11145,0.3809532,3.592882,16.5378,11.89795,5.936363,-147.7873,-0.5550842,2.14741,-12.33078,-0.9480896,5.170309,-5.778381, ,0.9623597,-6.190369,-81.24231,0.7564004,15.37822,9.732193,72.03003,0.3977153,-19.70087,-0.6796875,-0.8139954,1.980714,-2.28183,2.825275,-0.2681274,0.2570786
6.536608,6.315923,81.55981,9.819113,17.42141,10.82574,73.99973,17.61772,22.25255,148.2433,14.34839,52.68106,12.44157,2.808605,11.79402,9.705045, ,0.1759605,0.1414948,0.1311646,0.1271572,0.005411148,0.08782101,0.6025925,0.6427898,0.01476479,0.4259949,1.898374,1.306614,0.1303635,0.4929676,0.3636436,0.3907328, ,6.413269,-1.545776,3.138451,5.351894,8.341106,-2.35907,-6.714417,12.29718,7.280696,-2.876556,-14.22552,52.55238,-1.194305,-0.7264099,10.65086,-7.852692, ,-0.7594299,1.012006,-7.291504,-8.177155,0.2558188,3.715816,17.08387,12.67861,6.128148,-148.2174,-1.594879,4.33659,-12.21039,-0.5813293,5.059028,-5.716736, ,0.9703299,-6.053528,-81.44019,0.6678994,15.32495,9.81696,71.00301,0.4185992,-19.75296,-0.6070862,-0.813324,2.740546,-1.948944,2.653839,-0.1305237,0.174097
10.44674,6.666386,81.6767,1.681398,15.94106,11.59334,67.23779,30.41102,20.48001,154.9934,22.23109,17.62325,13.55197,17.48673,33.91776,19.97644, ,3.910137,0.3504629,0.11689,8.137715,1.480348,0.7676001,6.76194,12.79331,1.772547,6.750046,7.8827,35.05782,1.110394,14.67812,22.12374,10.2714, ,10.31978,-0.8012695,6.861286,1.295821,7.912685,-0.9657898,-15.59445,10.5354,0.05192161,-6.330322,-21.49982,14.65832,5.756101,16.00127,33.57066,1.542436, ,-0.1568909,2.662115,-2.066101,-0.6535034,2.183624,5.329256,28.15317,28.44327,8.540856,-154.9438,-5.720642,9.661692,-10.42862,5.80134,3.323727,7.412542, ,1.604336,-6.078308,-81.54071,-0.8572693,13.8291,10.20947,56.0682,-1.123322,-18.62744,-0.1937256,0.1834213,3.35489,-7.028473,-3.318604,4.755145,18.59981
10.39915,6.688551,81.61494,1.663614,15.67078,11.41816,67.26728,30.29521,20.41863,154.7575,21.79991,18.32433,11.53212,16.5757,37.50475,25.05904, ,0.04759884,0.02216578,0.06175995,0.0177834,0.2702837,0.1751871,0.02948761,0.1158142,0.06137276,0.2358398,0.4311848,0.701086,2.019852,0.9110241,3.58699,5.082596, ,10.26736,-0.7221375,6.492498,1.02141,7.564942,-1.256287,-14.36539,10.85745,0.0149198,-6.36969,-21.09814,16.12271,4.680552,14.92786,37.32989,5.501482, ,-0.2954712,2.447226,-2.456543,-1.08136,1.794809,5.139645,28.04404,28.21612,8.577443,-154.7256,-5.585388,8.764893,-8.717072,4.739128,1.633982,11.72087, ,1.599795,-6.198669,-81.51022,-0.755127,13.73587,10.06579,56.73726,-0.977478,-18.5459,0.1395488,0.4614069,2.2764,-6.302765,-4.869934,3.899364,22.07571
