Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
8.328013,11.6977,58.21095,107.0386,26.11495,12.61572,51.5467,111.3046,33.70547,17.5355,6.168395,24.19028,41.50637,53.72221,50.3256,22.64958
7.154605,11.40325,58.66335,107.1227,24.34689,11.17583,51.25623,111.603,33.42706,17.84903,6.044003,34.06366,35.61847,52.00025,43.89966,22.57674
7.038839,11.60254,59.20211,107.1436,22.70381,11.44751,51.14479,111.8373,33.20791,18.02071,5.987119,37.49948,34.63038,49.99526,37.37763,22.80612
6.98164,11.76493,59.87366,107.2138,21.20682,11.77579,51.14577,112.0514,33.15528,18.01098,6.151616,41.49193,34.47977,47.84176,30.90727,23.53051
6.932333,11.84728,60.66016,107.249,19.86057,12.19392,51.18979,112.2715,32.71893,17.85453,6.83907,45.16973,32.56262,45.48436,24.04269,24.11224
6.88347,11.86858,61.49122,103.947,20.53526,12.79914,51.30469,112.3507,32.48198,17.51537,7.255912,49.05427,31.09035,43.03136,20.68949,27.36986
6.844907,11.7333,62.37347,102.6251,19.83017,13.62926,51.53072,112.4963,31.94706,16.96775,7.767663,52.94825,30.29048,40.83542,17.79055,29.72692
6.76446,11.44703,63.3637,94.79079,24.41814,14.8948,51.93631,112.4357,31.79194,16.36283,8.692636,56.68935,30.1894,38.87743,12.65687,28.43504
6.706325,11.03508,64.33263,93.27612,24.19533,16.34972,52.58529,112.4347,31.41858,15.48592,9.297388,60.60502,30.68321,36.63184,9.662155,27.91217
6.676129,10.53743,65.15885,91.76445,24.02737,17.7063,53.50075,112.2331,31.2273,14.81857,8.953431,65.31876,31.50628,35.26285,9.250581,25.43179
6.652274,10.05374,66.08485,90.36775,23.88497,18.56808,54.43879,111.7872,31.1207,14.03656,9.049956,69.32999,32.32793,34.69222,13.65221,25.48083
6.700717,9.088488,67.03643,89.00633,23.78889,17.31284,55.26284,111.1005,30.92042,13.36345,9.073647,73.34667,32.97084,31.33689,13.98594,27.25739
6.934028,9.12093,67.79666,87.57468,23.75015,16.45057,55.68117,110.1546,30.48045,12.71047,9.091245,77.48716,33.24011,29.29487,16.20469,28.9883
7.411093,9.674557,68.59973,86.16103,23.79509,15.45202,55.49696,108.9803,29.91079,11.84086,9.297725,81.67781,33.10915,29.68616,16.8055,27.98687
8.291247,10.60845,69.74168,84.63852,23.91202,15.1887,55.07033,107.5825,29.24743,10.92463,9.726257,85.87174,32.69215,31.15805,15.1376,26.35236
9.592156,11.78777,70.83463,83.11518,24.06423,15.82097,55.27445,106.0081,28.54772,10.92463,9.45533,90.04459,32.24016,34.34391,15.1291,22.46435
10.95566,12.98724,71.30134,81.48486,24.20572,16.62949,56.50608,104.2227,27.97009,10.92463,9.480407,94.03963,31.97013,36.84776,18.41897,18.35074
12.13668,14.22563,70.66636,78.67421,24.31649,17.43606,58.1702,98.95383,29.95107,10.08293,10.51942,97.77573,31.94718,37.49924,22.0727,13.58059
13.153,15.04731,70.10139,75.63218,24.506,18.05574,59.56144,93.28488,32.59809,9.145893,11.33083,101.3223,32.00045,37.40704,26.08915,10.79609
14.21609,15.39027,70.44706,74.25278,24.31678,17.88061,61.25486,90.98901,32.51342,6.751945,14.04332,104.4048,32.02898,35.01813,29.66733,8.447096
15.27158,15.40572,70.72851,71.83071,25.0247,17.84969,62.68505,89.8789,32.38285,6.954891,14.52711,107.8333,31.30053,34.99028,33.75289,8.960867
15.24683,14.91997,72.17684,73.15718,25.91719,17.8389,64.41553,97.34426,28.18394,7.459969,14.61007,111.1019,30.1113,34.88852,36.42777,12.12058
