Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
9.87728,10.8085,77.63055,21.56864,16.08494,12.44157,80.07264,12.43363,11.71973,47.47115,31.73461,33.21032,13.61262,18.38506,18.579,8.263233, ,-5.878052,-5.059113,-0.2982788,2.216984,7.717232,-3.358826,8.47119,-10.1163,-3.86203,-2.312103,14.54503,29.17598,2.446206,-12.00616,18.56426,-2.959839, ,-5.902252,-0.6037598,-13.12552,-20.56995,1.817285,2.135125,11.90883,6.959112,6.307644,47.30856,21.71728,16.56959,-8.780762,-12.24283,0.7378592,-7.71405, ,5.62732,-9.50882,-76.65134,5.745409,14.12979,11.7278,79.83997,-2.702057,-9.313751,-4.481598,21.24362,5.547046,-10.31113,8.113475,-0.03030396,-0.06143188
9.837292,10.7198,77.70599,20.18537,15.94579,12.59301,79.69533,12.96318,11.41527,46.85214,30.51385,35.33422,14.50959,18.23821,18.72874,8.249191, ,-5.819763,-5.063721,0.700911,1.748565,7.799938,-3.42865,7.499445,-10.4548,-3.723389,-2.326935,13.95726,31.62695,2.444458,-11.39304,18.69794,-3.757904, ,-5.913025,-0.5312805,-12.81808,-19.29282,2.029177,2.180735,13.29012,7.393927,6.430762,46.6797,20.49288,16.59443,-10.38043,-12.41409,1.067818,-7.34079, ,5.602561,-9.413147,-76.88303,5.413014,13.90971,11.8569,79.34118,-2.845306,-8.884216,-4.564941,20.69674,6.003577,-10.0784,8.393785,-0.0579834,-0.1015625
9.834822,10.65688,77.68586,18.61358,15.80046,12.75409,79.20847,13.22739,11.28542,46.17398,29.27663,37.1542,14.27986,18.09965,18.81765,8.434195, ,-5.757202,-5.049988,1.509421,1.190092,7.726444,-3.445007,6.417766,-10.44131,-3.749268,-2.302307,13.26089,34.01401,2.266842,-10.84491,18.74653,-4.429596, ,-5.947205,-0.4325562,-12.6041,-17.85373,2.194509,2.198606,14.3893,7.850723,6.565937,45.99714,19.34064,15.91244,-10.92755,-12.52032,1.620702,-7.175598, ,5.626408,-9.358459,-76.97092,4.966325,13.7671,12.01832,78.69534,-2.958008,-8.603088,-4.56781,20.11249,5.854629,-9.143188,8.642747,-0.1090393,-0.0824585
9.857426,10.59855,77.57108,16.8593,15.68215,12.89207,78.63842,13.15604,11.41678,45.39732,27.96293,38.70943,13.08022,17.78273,18.7651,8.6623, ,-5.703522,-5.045441,2.127888,0.6316116,7.454019,-3.442566,5.201815,-10.03461,-4.041229,-2.237366,12.46153,36.24583,2.117324,-10.33377,18.63735,-4.952026, ,-5.985809,-0.2842102,-12.41693,-16.25433,2.329645,2.242478,15.25366,8.246464,6.723507,45.22385,18.36083,14.62457,-10.26425,-12.37405,2.165475,-7.107422, ,5.681511,-9.306763,-76.93274,4.357125,13.76275,12.15539,77.93325,-2.984253,-8.543488,-4.461243,19.30155,5.286201,-8.030731,8.763534,-0.1515503,-0.0451355
9.856948,10.53617,77.45374,15.10298,15.59575,13.00462,77.96687,12.88021,11.80532,44.56693,26.66995,40.06745,11.45675,17.26699,18.57964,8.891086, ,-5.631104,-4.998016,2.617042,0.2457465,7.013125,-3.430054,3.950538,-9.34964,-4.590759,-2.147736,11.67119,38.23529,1.992989,-9.846527,18.39096,-5.367554, ,-6.018951,-0.06036377,-12.14005,-14.63461,2.46733,2.319744,15.9763,8.62072,6.904963,44.40633,17.59868,13.01827,-8.876129,-11.98111,2.603456,-7.092194, ,5.717545,-9.275391,-76.88544,3.702808,13.87167,12.26124,77.03889,-2.908356,-8.693604,-4.224365,18.32784,4.468076,-7.128601,8.744892,-0.2389832,0.03567601
9.817755,10.43871,77.41357,13.49268,15.52936,13.06396,77.28408,12.40585,12.31633,43.71624,25.5338,41.25937,9.664346,16.57182,18.26229,9.053851, ,-5.541809,-4.906586,3.077609,0.03118347,6.502812,-3.374146,2.54389,-8.426483,-5.268066,-2.040802,10.91012,39.92603,1.810079,-9.358063,18.02497,-5.701508, ,-6.016083,0.2198767,-11.71646,-13.12692,2.615285,2.452117,16.57629,8.880534,7.103323,43.57137,17.04392,11.38416,-7.267395,-11.39883,2.882524,-7.041962, ,5.736382,-9.223358,-76.92383,3.123458,14.01601,12.31104,76.09364,-2.806,-8.91626,-3.945313,17.40542,3.510552,-6.22876,8.591182,-0.3075562,0.1489254
9.757387,10.28022,77.55821,12.16927,15.5424,13.03559,76.6254,11.89939,12.80711,42.91164,24.46909,42.3919,8.088084,15.80553,17.8485,9.113883, ,-5.44339,-4.767426,3.606555,-0.1518555,6.053548,-3.241119,0.9492869,-7.431458,-5.956299,-1.90976,10.1556,41.37398,1.508642,-8.854706,17.57835,-5.995819, ,-6.017426,0.4777201,-11.15506,-11.86127,2.798556,2.593098,17.07024,9.073953,7.318713,42.7852,16.61078,10.13823,-5.955536,-10.80222,3.024654,-6.876221, ,5.720158,-9.11795,-77.15866,2.737087,14.19583,12.28677,75.12377,-2.714661,-9.061493,-3.626221,16.47789,2.79446,-5.342316,8.317506,-0.3799438,0.3036657
9.666129,10.03947,77.87892,11.20287,15.64576,12.96705,76.03233,11.58387,13.1284,42.16557,23.39588,43.5298,7.056286,15.04956,17.36508,9.073475, ,-5.327637,-4.593781,4.298862,-0.4775085,5.713048,-3.033356,-0.7582397,-6.603149,-6.457825,-1.763611,9.323421,42.68108,1.212206,-8.334747,17.07434,-6.212494, ,-5.982391,0.687478,-10.52945,-10.91254,3.02336,2.761902,17.49356,9.290471,7.518845,42.05696,16.15828,9.41885,-5.221893,-10.22476,3.063332,-6.625763, ,5.701998,-8.93042,-77.57233,2.53837,14.40772,12.23082,74.1706,-2.698151,-9.058685,-3.310791,15.59038,2.418369,-4.645813,8.058082,-0.4967346,0.4316565
9.662642,10.04836,77.87682,11.20273,15.64465,12.95313,76.03405,11.59138,13.12631,42.16557,23.39699,43.53047,7.059393,15.04956,17.36825,9.085038, ,-5.325562,-4.588928,4.296909,-0.4773865,5.711639,-3.030853,-0.7565918,-6.609406,-6.453461,-1.763611,9.323069,42.68158,1.211564,-8.334747,17.07676,-6.221222, ,-5.984985,0.6787457,-10.52908,-10.91235,3.023582,2.751187,17.49392,9.295844,7.516271,42.05696,16.16082,9.420025,-5.224365,-10.22476,3.067438,-6.63327, ,5.694866,-8.943176,-77.57013,2.538621,14.40697,12.21947,74.17256,-2.697327,-9.060608,-3.310791,15.58974,2.419147,-4.648102,8.058082,-0.4986267,0.4485196
9.547859,9.734713,78.24796,10.48897,15.74635,12.89232,75.55849,11.49412,13.20662,41.47641,22.14779,44.7595,6.654628,14.34505,16.82194,9.024728, ,-5.169434,-4.391846,5.102552,-0.9513245,5.412204,-2.791412,-2.596619,-6.071777,-6.627136,-1.590942,8.313404,43.96701,0.9729546,-7.829285,16.49857,-6.353912, ,-5.950256,0.8288294,-9.911438,-10.18927,3.242635,2.920912,17.81804,9.512853,7.676578,41.38441,15.60717,9.310546,-5.14386,-9.704132,3.150114,-6.41745, ,5.670228,-8.68219,-78.02039,2.390825,14.58882,12.17448,73.28887,-2.766571,-8.931458,-3.009857,14.59422,2.560193,-4.153809,7.814244,-0.6096802,0.600889
