Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,Spine_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w, ,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x, ,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y, ,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z, 
10.64886,3.693476,79.9284,7.564025,17.28068,1.615396,85.15269,7.750905,16.60198,152.6878,3.995452,2.617015,2.915542,15.21612,33.95733,37.31957,4.962563, ,0.9956852,0.9994806,0.7664459,0.9978222,0.9886509,0.9999006,0.7363765,0.9977133,0.9895233,0.2360939,0.9993922,0.9997392,0.9996763,0.9911969,0.9564136,0.9474351,0.9990624, ,-0.07362666,0.02137146,0.02132825,-0.03977915,0.1252366,0.009107225,0.04664427,0.02874785,0.06011345,0.01306295,0.009503358,0.02087633,-0.009867937,-0.07572601,-0.2713457,0.3076997,-0.002780922, ,0.05418736,-0.01858066,-0.1827022,-0.03629131,-0.05942868,0.00053102,0.09220658,0.05954191,0.06155071,-0.9703913,0.02638621,-0.002891881,-0.01722614,0.1061672,0.1011167,-0.08487812,0.002940767, ,0.01593134,-0.015384,-0.6154069,-0.03809608,0.05790948,0.01074649,0.6686344,0.01402047,-0.1159378,0.04929307,-0.02070439,-0.008797703,-0.01590741,0.02286413,-0.03768288,0.02198512,0.04310331, 
10.69982,3.824263,79.6039,9.150089,17.02276,1.414412,85.51873,6.498158,17.11389,152.6625,3.79364,3.199221,2.913393,15.68685,35.28823,34.92201,6.308106, ,0.9956439,0.9994432,0.7682617,0.9968137,0.9889865,0.9999238,0.7342116,0.9983926,0.9888685,0.2363084,0.9994521,0.9996103,0.9996768,0.9906447,0.9529576,0.9539214,0.9984852, ,-0.07455197,0.02107128,0.01565778,-0.04606452,0.1205932,0.009292447,0.04401634,0.03148515,0.0729516,0.01393876,0.01040212,0.02704691,-0.009517647,-0.08201582,-0.2810155,0.2851994,-0.0145178, ,0.05396954,-0.01981783,-0.1887458,-0.04802217,-0.06256732,-0.001333575,0.08229379,0.04556628,0.05373522,-0.9703891,0.02526043,-0.001806093,-0.01772898,0.1066673,0.1066226,-0.09045126,0.009393807, ,0.01492392,-0.0166319,-0.6114768,-0.04398222,0.05872321,0.008012797,0.6724758,0.01203065,-0.1180242,0.04805316,-0.01869096,-0.006669465,-0.01553738,0.02277212,-0.03916436,0.02267198,0.05223341, 
10.74405,3.804972,79.48792,9.729157,16.97932,1.369998,85.60263,6.18285,17.44066,152.6793,3.736253,3.388163,2.903975,15.93254,35.65493,34.08313,6.508152, ,0.9956078,0.9994488,0.7689092,0.9963979,0.9890425,0.9999285,0.7337143,0.9985448,0.9884402,0.2361656,0.9994685,0.9995629,0.9996789,0.9903498,0.9519827,0.9560924,0.9983876, ,-0.07508546,0.02046761,0.01434396,-0.04826628,0.1195465,0.00938365,0.04267461,0.03305102,0.0780153,0.01401663,0.0108825,0.02887659,-0.0091732,-0.08415548,-0.2838373,0.2774583,-0.01128851, ,0.05401189,-0.01959448,-0.1906804,-0.05218131,-0.06336035,-0.001912535,0.07857188,0.04103343,0.05242781,-0.9704481,0.02486794,-0.001212742,-0.01774152,0.1076943,0.1076069,-0.09165689,0.01049692, ,0.01449151,-0.01730011,-0.6100934,-0.04624617,0.05906866,0.00715648,0.6735494,0.01150274,-0.1189578,0.04753646,-0.01805114,-0.006219543,-0.0155942,0.02295733,-0.03982537,0.02243432,0.05463033, 
10.77261,3.942592,79.23022,10.9308,16.80438,1.292991,85.85586,5.710667,17.98872,152.7034,3.684776,3.869642,2.940937,16.4542,36.2594,32.33319,6.914121, ,0.9955844,0.9994082,0.7703451,0.9954539,0.9892668,0.9999363,0.732211,0.9987585,0.9877037,0.2359618,0.999483,0.9994299,0.9996707,0.9897087,0.9503546,0.9604562,0.9981803, ,-0.07614226,0.02037987,0.009578943,-0.05211248,0.1168328,0.009431242,0.04043058,0.03616797,0.08750093,0.01416989,0.011615,0.03336017,-0.008750753,-0.08910771,-0.2889972,0.2611561,-0.006836808, ,0.05308007,-0.02121161,-0.1941346,-0.06102938,-0.06414438,-0.003285483,0.07069672,0.03295591,0.0506403,-0.9705366,0.02466476,-0.001224833,-0.01848278,0.1094995,0.1078499,-0.09409615,0.01322355, ,0.01401973,-0.01783241,-0.6072797,-0.05129557,0.05989049,0.005256842,0.6761912,0.009341584,-0.1192499,0.04669194,-0.01704185,-0.005063562,-0.01550236,0.02337679,-0.04092961,0.02161981,0.05843467, 
10.77741,3.939017,79.07731,11.54414,16.66606,1.265458,86.0379,5.563009,18.14103,152.7004,3.661332,4.046654,2.953685,16.66102,36.47935,31.40786,7.005269, ,0.9955805,0.9994093,0.7711953,0.9949299,0.9894424,0.999939,0.7311281,0.9988219,0.9874951,0.2359868,0.9994896,0.9993765,0.9996678,0.9894488,0.9497555,0.9626732,0.998132, ,-0.07662067,0.02023378,0.007714086,-0.05361771,0.1148837,0.009370253,0.03974795,0.0376933,0.09129146,0.01425135,0.01190345,0.03500582,-0.0080724,-0.09154643,-0.2912706,0.2527534,-0.006058433, ,0.05247385,-0.02093378,-0.1963081,-0.06574527,-0.06451829,-0.004014259,0.06690183,0.02958963,0.04955834,-0.9705452,0.02450427,-0.000803509,-0.01903451,0.1097677,0.1070031,-0.0946254,0.01422275, ,0.01397367,-0.01826333,-0.6055259,-0.05401194,0.06035627,0.004254374,0.6777876,0.007655294,-0.1185889,0.04636051,-0.01668755,-0.004536685,-0.0153894,0.02369403,-0.04094254,0.02054571,0.05910604, 
10.8353,3.912695,78.91821,12.19534,16.52369,1.269164,86.13956,5.375614,18.32214,152.6915,3.604011,4.297348,2.950238,16.95288,36.62558,30.46017,7.058506, ,0.9955329,0.9994171,0.7720784,0.9943423,0.9896217,0.9999387,0.7305226,0.9988999,0.9872447,0.2360625,0.9995055,0.9992969,0.9996686,0.9890766,0.9493554,0.9648787,0.9981035, ,-0.07734436,0.01980453,0.006026462,-0.05518426,0.1126801,0.009603216,0.03907435,0.03857645,0.09472017,0.01425339,0.01244438,0.0372733,-0.007690506,-0.09415795,-0.2930358,0.244217,-0.005470914, ,0.05243535,-0.02016302,-0.1983708,-0.07085907,-0.06522225,-0.004445098,0.06369308,0.02584106,0.04897502,-0.9705473,0.02398333,-0.001194842,-0.0192411,0.1108651,0.1059704,-0.09492566,0.01479518, ,0.01351453,-0.01914882,-0.6037447,-0.05672092,0.06081245,0.003285623,0.6787881,0.006574721,-0.1182263,0.04592605,-0.01608843,-0.003869664,-0.01527549,0.02389035,-0.04030937,0.0188756,0.05950433, 
10.85026,4.054578,78.66763,13.42845,16.36129,1.310429,86.35518,5.271336,18.41697,152.6562,3.558326,4.784239,2.874443,17.46128,36.722,28.43003,7.190639, ,0.9955206,0.9993741,0.7734663,0.9931417,0.9898244,0.9999346,0.7292363,0.9989421,0.9871126,0.2363614,0.9995179,0.9991286,0.9996854,0.9884129,0.9490907,0.969381,0.9980319, ,-0.07837632,0.01928469,-8.91E-05,-0.05770977,0.1087866,0.009787587,0.03755939,0.04125024,0.09940868,0.01410688,0.01349632,0.04162741,-0.006590792,-0.09897797,-0.2951025,0.2261723,-0.003247831, ,0.05129461,-0.02249401,-0.2004403,-0.08060735,-0.06783725,-0.005746929,0.05615291,0.01985195,0.04641974,-0.9705325,0.02348933,-0.001646374,-0.01921904,0.1125506,0.1031156,-0.09444095,0.01413646, ,0.01283801,-0.01932718,-0.60131,-0.06198156,0.0617362,0.001403,0.6809189,0.004354399,-0.1164986,0.04473301,-0.01516849,-0.002566405,-0.01470579,0.02399718,-0.03884036,0.01508009,0.06100858, 
10.89755,4.142253,78.44161,14.70292,16.41578,1.37513,86.37643,5.140948,18.41795,152.6112,3.484523,5.361029,2.778625,17.9203,36.59587,26.35415,7.216298, ,0.9954815,0.9993467,0.7747149,0.9917799,0.9897566,0.999928,0.7291094,0.9989938,0.9871112,0.2367436,0.9995377,0.9989058,0.999706,0.9877969,0.9494368,0.9736702,0.9980178, ,-0.0792084,0.01891991,-0.005752921,-0.06060934,0.1065539,0.009998675,0.03661926,0.04243781,0.1033016,0.01355395,0.01497576,0.04668002,-0.004936681,-0.1040319,-0.2951369,0.2071048,0.000141308, ,0.05100136,-0.02316454,-0.2033187,-0.0906889,-0.0712564,-0.006628775,0.05051942,0.01412668,0.0434831,-0.9705268,0.02237828,-0.002612103,-0.01875426,0.1133786,0.0997458,-0.09448197,0.01369106, ,0.01189638,-0.02028811,-0.598703,-0.06689278,0.06285495,-0.000313278,0.681547,0.003295209,-0.1142342,0.04297048,-0.01411474,-0.001161071,-0.01455504,0.02408375,-0.03892097,0.01213202,0.06142518, 
10.89043,4.259287,78.23219,15.98425,16.65814,1.45962,86.44174,5.262268,18.43582,152.4792,3.418753,6.119838,2.726011,18.41688,36.32032,24.50619,7.090831, ,0.9954874,0.9993093,0.7758692,0.9902872,0.9894524,0.9999189,0.7287192,0.9989458,0.9870862,0.2378623,0.999555,0.9985743,0.9997171,0.9871127,0.950189,0.9772196,0.9980861, ,-0.07939313,0.01882682,-0.01156949,-0.06335286,0.1055914,0.01013749,0.03559694,0.04479055,0.1069358,0.01265558,0.01678672,0.0532206,-0.003110886,-0.1093311,-0.2932548,0.1883976,0.004169558, ,0.05073458,-0.02398426,-0.2058838,-0.1008775,-0.07496117,-0.007498231,0.04335869,0.009907559,0.04112259,-0.9703813,0.02087795,-0.004125593,-0.01840529,0.1142545,0.09770457,-0.09729888,0.01544679, ,0.01129571,-0.02124023,-0.5962425,-0.0717041,0.06492518,-0.001827892,0.6825109,0.001725722,-0.1119576,0.04026836,-0.01311977,0.000246238,-0.01474417,0.02451858,-0.0399547,0.009006997,0.05973419, 
10.84918,4.29352,78.11276,16.63832,16.79769,1.527228,86.48982,5.323068,18.51267,152.3795,3.38539,6.484284,2.721988,18.66849,36.13993,23.60313,7.017667, ,0.9955215,0.9992982,0.7765263,0.9894775,0.9892753,0.9999112,0.7284318,0.9989213,0.9869786,0.2387076,0.9995636,0.9983994,0.9997179,0.9867589,0.9506785,0.9788618,0.9981254, ,-0.07914454,0.01869893,-0.01364513,-0.06474138,0.1051747,0.01023203,0.03488664,0.0458444,0.1089148,0.01216546,0.01763775,0.05637011,-0.001942754,-0.1119278,-0.2917598,0.1790395,0.006926538, ,0.05049409,-0.02397874,-0.2075321,-0.1060831,-0.07670431,-0.00807764,0.03963685,0.007293046,0.04078989,-0.9702396,0.02004325,-0.004493089,-0.01824121,0.1147065,0.09726952,-0.09861478,0.01624833, ,0.01111286,-0.02187801,-0.5947698,-0.07408954,0.06625097,-0.002780829,0.6830806,0.001154754,-0.1111175,0.03880565,-0.01264181,0.000910543,-0.01508855,0.02492851,-0.04031566,0.007040182,0.05859946, 
